Group,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Midwest,0.5425792469120575,0.6841109709962169,0.5777558196983348,0.5935035119223513,0.7982972504306171,0.7470110548276961,0.7878323863073036,0.7561676455140536,0.6823836061813019,0.8905815748841996,0.7962115415156722,0.8454722191501977,0.8411771815751347,0.8177281173363113,0.8235308239320812,0.8135988681505729,0.8056005087357707,0.7755340663758715,0.763311592139279,0.7565582908189183,0.7583336192503967,0.7716354445391977,0.7265201140089401,0.736205217925494,0.7381955134557687,0.7891142086711017,0.7444504449685821,0.7621255616076119,0.7735203041740657,0.7609968368346528,0.7913376146635276,0.8190017828238206,0.8235095072327789,0.8299646251028072,0.8548218526657861,0.885032156387158,0.8824076955181338,0.887870484891997,0.903939606630007,0.9091662973941584,0.9272236248734527,0.8812123500160176,0.9034525672454432,0.9008044934552789,0.8718836413245404,0.902055228680114,0.8649160583603481,0.9046255761860175,0.9489922605892837
Northeast,0.819380660349302,0.7269889902214841,0.8619881162678658,0.8753007387039918,0.8341366849960723,0.83372502389053,0.8298730961116155,0.8865333725195234,0.9439949367701505,0.9028226768783494,0.8935002224814936,0.9353469444007695,0.9426320852769066,0.9278790804768448,0.8728259765043049,0.8832703995053565,0.852037617554859,0.8888099551036573,0.8600510489945838,0.8057070154950545,0.8517048138357881,0.913541528780458,1.0391994830522568,0.9083669133696715,0.8648078205766089,0.7856244540740457,0.8289412593382735,0.7706161412106989,0.7829548176588278,0.7566870272933336,0.771955478590991,0.789932597321765,0.792928365509603,0.8151197968022807,0.792130986875213,0.8389665054993305,0.8315573939546839,0.89639635929373,0.9737271549243517,0.8931746564656682,0.9168473398211179,0.9002352418306916,0.912429409395279,0.9341816780040171,0.9193701838185049,0.94339319400948,0.9166566989820887,0.9052238615881444,0.9345632359332423
Small,1.512883597883598,2.7404797230464886,1.5477285506264327,1.0437041972018655,2.4770110598846142,1.9954458775536477,1.4827455401268372,1.086292835841852,1.0973082212565939,2.3697104677060135,2.2092530905322376,2.6248756809713956,2.3228939705552953,1.8504844739697883,1.7617535675770573,1.7310030626704658,1.862945345378278,1.6683834730299547,1.469845287554013,1.4961467627667084,1.4078459771914715,1.5666120564765211,1.4030690754418844,1.6670714237116442,1.6944166885327296,1.8885561465688836,1.5075767326407585,1.60870607006009,1.6283814528984744,1.8523468605875886,1.7395947997366976,1.765998783250619,1.7649837698060782,1.8185988550403527,1.892790425543549,1.9404304225318865,1.819828044271475,1.7903455765844842,1.7217894052260398,1.877575840101672,1.8284904556184614,1.7408719966186559,1.7258051391720979,1.7959363265605444,1.9082229016297385,1.9277597546840848,1.930680929621387,1.960184712562391,1.960365378081144
South,1.3733862530514638,1.6937705463775956,1.371404893700662,1.4230798948494428,1.2828755437241435,1.2608816389913942,1.3554904593468151,1.3930340976790616,1.4251127870979643,1.9913838394452033,1.3222686095220617,1.155250426623563,1.1461120258311948,1.261417788225299,1.3155354628337756,1.3411983686778,1.2978101730236717,1.3425448141609178,1.5127384660307572,1.846206258607572,1.6871728978067602,1.6970941839025129,1.7793652406891227,1.656854555708798,1.8773370668957854,1.8722562908563736,1.8039969940434222,1.9058145406623723,1.8837360800975693,1.9354677248497563,1.8593351828852862,1.5447133443214112,1.5488451853067928,1.472722165577574,1.313051630486952,1.173562527453512,1.1986837849934493,1.084072454419757,1.0319412659462226,1.0381479916420164,1.0354956133776954,1.0435408313128585,1.017686465143736,0.9999050665693802,1.0020653668033292,0.9706012158147443,0.989234861428949,0.9808852673008519,0.9733346017875425
Nat'l Average,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
West,,,,,,,,,,0.8170743224100482,0.8956707406862023,1.1076682152737902,0.8787166846402712,0.9127218484580961,1.0188640932442585,0.9039902283370269,0.9073139249802492,0.9404461512169131,0.9322170694434337,0.7885155460832306,0.7389606560442221,0.6272412133296578,0.5587972252716328,0.8341011241952876,0.7305647650500151,0.7139616171818931,0.8274755990644016,0.8324677456497221,0.7565674193794145,0.7582142959043068,0.6931125725245117,0.7933076027164262,0.7722702897922445,0.7335789056192342,0.8364507915530227,0.841316235112251,0.8525052925300735,0.9011497769578836,0.865062932717474,0.9531276467300501,0.9091401093674146,0.9880224488768731,0.9859064252297898,0.9781029037187977,1.0230811821163817,1.0094461744386924,1.038796568607471,1.0103572761498865,0.9492347934810524
