,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
50,Postbellum,1872,6.0,40581,105916.0,0.63,2.29,6764.0,2.61,2,"NE,NV"
51,Union,1872,222.0,4327761,3938263.0,66.87,244.74,19494.0,0.91,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
52,Border,1876,43.0,898775,979665.0,10.68,39.39,20902.0,1.09,5,"DE,KY,MD,MO,WV"
53,Confederate,1876,95.0,1831890,2161630.0,21.76,80.29,19283.0,1.18,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
54,Postbellum,1876,6.0,69019,136658.0,0.82,3.03,11503.0,1.98,2,"NE,NV"
55,Union,1876,222.0,5618975,5057078.0,66.74,246.28,25311.0,0.9,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
56,Border,1880,43.0,982695,1071138.0,10.66,39.33,22853.0,1.09,5,"DE,KY,MD,MO,WV"
57,Confederate,1880,95.0,1796383,2371226.0,19.48,71.9,18909.0,1.32,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
58,Postbellum,1880,9.0,159343,224674.0,1.73,6.38,17705.0,1.41,3,"CO,NE,NV"
59,Union,1880,222.0,6282760,5528829.0,68.15,251.46,28301.0,0.88,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
60,Border,1884,46.0,1065897,1151169.0,10.6,42.49,23172.0,1.08,5,"DE,KY,MD,MO,WV"
61,Confederate,1884,107.0,1944518,2683435.0,19.33,77.51,18173.0,1.38,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
62,Postbellum,1884,11.0,213518,275438.0,2.12,8.51,19411.0,1.29,3,"CO,NE,NV"
63,Union,1884,237.0,6836212,5947504.0,67.95,272.49,28845.0,0.87,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
64,Border,1888,46.0,1266373,1304364.0,11.12,44.59,27530.0,1.03,5,"DE,KY,MD,MO,WV"
65,Confederate,1888,107.0,2104110,3029918.0,18.48,74.09,19665.0,1.44,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
66,Postbellum,1888,11.0,306856,312993.0,2.69,10.8,27896.0,1.02,3,"CO,NE,NV"
67,Union,1888,237.0,7711507,6709011.0,67.71,271.52,32538.0,0.87,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
68,Border,1892,47.0,1304036,1277955.0,10.81,47.98,27745.0,0.98,5,"DE,KY,MD,MO,WV"
69,Confederate,1892,112.0,2137554,3035327.0,17.71,78.64,19085.0,1.42,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
70,Postbellum,1892,35.0,580164,951469.0,4.81,21.35,16576.0,1.64,9,"CO,ID,MT,NE,NV,ND,SD,WA,WY"
71,Union,1892,250.0,8046273,6758869.0,66.67,296.04,32185.0,0.84,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
72,Border,1896,47.0,1610296,1465369.0,11.55,51.64,34262.0,0.91,5,"DE,KY,MD,MO,WV"
73,Confederate,1896,112.0,2284170,3494780.0,16.39,73.25,20394.0,1.53,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
74,Postbellum,1896,38.0,829121,1185643.0,5.95,26.59,21819.0,1.43,10,"CO,ID,MT,NE,NV,ND,SD,UT,WA,WY"
75,Union,1896,250.0,9215087,7832824.0,66.11,295.52,36860.0,0.85,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
76,Border,1900,47.0,1679140,1477643.0,12.0,53.62,35726.0,0.88,5,"DE,KY,MD,MO,WV"
77,Confederate,1900,112.0,1880682,3498069.0,13.44,60.06,16792.0,1.86,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
78,Postbellum,1900,38.0,1000544,1190647.0,7.15,31.95,26330.0,1.19,10,"CO,ID,MT,NE,NV,ND,SD,UT,WA,WY"
79,Union,1900,250.0,9437063,7832762.0,67.42,301.37,37748.0,0.83,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
80,Border,1904,49.0,1587878,1397333.0,11.74,55.88,32406.0,0.88,5,"DE,KY,MD,MO,WV"
81,Confederate,1904,120.0,1377630,3416522.0,10.19,48.48,11480.0,2.48,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
82,Postbellum,1904,41.0,1067476,1163549.0,7.89,37.57,26036.0,1.09,10,"CO,ID,MT,NE,NV,ND,SD,UT,WA,WY"
83,Union,1904,266.0,9492111,7593689.0,70.18,334.06,35685.0,0.8,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
84,Border,1908,49.0,1751289,1506109.0,11.76,56.81,35741.0,0.86,5,"DE,KY,MD,MO,WV"
85,Confederate,1908,120.0,1587794,3699560.0,10.66,51.51,13232.0,2.33,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
86,Postbellum,1908,48.0,1517616,1487264.0,10.19,49.23,31617.0,0.98,11,"CO,ID,MT,NE,NV,ND,OK,SD,UT,WA,WY"
87,Union,1908,266.0,10034474,8228269.0,67.39,325.51,37724.0,0.82,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
88,Border,1912,50.0,1700783,1411650.0,11.31,60.03,34016.0,0.83,5,"DE,KY,MD,MO,WV"
89,Confederate,1912,126.0,1547255,3574159.0,10.28,54.61,12280.0,2.31,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
90,Postbellum,1912,65.0,1729343,1833104.0,11.5,61.04,26605.0,1.06,13,"AZ,CO,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
91,Union,1912,290.0,10066902,8254860.0,66.92,355.32,34713.0,0.82,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
92,Border,1916,50.0,1910548,1738599.0,10.31,54.73,38211.0,0.91,5,"DE,KY,MD,MO,WV"
93,Confederate,1916,126.0,1872379,4400091.0,10.1,53.64,14860.0,2.35,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
94,Postbellum,1916,65.0,2165173,2273432.0,11.68,62.02,33310.0,1.05,13,"AZ,CO,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
95,Union,1916,290.0,12588485,10070788.0,67.91,360.61,43409.0,0.8,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
96,Border,1920,50.0,3284768,2529271.0,12.27,65.17,65695.0,0.77,5,"DE,KY,MD,MO,WV"
97,Confederate,1920,126.0,2675944,6341987.0,10.0,53.09,21238.0,2.37,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
98,Postbellum,1920,65.0,2662454,3274818.0,9.95,52.82,40961.0,1.23,13,"AZ,CO,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
99,Union,1920,290.0,18142014,14695031.0,67.78,359.92,62559.0,0.81,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
100,Border,1924,50.0,3156467,2746126.0,10.85,57.6,63129.0,0.87,5,"DE,KY,MD,MO,WV"
101,Confederate,1924,126.0,2530094,6907157.0,8.7,46.17,20080.0,2.73,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
102,Postbellum,1924,65.0,2932666,3548526.0,10.08,53.52,45118.0,1.21,13,"AZ,CO,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
103,Union,1924,290.0,20477880,15972746.0,70.38,373.7,70613.0,0.78,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
104,Border,1928,50.0,3718316,3458034.0,10.1,53.64,74366.0,0.93,5,"DE,KY,MD,MO,WV"
105,Confederate,1928,126.0,3378616,8750615.0,9.18,48.74,26814.0,2.59,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
106,Postbellum,1928,65.0,3407157,4497447.0,9.26,49.15,52418.0,1.32,13,"AZ,CO,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
107,Union,1928,290.0,26302923,19990221.0,71.46,379.46,90700.0,0.76,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
108,Border,1932,45.0,3960686,3366583.0,9.96,52.91,88015.0,0.85,5,"DE,KY,MD,MO,WV"
109,Confederate,1932,124.0,3780128,9299115.0,9.51,50.49,30485.0,2.46,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
110,Postbellum,1932,64.0,3909939,4809225.0,9.84,52.23,61093.0,1.23,13,"AZ,CO,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
111,Union,1932,298.0,28101145,22199905.0,70.69,375.37,94299.0,0.79,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
112,Border,1936,45.0,4337282,3860181.0,9.5,50.45,96384.0,0.89,5,"DE,KY,MD,MO,WV"
113,Confederate,1936,124.0,4176586,10650294.0,9.15,48.58,33682.0,2.55,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
114,Postbellum,1936,64.0,4196348,5497216.0,9.19,48.81,65568.0,1.31,13,"AZ,CO,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
115,Union,1936,298.0,32937853,25691525.0,72.16,383.15,110530.0,0.78,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
