,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Vote weight,Party
561,NY,New York,Union,1892,36.0,1336793,975859.0,11.08,49.18,37133.0,0.73,Democrat
562,NC,North Carolina,Confederate,1892,11.0,280270,299889.0,2.32,10.31,25479.0,1.07,Democrat
563,ND,North Dakota,Postbellum,1892,3.0,36118,81627.0,0.3,1.33,12039.0,2.26,Populist
564,OH,Ohio,Union,1892,23.0,850164,629121.0,7.04,31.28,36964.0,0.74,Republican
565,OR,Oregon,Union,1892,4.0,78491,109102.0,0.65,2.89,19623.0,1.39,Republican
566,PA,Pennsylvania,Union,1892,32.0,1003010,872619.0,8.31,36.9,31344.0,0.87,Republican
567,RI,Rhode Island,Union,1892,4.0,53196,108520.0,0.44,1.96,13299.0,2.04,Republican
568,SC,South Carolina,Confederate,1892,9.0,70504,244649.0,0.58,2.59,7834.0,3.47,Democrat
569,SD,South Dakota,Postbellum,1892,4.0,70513,108590.0,0.58,2.59,17628.0,1.54,Republican
570,TN,Tennessee,Confederate,1892,12.0,265732,326850.0,2.2,9.78,22144.0,1.23,Democrat
571,TX,Texas,Confederate,1892,15.0,422145,409481.0,3.5,15.53,28143.0,0.97,Democrat
572,VT,Vermont,Union,1892,4.0,55796,108802.0,0.46,2.05,13949.0,1.95,Republican
573,VA,Virginia,Confederate,1892,12.0,292238,327307.0,2.42,10.75,24353.0,1.12,Democrat
574,WA,Washington,Postbellum,1892,4.0,87969,109082.0,0.73,3.24,21992.0,1.24,Republican
575,WV,West Virginia,Border,1892,6.0,171079,162525.0,1.42,6.29,28513.0,0.95,Democrat
576,WI,Wisconsin,Union,1892,12.0,371581,326991.0,3.08,13.67,30965.0,0.88,Democrat
577,WY,Wyoming,Postbellum,1892,3.0,16735,81499.0,0.14,0.62,5578.0,4.87,Republican
578,AL,Alabama,Confederate,1896,11.0,194580,342461.0,1.4,6.24,17689.0,1.76,Democrat
579,AR,Arkansas,Confederate,1896,8.0,149347,249409.0,1.07,4.79,18668.0,1.67,Democrat
580,CA,California,Union,1896,9.0,298419,280514.0,2.14,9.57,33158.0,0.94,Republican
581,CO,Colorado,Postbellum,1896,4.0,189539,125096.0,1.36,6.08,47385.0,0.66,Democrat
582,CT,Connecticut,Union,1896,6.0,174390,186597.0,1.25,5.59,29065.0,1.07,Republican
583,DE,Delaware,Border,1896,3.0,38456,93448.0,0.28,1.23,12819.0,2.43,Republican
584,FL,Florida,Confederate,1896,4.0,46488,124588.0,0.33,1.49,11622.0,2.68,Democrat
585,GA,Georgia,Confederate,1896,13.0,162480,404575.0,1.17,5.21,12498.0,2.49,Democrat
586,ID,Idaho,Postbellum,1896,3.0,29621,93602.0,0.21,0.95,9874.0,3.16,Democrat
587,IL,Illinois,Union,1896,24.0,1090869,752700.0,7.83,34.98,45453.0,0.69,Republican
588,IN,Indiana,Union,1896,15.0,637119,465097.0,4.57,20.43,42475.0,0.73,Republican
589,IA,Iowa,Union,1896,13.0,521547,406807.0,3.74,16.73,40119.0,0.78,Republican
590,KS,Kansas,Union,1896,10.0,334547,311129.0,2.4,10.73,33455.0,0.93,Democrat
591,KY,Kentucky,Border,1896,13.0,445928,405794.0,3.2,14.3,34302.0,0.91,Republican
592,LA,Louisiana,Confederate,1896,8.0,101046,249584.0,0.72,3.24,12631.0,2.47,Democrat
593,ME,Maine,Union,1896,6.0,118419,187102.0,0.85,3.8,19736.0,1.58,Republican
594,MD,Maryland,Border,1896,8.0,250249,250249.0,1.8,8.03,31281.0,1.0,Republican
595,MA,Massachusetts,Union,1896,15.0,401568,465819.0,2.88,12.88,26771.0,1.16,Republican
596,MI,Michigan,Union,1896,14.0,545585,436468.0,3.91,17.5,38970.0,0.8,Republican
597,MN,Minnesota,Union,1896,9.0,341762,280245.0,2.45,10.96,37974.0,0.82,Republican
598,MS,Mississippi,Confederate,1896,9.0,69591,280452.0,0.5,2.23,7732.0,4.03,Democrat
599,MO,Missouri,Border,1896,17.0,673906,532386.0,4.83,21.61,39642.0,0.79,Democrat
600,MT,Montana,Postbellum,1896,3.0,53330,93328.0,0.38,1.71,17777.0,1.75,Democrat
601,NE,Nebraska,Postbellum,1896,8.0,223182,249964.0,1.6,7.16,27898.0,1.12,Democrat
602,NV,Nevada,Postbellum,1896,3.0,10314,93548.0,0.07,0.33,3438.0,9.07,Democrat
603,NH,New Hampshire,Union,1896,4.0,83670,124668.0,0.6,2.68,20918.0,1.49,Republican
604,NJ,New Jersey,Union,1896,10.0,371211,311817.0,2.66,11.9,37121.0,0.84,Republican
605,NY,New York,Union,1896,36.0,1423876,1124862.0,10.22,45.66,39552.0,0.79,Republican
606,NC,North Carolina,Confederate,1896,11.0,331337,344590.0,2.38,10.63,30122.0,1.04,Democrat
607,ND,North Dakota,Postbellum,1896,3.0,47391,93360.0,0.34,1.52,15797.0,1.97,Republican
608,OH,Ohio,Union,1896,23.0,1014295,720149.0,7.28,32.53,44100.0,0.71,Republican
609,OR,Oregon,Union,1896,4.0,97414,124690.0,0.7,3.12,24354.0,1.28,Republican
610,PA,Pennsylvania,Union,1896,32.0,1194355,1003258.0,8.57,38.3,37324.0,0.84,Republican
611,RI,Rhode Island,Union,1896,4.0,54785,124910.0,0.39,1.76,13696.0,2.28,Republican
612,SC,South Carolina,Confederate,1896,9.0,68938,280578.0,0.49,2.21,7660.0,4.07,Democrat
613,SD,South Dakota,Postbellum,1896,4.0,82950,124425.0,0.6,2.66,20738.0,1.5,Democrat
614,TN,Tennessee,Confederate,1896,12.0,320903,375457.0,2.3,10.29,26742.0,1.17,Democrat
615,TX,Texas,Confederate,1896,15.0,544786,468516.0,3.91,17.47,36319.0,0.86,Democrat
616,UT,Utah,Postbellum,1896,3.0,78119,93743.0,0.56,2.51,26040.0,1.2,Democrat
617,VT,Vermont,Union,1896,4.0,63847,124502.0,0.46,2.05,15962.0,1.95,Republican
618,VA,Virginia,Confederate,1896,12.0,294674,374236.0,2.11,9.45,24556.0,1.27,Democrat
619,WA,Washington,Postbellum,1896,4.0,93583,124465.0,0.67,3.0,23396.0,1.33,Democrat
620,WV,West Virginia,Border,1896,6.0,201757,187634.0,1.45,6.47,33626.0,0.93,Republican
621,WI,Wisconsin,Union,1896,12.0,447409,375824.0,3.21,14.35,37284.0,0.84,Republican
622,WY,Wyoming,Postbellum,1896,3.0,21092,93648.0,0.15,0.68,7031.0,4.44,Democrat
623,AL,Alabama,Confederate,1900,11.0,159692,344935.0,1.14,5.1,14517.0,2.16,Democrat
624,AR,Arkansas,Confederate,1900,8.0,127866,250617.0,0.91,4.08,15983.0,1.96,Democrat
625,CA,California,Union,1900,9.0,302318,281156.0,2.16,9.65,33591.0,0.93,Republican
626,CO,Colorado,Postbellum,1900,4.0,221408,126203.0,1.58,7.07,55352.0,0.57,Democrat
627,CT,Connecticut,Union,1900,6.0,180195,187403.0,1.29,5.75,30032.0,1.04,Republican
628,DE,Delaware,Border,1900,3.0,41989,94055.0,0.3,1.34,13996.0,2.24,Republican
629,FL,Florida,Confederate,1900,4.0,39649,125291.0,0.28,1.27,9912.0,3.16,Democrat
630,GA,Georgia,Confederate,1900,13.0,121410,406724.0,0.87,3.88,9339.0,3.35,Democrat
631,ID,Idaho,Postbellum,1900,3.0,57914,93821.0,0.41,1.85,19305.0,1.62,Democrat
632,IL,Illinois,Union,1900,24.0,1131897,747052.0,8.09,36.15,47162.0,0.66,Republican
633,IN,Indiana,Union,1900,15.0,664094,471507.0,4.74,21.21,44273.0,0.71,Republican
634,IA,Iowa,Union,1900,13.0,530355,408373.0,3.79,16.94,40797.0,0.77,Republican
635,KS,Kansas,Union,1900,10.0,353766,314852.0,2.53,11.3,35377.0,0.89,Republican
636,KY,Kentucky,Border,1900,13.0,468265,407391.0,3.35,14.95,36020.0,0.87,Democrat
637,LA,Louisiana,Confederate,1900,8.0,67906,250573.0,0.49,2.17,8488.0,3.69,Democrat
638,ME,Maine,Union,1900,6.0,105693,188134.0,0.76,3.38,17616.0,1.78,Republican
639,MD,Maryland,Border,1900,8.0,264434,251212.0,1.89,8.44,33054.0,0.95,Republican
640,MA,Massachusetts,Union,1900,15.0,414804,468729.0,2.96,13.25,27654.0,1.13,Republican
641,MI,Michigan,Union,1900,14.0,544379,440947.0,3.89,17.38,38884.0,0.81,Republican
642,MN,Minnesota,Union,1900,9.0,316311,281517.0,2.26,10.1,35146.0,0.89,Republican
643,MS,Mississippi,Confederate,1900,9.0,59055,281692.0,0.42,1.89,6562.0,4.77,Democrat
644,MO,Missouri,Border,1900,17.0,683656,533252.0,4.88,21.83,40215.0,0.78,Democrat
645,MT,Montana,Postbellum,1900,3.0,63856,93868.0,0.46,2.04,21285.0,1.47,Democrat
646,NE,Nebraska,Postbellum,1900,8.0,241430,251087.0,1.72,7.71,30179.0,1.04,Republican
647,NV,Nevada,Postbellum,1900,3.0,10196,93905.0,0.07,0.33,3399.0,9.21,Democrat
648,NH,New Hampshire,Union,1900,4.0,92364,125615.0,0.66,2.95,23091.0,1.36,Republican
649,NJ,New Jersey,Union,1900,10.0,401050,312819.0,2.87,12.81,40105.0,0.78,Republican
650,NY,New York,Union,1900,36.0,1548042,1130071.0,11.06,49.44,43001.0,0.73,Republican
651,NC,North Carolina,Confederate,1900,11.0,292518,345171.0,2.09,9.34,26593.0,1.18,Democrat
652,ND,North Dakota,Postbellum,1900,3.0,84216,94322.0,0.6,2.69,28072.0,1.12,Republican
653,OH,Ohio,Union,1900,23.0,1040073,717650.0,7.43,33.21,45221.0,0.69,Republican
654,OR,Oregon,Union,1900,4.0,83251,124876.0,0.59,2.66,20813.0,1.5,Republican
655,PA,Pennsylvania,Union,1900,32.0,1173210,997228.0,8.38,37.47,36663.0,0.85,Republican
656,RI,Rhode Island,Union,1900,4.0,56548,125537.0,0.4,1.81,14137.0,2.22,Republican
657,SC,South Carolina,Confederate,1900,9.0,50812,282007.0,0.36,1.62,5646.0,5.55,Democrat
658,SD,South Dakota,Postbellum,1900,4.0,96124,124961.0,0.69,3.07,24031.0,1.3,Republican
659,TN,Tennessee,Confederate,1900,12.0,273860,375188.0,1.96,8.75,22822.0,1.37,Democrat
660,TX,Texas,Confederate,1900,15.0,423706,470314.0,3.03,13.53,28247.0,1.11,Democrat
661,UT,Utah,Postbellum,1900,3.0,93189,94121.0,0.67,2.98,31063.0,1.01,Republican
662,VT,Vermont,Union,1900,4.0,56212,125353.0,0.4,1.8,14053.0,2.23,Republican
663,VA,Virginia,Confederate,1900,12.0,264208,375175.0,1.89,8.44,22017.0,1.42,Democrat
664,WA,Washington,Postbellum,1900,4.0,107524,124728.0,0.77,3.43,26881.0,1.16,Republican
665,WV,West Virginia,Border,1900,6.0,220796,187677.0,1.58,7.05,36799.0,0.85,Republican
666,WI,Wisconsin,Union,1900,12.0,442501,376126.0,3.16,14.13,36875.0,0.85,Republican
667,WY,Wyoming,Postbellum,1900,3.0,24687,94057.0,0.18,0.79,8229.0,3.81,Republican
668,AL,Alabama,Confederate,1904,11.0,108785,312213.0,0.8,3.83,9890.0,2.87,Democrat
669,AR,Arkansas,Confederate,1904,9.0,116421,256126.0,0.86,4.1,12936.0,2.2,Democrat
670,CA,California,Union,1904,10.0,331878,285415.0,2.45,11.68,33188.0,0.86,Republican
671,CO,Colorado,Postbellum,1904,5.0,243667,141327.0,1.8,8.58,48733.0,0.58,Republican
672,CT,Connecticut,Union,1904,7.0,191128,198773.0,1.41,6.73,27304.0,1.04,Republican
673,DE,Delaware,Border,1904,3.0,43856,85081.0,0.32,1.54,14619.0,1.94,Republican
674,FL,Florida,Confederate,1904,5.0,38705,142047.0,0.29,1.36,7741.0,3.67,Democrat
675,GA,Georgia,Confederate,1904,13.0,130986,369381.0,0.97,4.61,10076.0,2.82,Democrat
676,ID,Idaho,Postbellum,1904,3.0,72578,84916.0,0.54,2.55,24193.0,1.17,Republican
677,IL,Illinois,Union,1904,27.0,1076499,764314.0,7.96,37.89,39870.0,0.71,Republican
678,IN,Indiana,Union,1904,15.0,682185,422955.0,5.04,24.01,45479.0,0.62,Republican
679,IA,Iowa,Union,1904,13.0,486093,369431.0,3.59,17.11,37392.0,0.76,Republican
680,KS,Kansas,Union,1904,10.0,328561,282562.0,2.43,11.56,32856.0,0.86,Republican
681,KY,Kentucky,Border,1904,13.0,435946,370554.0,3.22,15.34,33534.0,0.85,Democrat
682,LA,Louisiana,Confederate,1904,9.0,53908,255524.0,0.4,1.9,5990.0,4.74,Democrat
683,ME,Maine,Union,1904,6.0,97023,170760.0,0.72,3.41,16170.0,1.76,Republican
684,MD,Maryland,Border,1904,8.0,224229,226471.0,1.66,7.89,28029.0,1.01,Republican
685,MA,Massachusetts,Union,1904,16.0,445109,454011.0,3.29,15.67,27819.0,1.02,Republican
686,MI,Michigan,Union,1904,14.0,525027,399021.0,3.88,18.48,37502.0,0.76,Republican
687,MN,Minnesota,Union,1904,11.0,292860,313360.0,2.17,10.31,26624.0,1.07,Republican
688,MS,Mississippi,Confederate,1904,10.0,58721,284210.0,0.43,2.07,5872.0,4.84,Democrat
689,MO,Missouri,Border,1904,18.0,643861,508650.0,4.76,22.66,35770.0,0.79,Republican
690,MT,Montana,Postbellum,1904,3.0,64444,85066.0,0.48,2.27,21481.0,1.32,Republican
691,NE,Nebraska,Postbellum,1904,8.0,225732,227989.0,1.67,7.94,28216.0,1.01,Republican
692,NV,Nevada,Postbellum,1904,3.0,12115,85290.0,0.09,0.43,4038.0,7.04,Republican
693,NH,New Hampshire,Union,1904,4.0,90161,113603.0,0.67,3.17,22540.0,1.26,Republican
694,NJ,New Jersey,Union,1904,12.0,432547,341712.0,3.2,15.22,36046.0,0.79,Republican
695,NY,New York,Union,1904,39.0,1617770,1100084.0,11.96,56.94,41481.0,0.68,Republican
696,NC,North Carolina,Confederate,1904,12.0,207818,340822.0,1.54,7.31,17318.0,1.64,Democrat
697,ND,North Dakota,Postbellum,1904,4.0,70014,113423.0,0.52,2.46,17504.0,1.62,Republican
698,OH,Ohio,Union,1904,23.0,1004393,652855.0,7.43,35.35,43669.0,0.65,Republican
699,OR,Oregon,Union,1904,4.0,90154,113594.0,0.67,3.17,22538.0,1.26,Republican
700,PA,Pennsylvania,Union,1904,34.0,1236738,964656.0,9.14,43.53,36375.0,0.78,Republican
701,RI,Rhode Island,Union,1904,4.0,68656,113969.0,0.51,2.42,17164.0,1.66,Republican
702,SC,South Carolina,Confederate,1904,9.0,55118,255748.0,0.41,1.94,6124.0,4.64,Democrat
703,SD,South Dakota,Postbellum,1904,4.0,101395,113562.0,0.75,3.57,25349.0,1.12,Republican
704,TN,Tennessee,Confederate,1904,12.0,242750,339850.0,1.79,8.54,20229.0,1.4,Democrat
705,TX,Texas,Confederate,1904,18.0,234008,512478.0,1.73,8.24,13000.0,2.19,Democrat
706,UT,Utah,Postbellum,1904,3.0,101672,85404.0,0.75,3.58,33891.0,0.84,Republican
707,VT,Vermont,Union,1904,4.0,51888,113635.0,0.38,1.83,12972.0,2.19,Republican
708,VA,Virginia,Confederate,1904,12.0,130410,340370.0,0.96,4.59,10868.0,2.61,Democrat
709,WA,Washington,Postbellum,1904,5.0,145151,142248.0,1.07,5.11,29030.0,0.98,Republican
710,WV,West Virginia,Border,1904,7.0,239986,199188.0,1.77,8.45,34284.0,0.83,Republican
711,WI,Wisconsin,Union,1904,13.0,443441,368056.0,3.28,15.61,34111.0,0.83,Republican
712,WY,Wyoming,Postbellum,1904,3.0,30708,85368.0,0.23,1.08,10236.0,2.78,Republican
713,AL,Alabama,Confederate,1908,11.0,105152,338589.0,0.71,3.41,9559.0,3.22,Democrat
714,AR,Arkansas,Confederate,1908,9.0,151822,277834.0,1.02,4.92,16869.0,1.83,Democrat
715,CA,California,Union,1908,10.0,386597,309278.0,2.6,12.54,38660.0,0.8,Republican
716,CO,Colorado,Postbellum,1908,5.0,263858,153038.0,1.77,8.56,52772.0,0.58,Democrat
717,CT,Connecticut,Union,1908,7.0,190003,216603.0,1.28,6.16,27143.0,1.14,Republican
718,DE,Delaware,Border,1908,3.0,48007,92654.0,0.32,1.56,16002.0,1.93,Republican
719,FL,Florida,Confederate,1908,5.0,49360,154003.0,0.33,1.6,9872.0,3.12,Democrat
720,GA,Georgia,Confederate,1908,13.0,132504,400162.0,0.89,4.3,10193.0,3.02,Democrat
721,ID,Idaho,Postbellum,1908,3.0,97293,92428.0,0.65,3.16,32431.0,0.95,Republican
722,IL,Illinois,Union,1908,27.0,1155254,831783.0,7.76,37.48,42787.0,0.72,Republican
723,IN,Indiana,Union,1908,15.0,721126,461521.0,4.84,23.39,48075.0,0.64,Republican
724,IA,Iowa,Union,1908,13.0,494769,400763.0,3.32,16.05,38059.0,0.81,Republican
725,KS,Kansas,Union,1908,10.0,375946,308276.0,2.52,12.2,37595.0,0.82,Republican
726,KY,Kentucky,Border,1908,13.0,490719,402390.0,3.3,15.92,37748.0,0.82,Democrat
727,LA,Louisiana,Confederate,1908,9.0,75117,277182.0,0.5,2.44,8346.0,3.69,Democrat
728,ME,Maine,Union,1908,6.0,106336,185025.0,0.71,3.45,17723.0,1.74,Republican
729,MD,Maryland,Border,1908,8.0,238531,245687.0,1.6,7.74,29816.0,1.03,Republican
730,MA,Massachusetts,Union,1908,16.0,456919,493473.0,3.07,14.82,28557.0,1.08,Republican
731,MI,Michigan,Union,1908,14.0,541830,433464.0,3.64,17.58,38702.0,0.8,Republican
732,MN,Minnesota,Union,1908,11.0,331304,337930.0,2.23,10.75,30119.0,1.02,Republican
733,MS,Mississippi,Confederate,1908,10.0,66904,308427.0,0.45,2.17,6690.0,4.61,Democrat
734,MO,Missouri,Border,1908,18.0,715927,558423.0,4.81,23.22,39774.0,0.78,Republican
735,MT,Montana,Postbellum,1908,3.0,68822,92221.0,0.46,2.23,22941.0,1.34,Republican
736,NE,Nebraska,Postbellum,1908,8.0,266799,245455.0,1.79,8.65,33350.0,0.92,Democrat
737,NV,Nevada,Postbellum,1908,3.0,24526,92463.0,0.16,0.8,8175.0,3.77,Democrat
738,NH,New Hampshire,Union,1908,4.0,89600,123648.0,0.6,2.91,22400.0,1.38,Republican
739,NJ,New Jersey,Union,1908,12.0,467111,369018.0,3.14,15.15,38926.0,0.79,Republican
740,NY,New York,Union,1908,39.0,1638350,1195996.0,11.0,53.15,42009.0,0.73,Republican
741,NC,North Carolina,Confederate,1908,12.0,252554,368729.0,1.7,8.19,21046.0,1.46,Democrat
742,ND,North Dakota,Postbellum,1908,4.0,94525,122882.0,0.63,3.07,23631.0,1.3,Republican
743,OH,Ohio,Union,1908,23.0,1121552,706578.0,7.53,36.38,48763.0,0.63,Republican
744,OK,Oklahoma,Postbellum,1908,7.0,256917,215810.0,1.73,8.33,36702.0,0.84,Democrat
745,OR,Oregon,Union,1908,4.0,110889,123087.0,0.74,3.6,27722.0,1.11,Republican
746,PA,Pennsylvania,Union,1908,34.0,1267450,1051984.0,8.51,41.11,37278.0,0.83,Republican
747,RI,Rhode Island,Union,1908,4.0,72317,123662.0,0.49,2.35,18079.0,1.71,Republican
748,SC,South Carolina,Confederate,1908,9.0,66379,277464.0,0.45,2.15,7375.0,4.18,Democrat
749,SD,South Dakota,Postbellum,1908,4.0,114775,122809.0,0.77,3.72,28694.0,1.07,Republican
750,TN,Tennessee,Confederate,1908,12.0,257180,370339.0,1.73,8.34,21432.0,1.44,Democrat
751,TX,Texas,Confederate,1908,18.0,293757,555201.0,1.97,9.53,16320.0,1.89,Democrat
752,UT,Utah,Postbellum,1908,3.0,108613,92321.0,0.73,3.52,36204.0,0.85,Republican
753,VT,Vermont,Union,1908,4.0,52680,123271.0,0.35,1.71,13170.0,2.34,Republican
754,VA,Virginia,Confederate,1908,12.0,137065,370076.0,0.92,4.45,11422.0,2.7,Democrat
755,WA,Washington,Postbellum,1908,5.0,183879,154458.0,1.23,5.96,36776.0,0.84,Republican
756,WV,West Virginia,Border,1908,7.0,258105,216808.0,1.73,8.37,36872.0,0.84,Republican
757,WI,Wisconsin,Union,1908,13.0,454441,399908.0,3.05,14.74,34957.0,0.88,Republican
758,WY,Wyoming,Postbellum,1908,3.0,37609,92518.0,0.25,1.22,12536.0,2.46,Republican
759,AL,Alabama,Confederate,1912,12.0,117959,339722.0,0.78,4.16,9830.0,2.88,Democrat
760,AZ,Arizona,Postbellum,1912,3.0,23722,84925.0,0.16,0.84,7907.0,3.58,Democrat
761,AR,Arkansas,Confederate,1912,9.0,125104,255212.0,0.83,4.42,13900.0,2.04,Democrat
762,CA,California,Union,1912,13.0,673527,370440.0,4.48,23.77,51810.0,0.55,Progressive
763,CO,Colorado,Postbellum,1912,6.0,266880,170803.0,1.77,9.42,44480.0,0.64,Democrat
764,CT,Connecticut,Union,1912,7.0,190398,198014.0,1.27,6.72,27200.0,1.04,Democrat
765,DE,Delaware,Border,1912,3.0,48694,85214.0,0.32,1.72,16231.0,1.75,Democrat
766,FL,Florida,Confederate,1912,6.0,50837,169796.0,0.34,1.79,8473.0,3.34,Democrat
767,GA,Georgia,Confederate,1912,14.0,121470,397207.0,0.81,4.29,8676.0,3.27,Democrat
768,ID,Idaho,Postbellum,1912,4.0,105754,113157.0,0.7,3.73,26438.0,1.07,Democrat
769,IL,Illinois,Union,1912,29.0,1146173,825245.0,7.62,40.46,39523.0,0.72,Democrat
770,IN,Indiana,Union,1912,15.0,654474,425408.0,4.35,23.1,43632.0,0.65,Democrat
771,IA,Iowa,Union,1912,13.0,492356,369267.0,3.27,17.38,37874.0,0.75,Democrat
772,KS,Kansas,Union,1912,10.0,365497,285088.0,2.43,12.9,36550.0,0.78,Democrat
773,KY,Kentucky,Border,1912,13.0,452714,366698.0,3.01,15.98,34824.0,0.81,Democrat
774,LA,Louisiana,Confederate,1912,10.0,79248,283708.0,0.53,2.8,7925.0,3.58,Democrat
775,ME,Maine,Union,1912,6.0,129640,169828.0,0.86,4.58,21607.0,1.31,Democrat
776,MD,Maryland,Border,1912,8.0,231981,227341.0,1.54,8.19,28998.0,0.98,Democrat
777,MA,Massachusetts,Union,1912,18.0,488056,507578.0,3.24,17.23,27114.0,1.04,Democrat
778,MI,Michigan,Union,1912,15.0,550976,424252.0,3.66,19.45,36732.0,0.77,Progressive
779,MN,Minnesota,Union,1912,12.0,334219,340903.0,2.22,11.8,27852.0,1.02,Progressive
780,MS,Mississippi,Confederate,1912,10.0,64483,283080.0,0.43,2.28,6448.0,4.39,Democrat
781,MO,Missouri,Border,1912,18.0,698566,509953.0,4.64,24.66,38809.0,0.73,Democrat
782,MT,Montana,Postbellum,1912,4.0,79826,113353.0,0.53,2.82,19956.0,1.42,Democrat
783,NE,Nebraska,Postbellum,1912,8.0,249483,227030.0,1.66,8.81,31185.0,0.91,Democrat
784,NV,Nevada,Postbellum,1912,3.0,20115,85086.0,0.13,0.71,6705.0,4.23,Democrat
785,NH,New Hampshire,Union,1912,4.0,87961,113470.0,0.58,3.1,21990.0,1.29,Democrat
786,NJ,New Jersey,Union,1912,14.0,432739,398120.0,2.88,15.27,30910.0,0.92,Democrat
787,NM,New Mexico,Postbellum,1912,3.0,49376,84927.0,0.33,1.74,16459.0,1.72,Democrat
788,NY,New York,Union,1912,45.0,1588315,1270652.0,10.56,56.06,35296.0,0.8,Democrat
789,NC,North Carolina,Confederate,1912,12.0,243776,338849.0,1.62,8.6,20315.0,1.39,Democrat
790,ND,North Dakota,Postbellum,1912,5.0,86580,141991.0,0.58,3.06,17316.0,1.64,Democrat
791,OH,Ohio,Union,1912,24.0,1037094,684482.0,6.89,36.61,43212.0,0.66,Democrat
792,OK,Oklahoma,Postbellum,1912,10.0,253801,284257.0,1.69,8.96,25380.0,1.12,Democrat
793,OR,Oregon,Union,1912,5.0,137040,141151.0,0.91,4.84,27408.0,1.03,Democrat
794,PA,Pennsylvania,Union,1912,38.0,1217736,1071608.0,8.09,42.98,32046.0,0.88,Progressive
795,RI,Rhode Island,Union,1912,5.0,77894,141767.0,0.52,2.75,15579.0,1.82,Democrat
796,SC,South Carolina,Confederate,1912,9.0,50350,254771.0,0.33,1.78,5594.0,5.06,Democrat
797,SD,South Dakota,Postbellum,1912,5.0,116325,141916.0,0.77,4.11,23265.0,1.22,Progressive
798,TN,Tennessee,Confederate,1912,12.0,251933,340110.0,1.67,8.89,20994.0,1.35,Democrat
799,TX,Texas,Confederate,1912,20.0,305120,567523.0,2.03,10.77,15256.0,1.86,Democrat
800,UT,Utah,Postbellum,1912,4.0,112386,113510.0,0.75,3.97,28096.0,1.01,Republican
801,VT,Vermont,Union,1912,4.0,62841,113114.0,0.42,2.22,15710.0,1.8,Republican
802,VA,Virginia,Confederate,1912,12.0,136975,339698.0,0.91,4.83,11415.0,2.48,Democrat
803,WA,Washington,Postbellum,1912,7.0,322799,196907.0,2.15,11.39,46114.0,0.61,Progressive
804,WV,West Virginia,Border,1912,8.0,268828,225816.0,1.79,9.49,33604.0,0.84,Democrat
805,WI,Wisconsin,Union,1912,13.0,399966,367969.0,2.66,14.12,30767.0,0.92,Democrat
806,WY,Wyoming,Postbellum,1912,3.0,42296,85015.0,0.28,1.49,14099.0,2.01,Democrat
807,AL,Alabama,Confederate,1916,12.0,130728,418330.0,0.71,3.74,10894.0,3.2,Democrat
808,AZ,Arizona,Postbellum,1916,3.0,58021,104438.0,0.31,1.66,19340.0,1.8,Democrat
809,AR,Arkansas,Confederate,1916,9.0,170104,314692.0,0.92,4.87,18900.0,1.85,Democrat
810,CA,California,Union,1916,13.0,999603,449821.0,5.39,28.63,76893.0,0.45,Democrat
811,CO,Colorado,Postbellum,1916,6.0,294375,209006.0,1.59,8.43,49062.0,0.71,Democrat
812,CT,Connecticut,Union,1916,7.0,213874,243816.0,1.15,6.13,30553.0,1.14,Republican
813,DE,Delaware,Border,1916,3.0,51810,104656.0,0.28,1.48,17270.0,2.02,Republican
814,FL,Florida,Confederate,1916,6.0,80734,209101.0,0.44,2.31,13456.0,2.59,Democrat
815,GA,Georgia,Confederate,1916,14.0,160681,488470.0,0.87,4.6,11477.0,3.04,Democrat
816,ID,Idaho,Postbellum,1916,4.0,134615,140000.0,0.73,3.86,33654.0,1.04,Democrat
817,IL,Illinois,Union,1916,29.0,2192707,1008645.0,11.83,62.81,75611.0,0.46,Republican
818,IN,Indiana,Union,1916,15.0,718848,524759.0,3.88,20.59,47923.0,0.73,Republican
819,IA,Iowa,Union,1916,13.0,513942,452269.0,2.77,14.72,39534.0,0.88,Republican
820,KS,Kansas,Union,1916,10.0,629813,346397.0,3.4,18.04,62981.0,0.55,Democrat
821,KY,Kentucky,Border,1916,13.0,520078,452468.0,2.81,14.9,40006.0,0.87,Democrat
822,LA,Louisiana,Confederate,1916,10.0,92982,348682.0,0.5,2.66,9298.0,3.75,Democrat
823,ME,Maine,Union,1916,6.0,136314,209924.0,0.74,3.9,22719.0,1.54,Republican
824,MD,Maryland,Border,1916,8.0,262039,280382.0,1.41,7.51,32755.0,1.07,Democrat
825,MA,Massachusetts,Union,1916,18.0,531823,627551.0,2.87,15.23,29546.0,1.18,Republican
826,MI,Michigan,Union,1916,15.0,650973,520778.0,3.51,18.65,43398.0,0.8,Republican
827,MN,Minnesota,Union,1916,12.0,387364,418353.0,2.09,11.1,32280.0,1.08,Republican
828,MS,Mississippi,Confederate,1916,10.0,86679,349316.0,0.47,2.48,8668.0,4.03,Democrat
829,MO,Missouri,Border,1916,18.0,786769,629415.0,4.24,22.54,43709.0,0.8,Democrat
830,MT,Montana,Postbellum,1916,4.0,177679,140366.0,0.96,5.09,44420.0,0.79,Democrat
831,NE,Nebraska,Postbellum,1916,8.0,287315,278696.0,1.55,8.23,35914.0,0.97,Democrat
832,NV,Nevada,Postbellum,1916,3.0,33316,104612.0,0.18,0.95,11105.0,3.14,Democrat
