,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Vote weight,Party
512,MA,Massachusetts,Union,1888,14.0,344243,399322.0,3.02,12.12,24589.0,1.16,Democrat
513,MI,Michigan,Union,1888,13.0,475356,370778.0,4.17,16.74,36566.0,0.78,Democrat
514,MN,Minnesota,Union,1888,7.0,263285,200097.0,2.31,9.27,37612.0,0.76,Democrat
515,MS,Mississippi,Confederate,1888,9.0,115786,255887.0,1.02,4.08,12865.0,2.21,Republican
516,MO,Missouri,Border,1888,16.0,521360,453583.0,4.58,18.36,32585.0,0.87,Republican
517,NE,Nebraska,Postbellum,1888,5.0,202632,141842.0,1.78,7.13,40526.0,0.7,Democrat
518,NV,Nevada,Postbellum,1888,3.0,12278,85209.0,0.11,0.43,4093.0,6.94,Democrat
519,NH,New Hampshire,Union,1888,4.0,90835,113544.0,0.8,3.2,22709.0,1.25,Democrat
520,NJ,New Jersey,Union,1888,9.0,303801,255193.0,2.67,10.7,33756.0,0.84,Republican
521,NY,New York,Union,1888,36.0,1319748,1016206.0,11.59,46.47,36660.0,0.77,Republican
522,NC,North Carolina,Confederate,1888,11.0,285563,311264.0,2.51,10.05,25960.0,1.09,Republican
523,OH,Ohio,Union,1888,23.0,840361,655482.0,7.38,29.59,36537.0,0.78,Democrat
524,OR,Oregon,Union,1888,3.0,61853,85357.0,0.54,2.18,20618.0,1.38,Democrat
525,PA,Pennsylvania,Union,1888,30.0,997568,847933.0,8.76,35.12,33252.0,0.85,Democrat
526,RI,Rhode Island,Union,1888,4.0,40775,113762.0,0.36,1.44,10194.0,2.79,Democrat
527,SC,South Carolina,Confederate,1888,9.0,79997,255990.0,0.7,2.82,8889.0,3.2,Republican
528,TN,Tennessee,Confederate,1888,12.0,303694,340137.0,2.67,10.69,25308.0,1.12,Republican
529,TX,Texas,Confederate,1888,13.0,357513,368238.0,3.14,12.59,27501.0,1.03,Republican
530,VT,Vermont,Union,1888,4.0,65452,113886.0,0.57,2.3,16363.0,1.74,Democrat
531,VA,Virginia,Confederate,1888,12.0,304087,340577.0,2.67,10.71,25341.0,1.12,Republican
532,WV,West Virginia,Border,1888,6.0,159440,170601.0,1.4,5.61,26573.0,1.07,Republican
533,WI,Wisconsin,Union,1888,11.0,354614,312060.0,3.11,12.49,32238.0,0.88,Democrat
534,AL,Alabama,Confederate,1892,11.0,232543,299980.0,1.93,8.56,21140.0,1.29,Democrat
535,AR,Arkansas,Confederate,1892,8.0,148117,217732.0,1.23,5.45,18515.0,1.47,Democrat
536,CA,California,Union,1892,9.0,269609,245344.0,2.23,9.92,29957.0,0.91,Democrat
537,CO,Colorado,Postbellum,1892,4.0,93891,108914.0,0.78,3.45,23473.0,1.16,Populist
538,CT,Connecticut,Union,1892,6.0,164595,162949.0,1.36,6.06,27432.0,0.99,Democrat
539,DE,Delaware,Border,1892,3.0,37235,81545.0,0.31,1.37,12412.0,2.19,Democrat
540,FL,Florida,Confederate,1892,4.0,35471,108896.0,0.29,1.31,8868.0,3.07,Democrat
541,GA,Georgia,Confederate,1892,13.0,223126,352539.0,1.85,8.21,17164.0,1.58,Democrat
542,ID,Idaho,Postbellum,1892,3.0,19407,81509.0,0.16,0.71,6469.0,4.2,Populist
543,IL,Illinois,Union,1892,24.0,873647,655235.0,7.24,32.14,36402.0,0.75,Democrat
544,IN,Indiana,Union,1892,15.0,553613,409674.0,4.59,20.37,36908.0,0.74,Democrat
545,IA,Iowa,Union,1892,13.0,443159,354527.0,3.67,16.3,34089.0,0.8,Republican
546,KS,Kansas,Union,1892,10.0,324905,272920.0,2.69,11.95,32490.0,0.84,Populist
547,KY,Kentucky,Border,1892,13.0,340864,354499.0,2.82,12.54,26220.0,1.04,Democrat
548,LA,Louisiana,Confederate,1892,8.0,114889,217140.0,0.95,4.23,14361.0,1.89,Democrat
549,ME,Maine,Union,1892,6.0,116451,163031.0,0.96,4.28,19408.0,1.4,Republican
550,MD,Maryland,Border,1892,8.0,213275,217540.0,1.77,7.85,26659.0,1.02,Democrat
551,MA,Massachusetts,Union,1892,15.0,391028,406669.0,3.24,14.39,26069.0,1.04,Republican
552,MI,Michigan,Union,1892,14.0,466045,382157.0,3.86,17.15,33289.0,0.82,Republican
553,MN,Minnesota,Union,1892,9.0,267238,245859.0,2.21,9.83,29693.0,0.92,Republican
