,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
54,West,1864,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
55,Midwest,1868,85.0,2077890,1662312.0,36.31,106.76,24446.0,0.8,7,"IL,IN,IA,MI,MO,OH,WI"
56,Northeast,1868,91.0,2075667,1764317.0,36.27,106.64,22810.0,0.85,6,"CT,ME,MA,NJ,NY,PA"
57,Small,1868,48.0,526318,936846.0,9.2,27.04,10965.0,1.78,12,"AR,CA,DE,KS,MN,NE,NV,NH,OR,RI,VT,WV"
58,South,1868,67.0,1042941,1303676.0,18.23,53.58,15566.0,1.25,8,"AL,GA,KY,LA,MD,NC,SC,TN"
59,West,1868,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
60,Midwest,1872,105.0,2213787,1859581.0,34.21,125.19,21084.0,0.84,7,"IL,IN,IA,MI,MO,OH,WI"
61,Northeast,1872,99.0,1938790,1744911.0,29.96,109.64,19584.0,0.9,6,"CT,ME,MA,NJ,NY,PA"
62,Small,1872,45.0,510518,796408.0,7.89,28.87,11345.0,1.56,11,"DE,FL,KS,MN,NE,NV,NH,OR,RI,VT,WV"
63,South,1872,111.0,1713103,1970068.0,26.47,96.88,15433.0,1.15,12,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA"
64,West,1872,6.0,95785,106321.0,1.48,5.42,15964.0,1.11,1,CA
65,Midwest,1876,105.0,2870902,2382849.0,34.1,125.83,27342.0,0.83,7,"IL,IN,IA,MI,MO,OH,WI"
66,Northeast,1876,99.0,2493488,2269074.0,29.62,109.29,25187.0,0.91,6,"CT,ME,MA,NJ,NY,PA"
67,Small,1876,45.0,688986,1026589.0,8.18,30.2,15311.0,1.49,11,"DE,FL,KS,MN,NE,NV,NH,OR,RI,VT,WV"
68,South,1876,111.0,2209499,2540924.0,26.25,96.84,19905.0,1.15,12,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA"
69,West,1876,6.0,155784,137090.0,1.85,6.83,25964.0,0.88,1,CA
70,Midwest,1880,105.0,3161732,2624238.0,34.29,126.55,30112.0,0.83,7,"IL,IN,IA,MI,MO,OH,WI"
71,Northeast,1880,99.0,2783486,2477303.0,30.19,111.41,28116.0,0.89,6,"CT,ME,MA,NJ,NY,PA"
72,Small,1880,48.0,926810,1195585.0,10.05,37.09,19309.0,1.29,12,"CO,DE,FL,KS,MN,NE,NV,NH,OR,RI,VT,WV"
73,South,1880,111.0,2184908,2774833.0,23.7,87.45,19684.0,1.27,12,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA"
74,West,1880,6.0,164245,149463.0,1.78,6.57,27374.0,0.91,1,CA
75,Midwest,1884,129.0,3947967,3237333.0,39.24,157.36,30604.0,0.82,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
76,Northeast,1884,101.0,2903085,2525684.0,28.86,115.72,28743.0,0.87,6,"CT,ME,MA,NJ,NY,PA"
77,Small,1884,33.0,532932,826045.0,5.3,21.24,16149.0,1.55,9,"CO,DE,FL,NE,NV,NH,OR,RI,VT"
78,South,1884,130.0,2479173,3272508.0,24.64,98.82,19071.0,1.32,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
79,West,1884,8.0,196988,200928.0,1.96,7.85,24624.0,1.02,1,CA
80,Midwest,1888,129.0,4475022,3669518.0,39.29,157.57,34690.0,0.82,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
81,Northeast,1888,101.0,3247591,2857880.0,28.52,114.35,32154.0,0.88,6,"CT,ME,MA,NJ,NY,PA"
82,Small,1888,33.0,662035,940090.0,5.81,23.31,20062.0,1.42,9,"CO,DE,FL,NE,NV,NH,OR,RI,VT"
83,South,1888,130.0,2752859,3688831.0,24.17,96.93,21176.0,1.34,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
84,West,1888,8.0,251339,226205.0,2.21,8.85,31417.0,0.9,1,CA
85,Midwest,1892,145.0,4892127,3962623.0,40.54,179.99,33739.0,0.81,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
86,Northeast,1892,105.0,3349500,2847075.0,27.76,123.23,31900.0,0.85,6,"CT,ME,MA,NJ,NY,PA"
87,Small,1892,50.0,729490,1356851.0,6.04,26.84,14590.0,1.86,14,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,VT,WA,WY"
88,South,1892,135.0,2827301,3675491.0,23.43,104.02,20943.0,1.3,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
89,West,1892,9.0,269609,245344.0,2.23,9.92,29957.0,0.91,1,CA
90,Midwest,1896,145.0,5830221,4547572.0,41.83,186.97,40208.0,0.78,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
91,Northeast,1896,105.0,3683819,3278599.0,26.43,118.14,35084.0,0.89,6,"CT,ME,MA,NJ,NY,PA"
92,Small,1896,53.0,990599,1654300.0,7.11,31.77,18691.0,1.67,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
93,South,1896,135.0,3135616,4201725.0,22.5,100.56,23227.0,1.34,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
94,West,1896,9.0,298419,280514.0,2.14,9.57,33158.0,0.94,1,CA
95,Midwest,1900,145.0,5948462,4520831.0,42.5,189.96,41024.0,0.76,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
96,Northeast,1900,105.0,3822994,3287775.0,27.31,122.09,36409.0,0.86,6,"CT,ME,MA,NJ,NY,PA"
97,Small,1900,53.0,1129127,1659817.0,8.07,36.06,21304.0,1.47,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
98,South,1900,135.0,2794528,4219737.0,19.96,89.24,20700.0,1.51,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
99,West,1900,9.0,302318,281156.0,2.16,9.65,33591.0,0.93,1,CA
100,Midwest,1904,152.0,5708652,4338576.0,42.21,200.91,37557.0,0.76,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
101,Northeast,1904,114.0,4020315,3256455.0,29.72,141.49,35266.0,0.81,6,"CT,ME,MA,NJ,NY,PA"
102,Small,1904,57.0,1225164,1617216.0,9.06,43.12,21494.0,1.32,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
103,South,1904,143.0,2239086,4052746.0,16.56,78.8,15658.0,1.81,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
104,West,1904,10.0,331878,285415.0,2.45,11.68,33188.0,0.86,1,CA
105,Midwest,1908,152.0,6178948,4696000.0,41.5,200.44,40651.0,0.76,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
