,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
56,Small,1860,48.0,727325,741872.0,15.54,47.08,15153.0,1.02,12,"AR,CA,DE,FL,IA,MN,NH,OR,RI,TX,VT,WI"
57,South,1860,89.0,964871,1379766.0,20.61,62.45,10841.0,1.43,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
58,West,1860,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
59,Nat'l Average,1860,303.0,4681335,4681335.0,100.0,303.0,15450.0,1.0,33,All 33
60,Midwest,1864,85.0,1651550,1469880.0,40.96,95.44,19430.0,0.89,7,"IL,IN,IA,MI,MO,OH,WI"
61,Northeast,1864,91.0,1810442,1575085.0,44.9,104.63,19895.0,0.87,6,"CT,ME,MA,NJ,NY,PA"
62,Small,1864,39.0,404888,676163.0,10.04,23.4,10382.0,1.67,10,"CA,DE,KS,MN,NV,NH,OR,RI,VT,WV"
63,South,1864,18.0,164980,311812.0,4.09,9.53,9166.0,1.89,2,"KY,MD"
64,West,1864,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
65,Nat'l Average,1864,233.0,4031887,4031887.0,100.0,233.0,17304.0,1.0,25,All 25
66,Midwest,1868,85.0,2077890,1662312.0,36.31,106.76,24446.0,0.8,7,"IL,IN,IA,MI,MO,OH,WI"
67,Northeast,1868,91.0,2075667,1764317.0,36.27,106.64,22810.0,0.85,6,"CT,ME,MA,NJ,NY,PA"
68,Small,1868,48.0,526318,936846.0,9.2,27.04,10965.0,1.78,12,"AR,CA,DE,KS,MN,NE,NV,NH,OR,RI,VT,WV"
69,South,1868,67.0,1042941,1303676.0,18.23,53.58,15566.0,1.25,8,"AL,GA,KY,LA,MD,NC,SC,TN"
70,West,1868,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
71,Nat'l Average,1868,294.0,5722440,5722440.0,100.0,294.0,19464.0,1.0,34,All 34
72,Midwest,1872,105.0,2213787,1859581.0,34.21,125.19,21084.0,0.84,7,"IL,IN,IA,MI,MO,OH,WI"
73,Northeast,1872,99.0,1938790,1744911.0,29.96,109.64,19584.0,0.9,6,"CT,ME,MA,NJ,NY,PA"
74,Small,1872,45.0,510518,796408.0,7.89,28.87,11345.0,1.56,11,"DE,FL,KS,MN,NE,NV,NH,OR,RI,VT,WV"
75,South,1872,111.0,1713103,1970068.0,26.47,96.88,15433.0,1.15,12,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA"
76,West,1872,6.0,95785,106321.0,1.48,5.42,15964.0,1.11,1,CA
77,Nat'l Average,1872,366.0,6471983,6471983.0,100.0,366.0,17683.0,1.0,37,All 37
78,Midwest,1876,105.0,2870902,2382849.0,34.1,125.83,27342.0,0.83,7,"IL,IN,IA,MI,MO,OH,WI"
79,Northeast,1876,99.0,2493488,2269074.0,29.62,109.29,25187.0,0.91,6,"CT,ME,MA,NJ,NY,PA"
80,Small,1876,45.0,688986,1026589.0,8.18,30.2,15311.0,1.49,11,"DE,FL,KS,MN,NE,NV,NH,OR,RI,VT,WV"
