Group,1824,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Midwest,0.4484247561170638,0.5370815496493678,0.6734464267449846,0.5769815858481955,0.6545139066610706,0.8177447366304024,0.7694624765132815,0.8068136529264405,0.7977762919723518,0.7209043488964912,0.8905815748841996,0.8044338246971687,0.8387053497016651,0.8412721855361137,0.8297430016206307,0.8197515328775544,0.8187063661363005,0.8056005087357707,0.7755340663758715,0.763311592139279,0.7565582908189183,0.7583336192503967,0.7502565441529185,0.704466262062576,0.7164336535786489,0.7173081877630042,0.7681342037517738,0.7444504449685821,0.7621255616076119,0.7735203041740657,0.7609968368346528,0.7913376146635276,0.8190017828238206,0.8235095072327789,0.8299646251028072,0.8473644497092322,0.8753269108086366,0.872690232191758,0.8783615692534504,0.8945408259554645,0.8980651229886883,0.917087924027849,0.8691066548374635,0.8915153239752492,0.9008044934552789,0.8718836413245404,0.902055228680114,0.8649160583603481,0.9046255761860175,0.9489922605892837
Northeast,0.7480010389683325,0.819380660349302,0.7558520766818905,0.8953749799261281,0.9093271749270693,0.8623880597014926,0.8604512897773434,0.8299777220720128,0.8907855569751252,0.9378656842851796,0.8697677141825035,0.862139736287179,0.9029430727412459,0.9132580545805715,0.8886392818214283,0.8728259765043049,0.8832703995053565,0.852037617554859,0.8888099551036573,0.8600510489945838,0.8057070154950545,0.8517048138357881,0.896120570789773,1.020184034190368,0.8945795344188722,0.8535782053041964,0.7716879281816778,0.8177606759226347,0.7567461273300142,0.7685324406702914,0.7413871900314225,0.7547837753987422,0.7726924637089073,0.7756105775359319,0.7992850219691913,0.792130986875213,0.8389665054993305,0.8315573939546839,0.89639635929373,0.9737271549243517,0.8931746564656682,0.9168473398211179,0.9002352418306916,0.912429409395279,0.9341816780040171,0.9193701838185049,0.94339319400948,0.9166566989820887,0.9052238615881444,0.9345632359332423
Small,0.7239947012730416,1.1807697838278293,2.212376636841903,1.491370328425821,0.9533833338744647,1.5975336322869955,1.6219470335067199,1.2989955988864375,1.0160961576743457,1.0472787268415082,1.6667720456027346,1.7934404675500364,1.5586815744009026,1.502338218773676,1.2939869013066325,1.5534890004728559,1.4156849713383735,1.862945345378278,1.6683834730299547,1.469845287554013,1.3219438377229498,1.2402578289934802,1.4829131812601708,1.3109221951995542,1.496291486665328,1.4887230709879211,1.6268035685406184,1.420395584320013,1.515578603252479,1.5224145871277253,1.8154678814633063,1.7391762377538769,1.754673016258017,1.7545675647562364,1.7887668407508326,1.754693516257702,1.8174598497474181,1.755894712622593,1.7295622294180049,1.671585749448368,1.752138279317048,1.7043542842001385,1.6317403298592523,1.6197333603096598,1.6314049269002857,1.6417723941057807,1.6739670090562733,1.784525149355181,1.8082240303525243,1.6731297070240163
South,0.8166546284862182,1.3496822266053035,1.7149501558115379,1.3812425655518494,1.4523745720872205,1.3263252544706996,1.30130103024132,1.3932064670689441,1.4317068736228111,1.4637614769228218,1.8879379318705298,1.2633073203565686,1.1457647321848132,1.1555660355582873,1.2693143143784544,1.3155354628337756,1.3411983686778,1.2978101730236717,1.3425448141609178,1.5127384660307572,1.8146699144204377,1.661709860833304,1.6970941839025129,1.7793652406891227,1.656854555708798,1.8773370668957854,1.8722562908563736,1.8039969940434222,1.9058145406623723,1.8837360800975693,1.9354677248497563,1.8593351828852862,1.5447133443214112,1.5488451853067928,1.472722165577574,1.313051630486952,1.173562527453512,1.1986837849934493,1.084072454419757,1.0319412659462226,1.0381479916420164,1.0354956133776954,1.0356133784763661,1.0096299353642952,0.9902191849489265,0.9927633244150749,0.9589489682883607,0.9774220891399215,0.9691433239746516,0.9610108530666363
Nat'l Average,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
West,,,,,,,,,,,,,1.1076682152737902,0.8859189647203821,0.9127218484580961,1.0188640932442585,0.9039902283370269,0.9073139249802492,0.9404461512169131,0.9322170694434337,0.8561579857658537,0.7973936683419686,0.5831447919025083,0.5418801030703797,0.801636634781364,0.6964441179072879,0.6700340330545206,0.8067808300373959,0.8101711456622994,0.733625522266757,0.7582142959043068,0.6931125725245117,0.7933076027164262,0.7722702897922445,0.7335789056192342,0.8107044199803775,0.8147494244695209,0.8525052925300735,0.9011497769578836,0.865062932717474,0.9108319143868122,0.867822218700684,0.9521923568892272,0.9505920190460209,0.944159627255144,0.983666800971245,0.9711783092322545,1.0232856771035448,0.9932576980224068,0.9314774449823487
