Group,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Border,0.9605852167267169,1.0776465225813803,1.1247834098847602,1.2092153675417552,1.0911350823456296,1.0845678674902968,1.2733813754254633,1.2514993157005998,1.1760340250620842,1.9937656675749318,1.5367518084629666,1.1133922949643449,1.091535701371311,1.0932741084466697,1.0827012366110422,1.0316439153393195,0.9796201945345067,0.9101438493295643,0.876495110592327,0.8768217709421001,0.8625206919017935,0.83291048887483,0.9135860496569571,0.7672535777260373,0.868011609182038,0.932088612156686,0.8505572014544955,0.8919111093076263,0.9464346978387368,1.0452592440056547,1.0641317561899037,1.0342895353471675,1.0403737972386333,1.070511626533859,1.0823311990166071,1.1004954224762364,1.0964421171835506,1.0942891653306612,1.088625719958093,1.0904440824694668,1.100516217893841,1.049554308482863,1.0619475995545753,1.049778395016585,1.0454464828531407,1.061297989349045,1.0349229908961193,1.054507746784439,1.115715955542768
Confederate,1.6422945498478148,2.3326361208677007,1.5042330218245246,1.4267328329664022,1.3791271886677414,1.4175009366477596,1.5265008571729917,1.4873410844289905,1.4428970009689357,,1.2574230063848801,1.1824255601596665,1.1831632903722384,1.3213078725416574,1.3805045774839833,1.4442719249468896,1.4241324429698619,1.529000030645705,1.8648383937316357,2.475033209207117,2.3297984499248643,2.3072034021541374,2.349168624514588,2.373379263542137,2.728919162687236,2.5850277154906034,2.4557073199637682,2.552272118902855,2.4494142499067277,2.4201608926500717,2.237659540688484,1.740250800586598,1.7352525283593505,1.598169828727303,1.3650131876660845,1.177241450077554,1.2169576673733171,1.0739765104128565,1.0110006492421124,1.018719188257792,1.0103607290336765,1.0354377268537749,1.0007170859362253,0.9787660181115744,0.99055906836806,0.9481800795808459,0.9700730712930337,0.9601139443660435,0.9432324617218525
Post-War,,,,,,,,,,2.107673568818514,4.327096224387714,2.6144747541953133,1.983366898969849,1.411200994081949,1.292481195964743,1.0181029538285058,1.6397087720023993,1.4291689632755653,1.1892850289442543,1.091335074512214,0.97501344213556,1.0649015261865344,1.047992469885778,1.2305658614195776,1.2145280096676538,1.322375223683558,1.2253817770558568,1.311098126275514,1.3064691443838652,1.3739123988667565,1.353586245389524,1.3474544195231977,1.3523185713592611,1.4185496227404968,1.4280207470858883,1.45905293682482,1.375772972758426,1.3320454138325526,1.272947380768037,1.3495560361605106,1.3099717817965049,1.2815516123248383,1.247939335515629,1.241486378734033,1.2431066426112973,1.2349379810629149,1.267694794370335,1.2477474548001886,1.1879609742363189
Nat'l Average,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Union,0.781987701572675,0.7314076982073914,0.7987039437830036,0.8023783693177321,0.8320457171211081,0.8264510884488218,0.8057486813357432,0.8124118781136681,0.8305170628538697,0.9086869961007656,0.8598825500146198,0.907080127576361,0.9013974968744299,0.8828397073897459,0.8697588664599635,0.8728562393835602,0.8444903621838334,0.8459768204033233,0.8295483457088291,0.7962532254416326,0.8171810500480643,0.8161676750205773,0.8041960569520479,0.8057236644178535,0.7760144116480807,0.7642359748382338,0.7938778295332806,0.7777637479892815,0.7763659381435914,0.7585653597031292,0.766883384319232,0.8046237004191231,0.8041860127411817,0.8068502237753585,0.8367684747375367,0.869082843112478,0.8656725220569259,0.9079832519663519,0.9372226882870142,0.918006190549615,0.9254395147495561,0.9212046579743732,0.9403835826668665,0.9489498244325657,0.9390506838505942,0.9608231952600819,0.9418671828783207,0.9490629103437974,0.9636822994835165
