,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted %,EC votes normalized,Population per EC vote,Vote weight,Party
72,,,West,1836,0.0,0,0.0,0.0,0.0,0.0,
73,AL,Alabama,Confederate,1840,7.0,62511,2.59,7.62,8930.0,0.92,Democrat
74,AR,Arkansas,Confederate,1840,3.0,11839,0.49,1.44,3946.0,2.08,Democrat
75,CT,Connecticut,Northeast,1840,8.0,56879,2.36,6.93,7110.0,1.15,Whig
76,DE,Delaware,Border,1840,3.0,10852,0.45,1.32,3617.0,2.27,Whig
77,GA,Georgia,Confederate,1840,11.0,72322,3.0,8.81,6575.0,1.25,Whig
78,IL,Illinois,Midwest,1840,5.0,93175,3.86,11.35,18635.0,0.44,Democrat
79,IN,Indiana,Midwest,1840,9.0,116906,4.85,14.25,12990.0,0.63,Whig
80,KY,Kentucky,Border,1840,15.0,91104,3.78,11.1,6074.0,1.35,Whig
81,LA,Louisiana,Confederate,1840,5.0,18912,0.78,2.3,3782.0,2.17,Whig
82,ME,Maine,Northeast,1840,10.0,92802,3.85,11.31,9280.0,0.88,Whig
83,MD,Maryland,Border,1840,10.0,62280,2.58,7.59,6228.0,1.32,Whig
84,MA,Massachusetts,Northeast,1840,14.0,126825,5.26,15.46,9059.0,0.91,Whig
85,MI,Michigan,Midwest,1840,3.0,44350,1.84,5.4,14783.0,0.56,Whig
86,MS,Mississippi,Confederate,1840,4.0,36525,1.51,4.45,9131.0,0.9,Whig
87,MO,Missouri,Border,1840,4.0,52923,2.19,6.45,13231.0,0.62,Democrat
88,NH,New Hampshire,Northeast,1840,7.0,59956,2.49,7.31,8565.0,0.96,Democrat
89,NJ,New Jersey,Northeast,1840,8.0,64454,2.67,7.85,8057.0,1.02,Whig
90,NY,New York,Northeast,1840,42.0,441543,18.3,53.81,10513.0,0.78,Whig
91,NC,North Carolina,Confederate,1840,15.0,80735,3.35,9.84,5382.0,1.52,Whig
92,OH,Ohio,Midwest,1840,21.0,273842,11.35,33.37,13040.0,0.63,Whig
93,PA,Pennsylvania,Northeast,1840,30.0,288026,11.94,35.1,9601.0,0.85,Whig
94,RI,Rhode Island,Northeast,1840,4.0,8621,0.36,1.05,2155.0,3.81,Whig
95,TN,Tennessee,Confederate,1840,15.0,108145,4.48,13.18,7210.0,1.14,Whig
96,VT,Vermont,Northeast,1840,7.0,50773,2.1,6.19,7253.0,1.13,Whig
97,VA,Virginia,Confederate,1840,23.0,86394,3.58,10.53,3756.0,2.18,Democrat
98,,,West,1840,0.0,0,0.0,0.0,0.0,0.0,
99,AL,Alabama,Confederate,1844,9.0,63403,2.34,6.45,7045.0,1.4,Democrat
100,AR,Arkansas,Confederate,1844,3.0,15150,0.56,1.54,5050.0,1.95,Democrat
101,CT,Connecticut,Northeast,1844,6.0,64616,2.39,6.57,10769.0,0.91,Whig
102,DE,Delaware,Border,1844,3.0,12247,0.45,1.25,4082.0,2.41,Whig
103,GA,Georgia,Confederate,1844,10.0,86247,3.19,8.77,8625.0,1.14,Democrat
104,IL,Illinois,Midwest,1844,9.0,109057,4.03,11.09,12117.0,0.81,Democrat
105,IN,Indiana,Midwest,1844,12.0,140154,5.18,14.25,11680.0,0.84,Democrat
106,KY,Kentucky,Border,1844,12.0,116865,4.32,11.89,9739.0,1.01,Whig
107,LA,Louisiana,Confederate,1844,6.0,26865,0.99,2.73,4478.0,2.2,Democrat
108,ME,Maine,Northeast,1844,9.0,84933,3.14,8.64,9437.0,1.04,Democrat
109,MD,Maryland,Border,1844,8.0,68690,2.54,6.99,8586.0,1.15,Whig
110,MA,Massachusetts,Northeast,1844,12.0,132037,4.88,13.43,11003.0,0.89,Whig
111,MI,Michigan,Midwest,1844,5.0,55751,2.06,5.67,11150.0,0.88,Democrat
112,MS,Mississippi,Confederate,1844,6.0,45004,1.66,4.58,7501.0,1.31,Democrat
113,MO,Missouri,Border,1844,7.0,72522,2.68,7.38,10360.0,0.95,Democrat
114,NH,New Hampshire,Northeast,1844,6.0,49187,1.82,5.0,8198.0,1.2,Democrat
115,NJ,New Jersey,Northeast,1844,7.0,75944,2.81,7.72,10849.0,0.91,Whig
116,NY,New York,Northeast,1844,36.0,485882,17.97,49.42,13497.0,0.73,Democrat
117,NC,North Carolina,Confederate,1844,11.0,82521,3.05,8.39,7502.0,1.31,Whig
118,OH,Ohio,Midwest,1844,23.0,312224,11.55,31.76,13575.0,0.72,Whig
119,PA,Pennsylvania,Northeast,1844,26.0,331572,12.26,33.72,12753.0,0.77,Democrat
120,RI,Rhode Island,Northeast,1844,4.0,12296,0.45,1.25,3074.0,3.2,Whig
121,TN,Tennessee,Confederate,1844,13.0,119957,4.44,12.2,9227.0,1.07,Whig
122,VT,Vermont,Northeast,1844,6.0,48829,1.81,4.97,8138.0,1.21,Whig
123,VA,Virginia,Confederate,1844,17.0,95539,3.53,9.72,5620.0,1.75,Democrat
124,,,West,1844,0.0,0,0.0,0.0,0.0,0.0,
125,AL,Alabama,Confederate,1848,9.0,61655,2.14,6.22,6851.0,1.45,Democrat
126,AR,Arkansas,Confederate,1848,3.0,16888,0.59,1.7,5629.0,1.76,Democrat
127,CT,Connecticut,Northeast,1848,6.0,62398,2.17,6.29,10400.0,0.95,Whig
128,DE,Delaware,Border,1848,3.0,12423,0.43,1.25,4141.0,2.4,Whig
129,FL,Florida,Confederate,1848,3.0,7203,0.25,0.73,2401.0,4.13,Whig
130,GA,Georgia,Confederate,1848,10.0,92317,3.21,9.31,9232.0,1.07,Whig
131,IL,Illinois,Midwest,1848,9.0,124596,4.33,12.56,13844.0,0.72,Democrat
132,IN,Indiana,Midwest,1848,12.0,152752,5.31,15.4,12729.0,0.78,Democrat
133,IA,Iowa,Midwest,1848,4.0,22271,0.77,2.25,5568.0,1.78,Democrat
134,KY,Kentucky,Border,1848,12.0,116865,4.06,11.78,9739.0,1.02,Whig
135,LA,Louisiana,Confederate,1848,6.0,33866,1.18,3.41,5644.0,1.76,Whig
136,ME,Maine,Northeast,1848,9.0,87625,3.05,8.83,9736.0,1.02,Democrat
137,MD,Maryland,Border,1848,8.0,72359,2.52,7.29,9045.0,1.1,Whig
138,MA,Massachusetts,Northeast,1848,12.0,134748,4.68,13.58,11229.0,0.88,Whig
139,MI,Michigan,Midwest,1848,5.0,65082,2.26,6.56,13016.0,0.76,Democrat
140,MS,Mississippi,Confederate,1848,6.0,52456,1.82,5.29,8743.0,1.13,Democrat
141,MO,Missouri,Border,1848,7.0,72748,2.53,7.33,10393.0,0.95,Democrat
142,NH,New Hampshire,Northeast,1848,6.0,50104,1.74,5.05,8351.0,1.19,Democrat
143,NJ,New Jersey,Northeast,1848,7.0,77735,2.7,7.84,11105.0,0.89,Whig
144,NY,New York,Northeast,1848,36.0,455944,15.85,45.96,12665.0,0.78,Whig
145,NC,North Carolina,Confederate,1848,11.0,79826,2.77,8.05,7257.0,1.37,Whig
146,OH,Ohio,Midwest,1848,23.0,328479,11.42,33.11,14282.0,0.69,Democrat
147,PA,Pennsylvania,Northeast,1848,26.0,368552,12.81,37.15,14175.0,0.7,Whig
148,RI,Rhode Island,Northeast,1848,4.0,11155,0.39,1.12,2789.0,3.56,Whig
149,TN,Tennessee,Confederate,1848,13.0,122463,4.26,12.35,9420.0,1.05,Whig
150,TX,Texas,Confederate,1848,4.0,15177,0.53,1.53,3794.0,2.61,Democrat
151,VT,Vermont,Northeast,1848,6.0,47922,1.67,4.83,7987.0,1.24,Whig
152,VA,Virginia,Confederate,1848,17.0,92004,3.2,9.27,5412.0,1.83,Democrat
153,WI,Wisconsin,Midwest,1848,4.0,39166,1.36,3.95,9792.0,1.01,Democrat
154,,,West,1848,0.0,0,0.0,0.0,0.0,0.0,
155,AL,Alabama,Confederate,1852,9.0,44147,1.4,4.14,4905.0,2.18,Democrat
156,AR,Arkansas,Confederate,1852,4.0,19577,0.62,1.83,4894.0,2.18,Democrat
157,CA,California,West,1852,4.0,76810,2.43,7.2,19202.0,0.56,Democrat
158,CT,Connecticut,Northeast,1852,6.0,66781,2.11,6.26,11130.0,0.96,Democrat
159,DE,Delaware,Border,1852,3.0,12673,0.4,1.19,4224.0,2.53,Democrat
160,FL,Florida,Confederate,1852,3.0,7193,0.23,0.67,2398.0,4.45,Democrat
161,GA,Georgia,Confederate,1852,10.0,62626,1.98,5.87,6263.0,1.7,Democrat
162,IL,Illinois,Midwest,1852,11.0,154974,4.9,14.52,14089.0,0.76,Democrat
163,IN,Indiana,Midwest,1852,13.0,183170,5.8,17.16,14090.0,0.76,Democrat
164,IA,Iowa,Midwest,1852,4.0,35364,1.12,3.31,8841.0,1.21,Democrat
165,KY,Kentucky,Border,1852,12.0,111643,3.53,10.46,9304.0,1.15,Whig
166,LA,Louisiana,Confederate,1852,6.0,35872,1.14,3.36,5979.0,1.79,Democrat
167,ME,Maine,Northeast,1852,8.0,82182,2.6,7.7,10273.0,1.04,Democrat
168,MD,Maryland,Border,1852,8.0,75120,2.38,7.04,9390.0,1.14,Democrat
169,MA,Massachusetts,Northeast,1852,13.0,127103,4.02,11.91,9777.0,1.09,Whig
170,MI,Michigan,Midwest,1852,6.0,82939,2.62,7.77,13823.0,0.77,Democrat
171,MS,Mississippi,Confederate,1852,7.0,44454,1.41,4.16,6351.0,1.68,Democrat
172,MO,Missouri,Border,1852,9.0,68801,2.18,6.45,7645.0,1.4,Democrat
173,NH,New Hampshire,Northeast,1852,5.0,50535,1.6,4.73,10107.0,1.06,Democrat
174,NJ,New Jersey,Northeast,1852,7.0,83220,2.63,7.8,11889.0,0.9,Democrat
175,NY,New York,Northeast,1852,35.0,522294,16.53,48.93,14923.0,0.72,Democrat
176,NC,North Carolina,Confederate,1852,10.0,78891,2.5,7.39,7889.0,1.35,Democrat
177,OH,Ohio,Midwest,1852,23.0,353188,11.18,33.09,15356.0,0.7,Democrat
178,PA,Pennsylvania,Northeast,1852,27.0,387389,12.26,36.29,14348.0,0.74,Democrat
179,RI,Rhode Island,Northeast,1852,4.0,17005,0.54,1.59,4251.0,2.51,Democrat
180,TN,Tennessee,Confederate,1852,12.0,115486,3.66,10.82,9624.0,1.11,Whig
181,TX,Texas,Confederate,1852,4.0,18547,0.59,1.74,4637.0,2.3,Democrat
182,VT,Vermont,Northeast,1852,5.0,43890,1.39,4.11,8778.0,1.22,Whig
183,VA,Virginia,Confederate,1852,15.0,132604,4.2,12.42,8840.0,1.21,Democrat
184,WI,Wisconsin,Midwest,1852,5.0,64682,2.05,6.06,12936.0,0.83,Democrat
185,AL,Alabama,Confederate,1856,9.0,75291,1.86,5.5,8366.0,1.64,Democrat
186,AR,Arkansas,Confederate,1856,4.0,32642,0.81,2.38,8160.0,1.68,Democrat
187,CA,California,West,1856,4.0,110255,2.72,8.05,27564.0,0.5,Democrat
188,CT,Connecticut,Northeast,1856,6.0,80329,1.98,5.87,13388.0,1.02,Whig
189,DE,Delaware,Border,1856,3.0,14589,0.36,1.07,4863.0,2.81,Democrat
190,FL,Florida,Confederate,1856,3.0,11191,0.28,0.82,3730.0,3.67,Democrat
191,GA,Georgia,Confederate,1856,10.0,99020,2.44,7.23,9902.0,1.38,Democrat
192,IL,Illinois,Midwest,1856,11.0,239334,5.91,17.48,21758.0,0.63,Democrat
193,IN,Indiana,Midwest,1856,13.0,235431,5.81,17.2,18110.0,0.76,Democrat
194,IA,Iowa,Midwest,1856,4.0,92310,2.28,6.74,23078.0,0.59,Democrat
195,KY,Kentucky,Border,1856,12.0,142058,3.51,10.38,11838.0,1.16,Democrat
196,LA,Louisiana,Confederate,1856,6.0,42873,1.06,3.13,7146.0,1.92,Democrat
197,ME,Maine,Northeast,1856,8.0,109689,2.71,8.01,13711.0,1.0,Whig
198,MD,Maryland,Border,1856,8.0,86860,2.14,6.35,10858.0,1.26,American
199,MA,Massachusetts,Northeast,1856,13.0,170048,4.2,12.42,13081.0,1.05,Whig
200,MI,Michigan,Midwest,1856,6.0,125561,3.1,9.17,20927.0,0.65,Whig
201,MS,Mississippi,Confederate,1856,7.0,59647,1.47,4.36,8521.0,1.61,Democrat
202,MO,Missouri,Border,1856,9.0,106486,2.63,7.78,11832.0,1.16,Democrat
203,NH,New Hampshire,Northeast,1856,5.0,69774,1.72,5.1,13955.0,0.98,Whig
204,NJ,New Jersey,Northeast,1856,7.0,99396,2.45,7.26,14199.0,0.96,Democrat
205,NY,New York,Northeast,1856,35.0,596486,14.72,43.58,17042.0,0.8,Whig
206,NC,North Carolina,Confederate,1856,10.0,84963,2.1,6.21,8496.0,1.61,Democrat
207,OH,Ohio,Midwest,1856,23.0,386497,9.54,28.24,16804.0,0.81,Whig
208,PA,Pennsylvania,Northeast,1856,27.0,460161,11.36,33.62,17043.0,0.8,Democrat
209,RI,Rhode Island,Northeast,1856,4.0,19822,0.49,1.45,4956.0,2.76,Whig
210,TN,Tennessee,Confederate,1856,12.0,133582,3.3,9.76,11132.0,1.23,Democrat
211,TX,Texas,Confederate,1856,4.0,46808,1.16,3.42,11702.0,1.17,Democrat
212,VT,Vermont,Northeast,1856,5.0,50748,1.25,3.71,10150.0,1.35,Whig
213,VA,Virginia,Confederate,1856,15.0,150223,3.71,10.97,10015.0,1.37,Democrat
214,WI,Wisconsin,Midwest,1856,5.0,119512,2.95,8.73,23902.0,0.57,Whig
215,AL,Alabama,Confederate,1860,9.0,90122,1.93,5.83,10014.0,1.54,Democrat-Breckenridge
216,AR,Arkansas,Confederate,1860,4.0,54152,1.16,3.5,13538.0,1.14,Democrat-Breckenridge
217,CA,California,West,1860,4.0,119827,2.56,7.76,29957.0,0.52,Republican
218,CT,Connecticut,Northeast,1860,6.0,80745,1.72,5.23,13458.0,1.15,Republican
219,DE,Delaware,Border,1860,3.0,16115,0.34,1.04,5372.0,2.88,Democrat-Breckenridge
220,FL,Florida,Confederate,1860,3.0,13301,0.28,0.86,4434.0,3.48,Democrat-Breckenridge
221,GA,Georgia,Confederate,1860,10.0,106717,2.28,6.91,10672.0,1.45,Democrat-Breckenridge
222,IL,Illinois,Midwest,1860,11.0,339666,7.26,21.98,30879.0,0.5,Republican
223,IN,Indiana,Midwest,1860,13.0,272143,5.81,17.61,20934.0,0.74,Republican
224,IA,Iowa,Midwest,1860,4.0,128739,2.75,8.33,32185.0,0.48,Republican
225,KY,Kentucky,Border,1860,12.0,146216,3.12,9.46,12185.0,1.27,Constitutional Union
226,LA,Louisiana,Confederate,1860,6.0,50510,1.08,3.27,8418.0,1.84,Democrat-Breckenridge
227,ME,Maine,Northeast,1860,8.0,100918,2.16,6.53,12615.0,1.22,Republican
228,MD,Maryland,Border,1860,8.0,92502,1.98,5.99,11563.0,1.34,Democrat-Breckenridge
229,MA,Massachusetts,Northeast,1860,13.0,169876,3.63,11.0,13067.0,1.18,Republican
230,MI,Michigan,Midwest,1860,6.0,154549,3.3,10.0,25758.0,0.6,Republican
231,MN,Minnesota,Midwest,1860,4.0,34787,0.74,2.25,8697.0,1.78,Republican
232,MS,Mississippi,Confederate,1860,7.0,69095,1.48,4.47,9871.0,1.57,Democrat-Breckenridge
233,MO,Missouri,Border,1860,9.0,165563,3.54,10.72,18396.0,0.84,Democrat-Douglas
234,NH,New Hampshire,Northeast,1860,5.0,65943,1.41,4.27,13189.0,1.17,Republican
235,NJ,New Jersey,Northeast,1860,7.0,121215,2.59,7.85,17316.0,0.89,Republican
236,NY,New York,Northeast,1860,35.0,675156,14.42,43.7,19290.0,0.8,Republican
237,NC,North Carolina,Confederate,1860,10.0,96712,2.07,6.26,9671.0,1.6,Democrat-Breckenridge
238,OH,Ohio,Midwest,1860,23.0,432862,9.25,28.02,18820.0,0.82,Republican
239,OR,Oregon,West,1860,3.0,14761,0.32,0.96,4920.0,3.14,Republican
240,PA,Pennsylvania,Northeast,1860,27.0,476442,10.18,30.84,17646.0,0.88,Republican
241,RI,Rhode Island,Northeast,1860,4.0,19951,0.43,1.29,4988.0,3.1,Republican
242,TN,Tennessee,Confederate,1860,12.0,146106,3.12,9.46,12176.0,1.27,Constitutional Union
243,TX,Texas,Confederate,1860,4.0,63004,1.35,4.08,15751.0,0.98,Democrat-Breckenridge
244,VT,Vermont,Northeast,1860,5.0,44566,0.95,2.88,8913.0,1.73,Republican
245,VA,Virginia,Confederate,1860,15.0,166891,3.57,10.8,11126.0,1.39,Constitutional Union
246,WI,Wisconsin,Midwest,1860,5.0,152179,3.25,9.85,30436.0,0.51,Republican
247,CA,California,West,1864,5.0,105890,2.63,6.12,21178.0,0.82,Republican
248,CT,Connecticut,Northeast,1864,6.0,86958,2.16,5.03,14493.0,1.19,Republican
249,DE,Delaware,Border,1864,3.0,16922,0.42,0.98,5641.0,3.07,Democrat
250,IL,Illinois,Midwest,1864,16.0,348236,8.64,20.12,21765.0,0.8,Republican
251,IN,Indiana,Midwest,1864,13.0,280117,6.95,16.19,21547.0,0.8,Republican
252,IA,Iowa,Midwest,1864,8.0,132947,3.3,7.68,16618.0,1.04,Republican
253,KS,Kansas,Midwest,1864,3.0,21580,0.54,1.25,7193.0,2.41,Republican
254,KY,Kentucky,Border,1864,11.0,92088,2.28,5.32,8372.0,2.07,Democrat
255,ME,Maine,Northeast,1864,7.0,114797,2.85,6.63,16400.0,1.06,Republican
256,MD,Maryland,Border,1864,7.0,72892,1.81,4.21,10413.0,1.66,Republican
257,MA,Massachusetts,Northeast,1864,12.0,175487,4.35,10.14,14624.0,1.18,Republican
258,MI,Michigan,Midwest,1864,8.0,165279,4.1,9.55,20660.0,0.84,Republican
259,MN,Minnesota,Midwest,1864,4.0,42407,1.05,2.45,10602.0,1.63,Republican
260,MO,Missouri,Border,1864,11.0,104346,2.59,6.03,9486.0,1.82,Republican
261,NV,Nevada,West,1864,2.0,16420,0.41,0.95,8210.0,2.11,Republican
262,NH,New Hampshire,Northeast,1864,5.0,69630,1.73,4.02,13926.0,1.24,Republican
263,NJ,New Jersey,Northeast,1864,7.0,128744,3.19,7.44,18392.0,0.94,Democrat
264,NY,New York,Northeast,1864,33.0,730721,18.12,42.23,22143.0,0.78,Republican
265,OH,Ohio,Midwest,1864,21.0,471283,11.69,27.24,22442.0,0.77,Republican
266,OR,Oregon,West,1864,3.0,18345,0.45,1.06,6115.0,2.83,Republican
267,PA,Pennsylvania,Northeast,1864,26.0,573735,14.23,33.16,22067.0,0.78,Republican
268,RI,Rhode Island,Northeast,1864,4.0,23067,0.57,1.33,5767.0,3.0,Republican
269,VT,Vermont,Northeast,1864,5.0,55750,1.38,3.22,11150.0,1.55,Republican
270,WV,West Virginia,Border,1864,5.0,34877,0.87,2.02,6975.0,2.48,Republican
271,WI,Wisconsin,Midwest,1864,8.0,149342,3.7,8.63,18668.0,0.93,Republican
272,,,Confederate,1864,0.0,0,0.0,0.0,0.0,0.0,
273,AL,Alabama,Confederate,1868,8.0,149594,2.61,7.69,18699.0,1.04,Republican
274,AR,Arkansas,Confederate,1868,5.0,41190,0.72,2.12,8238.0,2.36,Republican
275,CA,California,West,1868,5.0,108656,1.9,5.58,21731.0,0.9,Republican
276,CT,Connecticut,Northeast,1868,6.0,98632,1.72,5.07,16439.0,1.18,Republican
277,DE,Delaware,Border,1868,3.0,18571,0.32,0.95,6190.0,3.14,Democrat
278,GA,Georgia,Confederate,1868,9.0,159816,2.79,8.21,17757.0,1.1,Democrat
279,IL,Illinois,Midwest,1868,16.0,449420,7.85,23.09,28089.0,0.69,Republican
280,IN,Indiana,Midwest,1868,13.0,343532,6.0,17.65,26426.0,0.74,Republican
281,IA,Iowa,Midwest,1868,8.0,194439,3.4,9.99,24305.0,0.8,Republican
282,KS,Kansas,Midwest,1868,3.0,43630,0.76,2.24,14543.0,1.34,Republican
283,KY,Kentucky,Border,1868,11.0,155455,2.72,7.99,14132.0,1.38,Democrat
284,LA,Louisiana,Confederate,1868,7.0,113488,1.98,5.83,16213.0,1.2,Democrat
285,ME,Maine,Northeast,1868,7.0,112962,1.97,5.8,16137.0,1.21,Republican
286,MD,Maryland,Border,1868,7.0,92795,1.62,4.77,13256.0,1.47,Democrat
287,MA,Massachusetts,Northeast,1868,12.0,195508,3.42,10.04,16292.0,1.19,Republican
288,MI,Michigan,Midwest,1868,8.0,225620,3.94,11.59,28202.0,0.69,Republican
289,MN,Minnesota,Midwest,1868,4.0,71818,1.26,3.69,17954.0,1.08,Republican
290,MO,Missouri,Border,1868,11.0,152488,2.66,7.83,13863.0,1.4,Republican
291,NE,Nebraska,Midwest,1868,3.0,15291,0.27,0.79,5097.0,3.82,Republican
292,NV,Nevada,West,1868,3.0,11698,0.2,0.6,3899.0,4.99,Republican
293,NH,New Hampshire,Northeast,1868,5.0,68304,1.19,3.51,13661.0,1.42,Republican
294,NJ,New Jersey,Northeast,1868,7.0,163132,2.85,8.38,23305.0,0.84,Democrat
295,NY,New York,Northeast,1868,33.0,849771,14.85,43.66,25751.0,0.76,Democrat
296,NC,North Carolina,Confederate,1868,9.0,181498,3.17,9.32,20166.0,0.97,Republican
297,OH,Ohio,Midwest,1868,21.0,518788,9.07,26.65,24704.0,0.79,Republican
298,OR,Oregon,West,1868,3.0,22086,0.39,1.13,7362.0,2.64,Democrat
299,PA,Pennsylvania,Northeast,1868,26.0,655662,11.46,33.69,25218.0,0.77,Republican
300,RI,Rhode Island,Northeast,1868,4.0,19541,0.34,1.0,4885.0,3.98,Republican
301,SC,South Carolina,Confederate,1868,6.0,107538,1.88,5.52,17923.0,1.09,Republican
302,TN,Tennessee,Confederate,1868,10.0,82757,1.45,4.25,8276.0,2.35,Republican
303,VT,Vermont,Northeast,1868,5.0,56212,0.98,2.89,11242.0,1.73,Republican
304,WV,West Virginia,Border,1868,5.0,49321,0.86,2.53,9864.0,1.97,Republican
305,WI,Wisconsin,Midwest,1868,8.0,193603,3.38,9.95,24200.0,0.8,Republican
306,AL,Alabama,Confederate,1872,10.0,169716,2.62,9.6,16972.0,1.04,Republican
307,AR,Arkansas,Confederate,1872,6.0,79300,1.23,4.48,13217.0,1.34,Republican
308,CA,California,West,1872,6.0,95785,1.48,5.42,15964.0,1.11,Republican
309,CT,Connecticut,Northeast,1872,6.0,96009,1.48,5.43,16002.0,1.11,Republican
310,DE,Delaware,Border,1872,3.0,21822,0.34,1.23,7274.0,2.43,Republican
311,FL,Florida,Confederate,1872,4.0,33190,0.51,1.88,8298.0,2.13,Republican
312,GA,Georgia,Confederate,1872,11.0,138906,2.15,7.86,12628.0,1.4,Democrat
313,IL,Illinois,Midwest,1872,21.0,429971,6.64,24.32,20475.0,0.86,Republican
314,IN,Indiana,Midwest,1872,15.0,351196,5.43,19.86,23413.0,0.76,Republican
315,IA,Iowa,Midwest,1872,11.0,216365,3.34,12.24,19670.0,0.9,Republican
316,KS,Kansas,Midwest,1872,5.0,100512,1.55,5.68,20102.0,0.88,Republican
317,KY,Kentucky,Border,1872,12.0,191135,2.95,10.81,15928.0,1.11,Democrat
318,LA,Louisiana,Confederate,1872,8.0,128692,1.99,7.28,16086.0,1.1,Republican
319,ME,Maine,Northeast,1872,7.0,90523,1.4,5.12,12932.0,1.37,Republican
320,MD,Maryland,Border,1872,8.0,134447,2.08,7.6,16806.0,1.05,Democrat
321,MA,Massachusetts,Northeast,1872,13.0,192864,2.98,10.91,14836.0,1.19,Republican
322,MI,Michigan,Midwest,1872,11.0,221455,3.42,12.52,20132.0,0.88,Republican
323,MN,Minnesota,Midwest,1872,5.0,90919,1.4,5.14,18184.0,0.97,Republican
324,MS,Mississippi,Confederate,1872,8.0,129457,2.0,7.32,16182.0,1.09,Republican
325,MO,Missouri,Border,1872,15.0,273059,4.22,15.44,18204.0,0.97,Democrat
326,NE,Nebraska,Midwest,1872,3.0,25932,0.4,1.47,8644.0,2.05,Republican
327,NV,Nevada,West,1872,3.0,14649,0.23,0.83,4883.0,3.62,Republican
328,NH,New Hampshire,Northeast,1872,5.0,68906,1.06,3.9,13781.0,1.28,Republican
329,NJ,New Jersey,Northeast,1872,9.0,168112,2.6,9.51,18679.0,0.95,Republican
330,NY,New York,Northeast,1872,35.0,828020,12.79,46.83,23658.0,0.75,Republican
331,NC,North Carolina,Confederate,1872,10.0,165163,2.55,9.34,16516.0,1.07,Republican
332,OH,Ohio,Midwest,1872,22.0,529436,8.18,29.94,24065.0,0.73,Republican
333,OR,Oregon,West,1872,3.0,20147,0.31,1.14,6716.0,2.63,Republican
334,PA,Pennsylvania,Northeast,1872,29.0,563262,8.7,31.85,19423.0,0.91,Republican
335,RI,Rhode Island,Northeast,1872,4.0,18994,0.29,1.07,4748.0,3.72,Republican
336,SC,South Carolina,Confederate,1872,7.0,95452,1.47,5.4,13636.0,1.3,Republican
337,TN,Tennessee,Confederate,1872,12.0,179046,2.77,10.13,14920.0,1.19,Democrat
338,TX,Texas,Confederate,1872,8.0,116594,1.8,6.59,14574.0,1.21,Democrat
339,VT,Vermont,Northeast,1872,5.0,52980,0.82,3.0,10596.0,1.67,Republican
340,VA,Virginia,Confederate,1872,11.0,185195,2.86,10.47,16836.0,1.05,Republican
341,WV,West Virginia,Border,1872,5.0,62467,0.97,3.53,12493.0,1.42,Republican
342,WI,Wisconsin,Midwest,1872,10.0,192305,2.97,10.88,19230.0,0.92,Republican
343,AL,Alabama,Confederate,1876,10.0,171699,2.04,7.53,17170.0,1.33,Democrat
344,AR,Arkansas,Confederate,1876,6.0,96946,1.15,4.25,16158.0,1.41,Democrat
345,CA,California,West,1876,6.0,155784,1.85,6.83,25964.0,0.88,Republican
346,CT,Connecticut,Northeast,1876,6.0,122134,1.45,5.35,20356.0,1.12,Democrat
347,DE,Delaware,Border,1876,3.0,24133,0.29,1.06,8044.0,2.84,Democrat
348,FL,Florida,Confederate,1876,4.0,46776,0.56,2.05,11694.0,1.95,Republican
349,GA,Georgia,Confederate,1876,11.0,180690,2.15,7.92,16426.0,1.39,Democrat
350,IL,Illinois,Midwest,1876,21.0,554227,6.58,24.29,26392.0,0.86,Republican
351,IN,Indiana,Midwest,1876,15.0,438911,5.21,19.24,29261.0,0.78,Democrat
352,IA,Iowa,Midwest,1876,11.0,292878,3.48,12.84,26625.0,0.86,Republican
353,KS,Kansas,Midwest,1876,5.0,124134,1.47,5.44,24827.0,0.92,Republican
354,KY,Kentucky,Border,1876,12.0,260626,3.1,11.42,21719.0,1.05,Democrat
355,LA,Louisiana,Confederate,1876,8.0,145823,1.73,6.39,18228.0,1.25,Republican
356,ME,Maine,Northeast,1876,7.0,117045,1.39,5.13,16721.0,1.36,Republican
357,MD,Maryland,Border,1876,8.0,163759,1.95,7.18,20470.0,1.11,Democrat
358,MA,Massachusetts,Northeast,1876,13.0,259620,3.08,11.38,19971.0,1.14,Republican
359,MI,Michigan,Midwest,1876,11.0,318450,3.78,13.96,28950.0,0.79,Republican
360,MN,Minnesota,Midwest,1876,5.0,124075,1.47,5.44,24815.0,0.92,Republican
361,MS,Mississippi,Confederate,1876,8.0,164776,1.96,7.22,20597.0,1.11,Democrat
362,MO,Missouri,Border,1876,15.0,350610,4.16,15.37,23374.0,0.98,Democrat
363,NE,Nebraska,Midwest,1876,3.0,49328,0.59,2.16,16443.0,1.39,Republican
364,NV,Nevada,West,1876,3.0,19691,0.23,0.86,6564.0,3.48,Republican
365,NH,New Hampshire,Northeast,1876,5.0,80141,0.95,3.51,16028.0,1.42,Republican
366,NJ,New Jersey,Northeast,1876,9.0,220193,2.62,9.65,24466.0,0.93,Democrat
367,NY,New York,Northeast,1876,35.0,1015503,12.06,44.51,29014.0,0.79,Democrat
368,NC,North Carolina,Confederate,1876,10.0,233911,2.78,10.25,23391.0,0.98,Democrat
369,OH,Ohio,Midwest,1876,22.0,658649,7.82,28.87,29939.0,0.76,Republican
370,OR,Oregon,West,1876,3.0,29881,0.35,1.31,9960.0,2.29,Republican
371,PA,Pennsylvania,Northeast,1876,29.0,758993,9.02,33.27,26172.0,0.87,Republican
