,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted %,EC votes normalized,Population per EC vote,Vote weight,Party
2003,AR,Arkansas,Confederate,2016,6.0,1130635,0.83,4.45,188439.0,1.35,Republican
2004,CA,California,West,2016,55.0,14181595,10.38,55.83,257847.0,0.99,Democrat
2005,CO,Colorado,West,2016,9.0,2780247,2.03,10.94,308916.0,0.82,Democrat
2006,CT,Connecticut,Northeast,2016,7.0,1644920,1.2,6.48,234989.0,1.08,Democrat
2007,DE,Delaware,Border,2016,3.0,443814,0.32,1.75,147938.0,1.72,Democrat
2008,DC,District of Columbia,Border,2016,3.0,311268,0.23,1.23,103756.0,2.45,Democrat
2009,FL,Florida,Confederate,2016,29.0,9420039,6.89,37.08,324829.0,0.78,Republican
2010,GA,Georgia,Confederate,2016,16.0,4114732,3.01,16.2,257171.0,0.99,Republican
2011,HI,Hawaii,West,2016,4.0,428937,0.31,1.69,107234.0,2.37,Democrat
2012,ID,Idaho,West,2016,4.0,690255,0.51,2.72,172564.0,1.47,Republican
2013,IL,Illinois,Midwest,2016,20.0,5536424,4.05,21.79,276821.0,0.92,Democrat
2014,IN,Indiana,Midwest,2016,11.0,2734958,2.0,10.77,248633.0,1.02,Republican
2015,IA,Iowa,Midwest,2016,6.0,1566031,1.15,6.16,261005.0,0.97,Republican
2016,KS,Kansas,Midwest,2016,6.0,1184402,0.87,4.66,197400.0,1.29,Republican
2017,KY,Kentucky,Border,2016,8.0,1924149,1.41,7.57,240519.0,1.06,Republican
2018,LA,Louisiana,Confederate,2016,8.0,2029032,1.48,7.99,253629.0,1.0,Republican
2019,MD,Maryland,Border,2016,10.0,2781446,2.04,10.95,278145.0,0.91,Democrat
2020,MA,Massachusetts,Northeast,2016,11.0,3325046,2.43,13.09,302277.0,0.84,Democrat
2021,MI,Michigan,Midwest,2016,16.0,4799284,3.51,18.89,299955.0,0.85,Republican
2022,MN,Minnesota,Midwest,2016,10.0,2944813,2.15,11.59,294481.0,0.86,Democrat
2023,MS,Mississippi,Confederate,2016,6.0,1209357,0.88,4.76,201560.0,1.26,Republican
2024,MO,Missouri,Border,2016,10.0,2808605,2.06,11.06,280860.0,0.9,Republican
2025,MT,Montana,West,2016,3.0,497147,0.36,1.96,165716.0,1.53,Republican
2026,NV,Nevada,West,2016,6.0,1125385,0.82,4.43,187564.0,1.35,Democrat
