,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Average weight,State count,States in group
0,Border,1824,25.0,56552,35062.0,15.45,40.34,2262.0,0.62,2,"KY,MD"
1,Confederate,1824,55.0,85808,77227.0,23.45,61.2,1560.0,0.9,4,"AL,NC,TN,VA"
2,Small,1824,13.0,15183,18220.0,4.15,10.83,1168.0,1.2,4,"IL,MS,MO,RI"
3,Union,1824,97.0,208226,135347.0,56.9,148.52,2147.0,0.65,8,"CT,IN,ME,MA,NH,NJ,OH,PA"
4,Postbellum,1824,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
5,Nat'l Average,1824,261.0,365928,365928.0,100.0,261.0,1926.0,1.0,24,All 24
6,Border,1828,25.0,116572,109578.0,10.15,26.5,4663.0,0.94,2,"KY,MD"
7,Confederate,1828,69.0,184513,304446.0,16.07,41.94,2674.0,1.65,6,"AL,GA,LA,NC,TN,VA"
8,Small,1828,13.0,37800,57078.0,3.29,8.59,2908.0,1.51,4,"IL,MS,MO,RI"
9,Union,1828,140.0,809133,614941.0,70.48,183.94,5780.0,0.76,10,"CT,IN,ME,MA,NH,NJ,NY,OH,PA,VT"
10,Postbellum,1828,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
11,Nat'l Average,1828,261.0,1148018,1148018.0,100.0,261.0,4648.0,1.0,24,All 24
12,Border,1832,25.0,118057,115696.0,9.25,25.61,4722.0,0.98,2,"KY,MD"
13,Confederate,1832,76.0,146284,349619.0,11.46,31.74,1925.0,2.39,6,"AL,GA,LA,NC,TN,VA"
14,Small,1832,15.0,24264,69152.0,1.9,5.26,1618.0,2.85,4,"DE,MS,MO,RI"
15,Union,1832,161.0,995115,746336.0,77.95,215.91,6181.0,0.75,11,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,VT"
16,Postbellum,1832,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
17,Nat'l Average,1832,288.0,1276659,1276659.0,100.0,288.0,4609.0,1.0,24,All 24
18,Border,1836,25.0,118209,132394.0,7.87,22.26,4728.0,1.12,2,"KY,MD"
19,Confederate,1836,76.0,258275,402909.0,17.19,48.64,3398.0,1.56,6,"AL,GA,LA,NC,TN,VA"
20,Small,1836,21.0,69361,111671.0,4.62,13.06,3303.0,1.61,6,"AR,DE,MI,MS,MO,RI"
21,Union,1836,161.0,1056921,856106.0,70.33,199.04,6565.0,0.81,11,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,VT"
22,Postbellum,1836,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
23,Nat'l Average,1836,294.0,1502811,1502811.0,100.0,294.0,5310.0,1.0,26,All 26
24,Border,1840,25.0,153384,213204.0,6.36,17.99,6135.0,1.39,2,"KY,MD"
25,Confederate,1840,76.0,429019,647819.0,17.78,50.32,5645.0,1.51,6,"AL,GA,LA,NC,TN,VA"
26,Small,1840,21.0,165110,178319.0,6.84,19.37,7862.0,1.08,6,"AR,DE,MI,MS,MO,RI"
27,Union,1840,161.0,1665181,1365448.0,69.02,195.33,10343.0,0.82,11,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,VT"
28,Postbellum,1840,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
29,Nat'l Average,1840,294.0,2412694,2412694.0,100.0,294.0,8525.0,1.0,26,All 26
