Group,1824,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Border,0.6197835620314047,0.9434083656452664,0.9387414553986634,1.0811359541151688,1.3374928284566838,1.028623240350748,1.0223993403875222,1.2112269333708974,1.1835040727003852,1.108263806609759,1.934024319286792,1.4704205448618959,1.0699008331467779,1.0433983275442982,1.0485046167145946,1.0413847494915114,0.9875740836432535,0.9440472497258844,0.8728954600977199,0.8415937198218124,0.8465190262833042,0.8325350705285443,0.8060122668936117,0.8827080524527933,0.7426691114717641,0.8401207340074414,0.9018462667044991,0.8171464881743653,0.8576834480728815,0.9111471992631553,1.00806337214399,1.0300549459788175,0.9980535664018785,1.0048372433541404,1.0353767174325437,1.0454520405633883,1.0650103818202792,1.061637126786952,1.0572267717809245,1.048813237947193,1.049959126798713,1.0597546708570404,1.0070816050254445,1.0201592796367331,1.0127091865022988,1.0076748957699218,1.02492073482204,0.9981831246927121,1.0187677816810905,1.080087466872778
Confederate,0.898634159985083,1.6450385609686038,2.3031090208088374,1.5042570903107153,1.4536792076807787,1.3625696775584368,1.3360594253133729,1.4326680672268908,1.4629390689886446,1.468079041193798,,1.2574230063848801,1.159732357203963,1.1630433686588084,1.3031181849704687,1.3711995788865965,1.435654026040312,1.3964434325381063,1.5050235019989435,1.836964356423812,2.475033209207117,2.3297984499248643,2.3072034021541374,2.349168624514588,2.373379263542137,2.728919162687236,2.5850277154906034,2.4557073199637682,2.552272118902855,2.4494142499067277,2.4201608926500717,2.237659540688484,1.740250800586598,1.7352525283593505,1.598169828727303,1.3650131876660845,1.177241450077554,1.2169576673733171,1.0739765104128565,1.0110006492421124,1.018719188257792,1.0103607290336765,1.0354377268537749,1.0007170859362253,0.9787660181115744,0.99055906836806,0.9481800795808459,0.9700730712930337,0.9601139443660435,0.9432324617218525
Postbellum,,,,,,,,,,,,,,,,0.9347103619916246,0.700802439891034,1.0861572890025575,1.1177603928632238,1.0376175288903615,0.8322382230900659,0.7933219620506602,0.8963968552352555,0.9543262995834692,1.0608125519086469,1.04044326384007,1.109972133097171,1.0205787123819912,1.0835545349448654,1.0798473353161502,1.0239621869580213,1.0478422249970067,1.0246307484076191,1.0420800196895814,1.0638674803516708,1.0743708413041027,1.0998429092241655,1.0796864076167298,1.0442585966943916,1.0065546286419869,1.139105247637447,1.1026520184320456,1.1044080617003231,1.081304064145777,1.081066287153101,1.1019946285312456,1.0915032818188857,1.13110403639046,1.1050553156919483,1.023309236483122
Small,1.2004215240729763,1.512883597883598,2.7404797230464886,1.5477285506264327,1.0437041972018655,2.4770110598846142,1.9954458775536477,1.4827455401268372,1.086292835841852,1.0973082212565939,2.3697104677060135,2.2092530905322376,2.6248756809713956,2.3228939705552953,1.8504844739697883,1.7617535675770573,1.7310030626704658,1.862945345378278,1.6683834730299547,1.469845287554013,1.4961467627667084,1.4078459771914715,1.5666120564765211,1.4030690754418844,1.6670714237116442,1.6944166885327296,1.8885561465688836,1.5075767326407585,1.60870607006009,1.6283814528984744,1.8523468605875886,1.7395947997366976,1.765998783250619,1.7649837698060782,1.8185988550403527,1.892790425543549,1.9404304225318865,1.819828044271475,1.7903455765844842,1.7217894052260398,1.877575840101672,1.8284904556184614,1.7408719966186559,1.7258051391720979,1.7249613843771856,1.81663327090093,1.8530150096977855,1.8572880970086694,1.8843308863382147,1.6643552470407623
Nat'l Average,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Union,0.653107681077291,0.7611356847390973,0.7172166031061736,0.7787072070665642,0.7934068428597252,0.8166519062145207,0.7962628653172367,0.7948502211504364,0.8183958532479075,0.8209936946336343,0.8678720817093518,0.8274257417090808,0.8864961222957501,0.881843433857675,0.8646433615239478,0.8430041175932815,0.8460173319564522,0.818605048664251,0.8184541058358649,0.8009318931851211,0.77285444899128,0.7937747991860737,0.8057224110285294,0.7916711399697126,0.7944023350858475,0.7646019627520646,0.7526522204114401,0.7815009016103498,0.764678130444776,0.7624968301960402,0.7441358484035047,0.75282391616389,0.7903064665772256,0.7891758660364836,0.7915388521647221,0.8109177232578235,0.8420783611736393,0.8388844277259667,0.8812320686238864,0.9109959103698496,0.8899625689791932,0.8986370678550928,0.8948831149795512,0.912864396855677,0.9244686010981445,0.9128907512087607,0.9345874122695209,0.9146928321228979,0.9216242918267711,0.9350991948801618
