,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Average weight,State count,States in group
0,Northeast,1800,4.0,4512,6362.0,6.02,2.83,1128.0,1.41,1,RI
1,South,1800,43.0,70500,68385.0,93.98,44.17,1640.0,0.97,3,"MD,NC,VA"
2,Midwest,1800,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
3,West,1800,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
4,Small,1800,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
5,Nat'l Average,1800,47.0,75012,75012.0,100.0,47.0,1596.0,1.0,16,4 of 16 held popular vote
6,Northeast,1804,58.0,110487,67397.0,76.68,94.35,1905.0,0.61,5,"MA,NH,NJ,PA,RI"
7,Small,1804,3.0,2957,3519.0,2.05,2.53,986.0,1.19,1,OH
8,South,1804,62.0,30636,72607.0,21.26,26.16,494.0,2.37,5,"KY,MD,NC,TN,VA"
9,Midwest,1804,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
10,West,1804,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
11,Nat'l Average,1804,123.0,144080,144080.0,100.0,123.0,1171.0,1.0,17,11 of 17 held popular vote
12,Northeast,1808,39.0,120252,72151.0,62.81,64.69,3083.0,0.6,4,"NH,NJ,PA,RI"
13,Small,1808,3.0,5993,5573.0,3.13,3.22,1998.0,0.93,1,OH
14,South,1808,61.0,65214,113472.0,34.06,35.08,1069.0,1.74,5,"KY,MD,NC,TN,VA"
15,Midwest,1808,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
16,West,1808,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
17,Nat'l Average,1808,103.0,191459,191459.0,100.0,103.0,1859.0,1.0,17,10 of 17 held popular vote
18,Midwest,1812,7.0,10721,16403.0,4.01,4.58,1532.0,1.53,1,OH
19,Northeast,1812,59.0,199524,137672.0,74.72,85.19,3382.0,0.69,4,"MA,NH,PA,RI"
20,South,1812,48.0,56783,112430.0,21.26,24.25,1183.0,1.98,3,"KY,MD,VA"
21,West,1812,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
22,Small,1812,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
23,Nat'l Average,1812,114.0,267028,267028.0,100.0,114.0,2342.0,1.0,18,8 of 18 held popular vote
24,Midwest,1816,8.0,3919,7681.0,3.52,4.08,490.0,1.96,1,OH
25,Northeast,1816,45.0,78640,43252.0,70.54,81.83,1748.0,0.55,4,"NH,NJ,PA,RI"
26,South,1816,63.0,28930,60464.0,25.95,30.1,459.0,2.09,4,"KY,MD,NC,VA"
27,West,1816,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
28,Small,1816,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
29,Nat'l Average,1816,116.0,111489,111489.0,100.0,116.0,961.0,1.0,19,9 of 19 held popular vote
30,Midwest,1820,8.0,7198,5255.0,6.75,10.92,900.0,0.73,1,OH
31,Northeast,1820,77.0,78500,51025.0,73.57,119.12,1019.0,0.65,7,"CT,ME,MA,NH,NJ,PA,RI"
32,Small,1820,6.0,1933,3963.0,1.81,2.93,322.0,2.05,2,"IL,MS"
33,South,1820,71.0,19067,46714.0,17.87,28.93,269.0,2.45,5,"KY,MD,NC,TN,VA"
34,West,1820,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
35,Nat'l Average,1820,162.0,106698,106698.0,100.0,162.0,659.0,1.0,24,15 of 24 held popular vote
36,Midwest,1824,21.0,65777,40124.0,17.98,34.15,3132.0,0.61,2,"IN,OH"
37,Northeast,1824,80.0,144794,153482.0,39.57,75.18,1810.0,1.06,7,"CT,ME,MA,NH,NJ,PA,RI"
38,Small,1824,9.0,12838,17331.0,3.51,6.67,1426.0,1.35,3,"IL,MS,MO"
39,South,1824,80.0,142360,153749.0,38.9,73.91,1780.0,1.08,6,"AL,KY,MD,NC,TN,VA"
40,West,1824,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
41,Nat'l Average,1824,190.0,365769,365769.0,100.0,190.0,1925.0,1.0,24,18 of 24 held popular vote
42,Midwest,1828,21.0,170259,97048.0,14.83,36.63,8108.0,0.57,2,"IN,OH"
43,Northeast,1828,123.0,642454,571784.0,55.96,138.22,5223.0,0.89,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
44,Small,1828,9.0,34220,41748.0,2.98,7.36,3802.0,1.22,3,"IL,MS,MO"
45,South,1828,94.0,301085,436573.0,26.23,64.78,3203.0,1.45,8,"AL,GA,KY,LA,MD,NC,TN,VA"
46,West,1828,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
47,Nat'l Average,1828,247.0,1148018,1148018.0,100.0,247.0,4648.0,1.0,24,22 of 24 held popular vote
48,Midwest,1832,39.0,231990,180952.0,18.07,50.06,5948.0,0.78,4,"IL,IN,MO,OH"
49,Northeast,1832,130.0,773253,603137.0,60.24,166.87,5948.0,0.78,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
50,Small,1832,3.0,8386,13921.0,0.65,1.81,2795.0,1.66,1,DE
51,South,1832,105.0,270091,486164.0,21.04,58.28,2572.0,1.8,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
52,West,1832,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
53,Nat'l Average,1832,277.0,1283720,1283720.0,100.0,277.0,4634.0,1.0,24,23 of 24 held popular vote
54,Midwest,1836,39.0,328013,206648.0,21.83,61.77,8411.0,0.63,4,"IL,IN,MO,OH"
55,Northeast,1836,130.0,752914,692681.0,50.1,141.79,5792.0,0.92,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
56,Small,1836,9.0,25276,47772.0,1.68,4.76,2808.0,1.89,3,"AR,DE,MI"
57,South,1836,105.0,396563,559154.0,26.39,74.68,3777.0,1.41,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
58,West,1836,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
59,Nat'l Average,1836,283.0,1502766,1502766.0,100.0,283.0,5310.0,1.0,26,25 of 26 held popular vote
60,Midwest,1840,39.0,536846,332845.0,22.25,62.97,13765.0,0.62,4,"IL,IN,MO,OH"
61,Northeast,1840,130.0,1189879,1106587.0,49.32,139.58,9153.0,0.93,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
62,Small,1840,9.0,67041,76427.0,2.78,7.86,7449.0,1.14,3,"AR,DE,MI"
63,South,1840,105.0,618928,897446.0,25.65,72.6,5895.0,1.45,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
64,West,1840,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
65,Nat'l Average,1840,283.0,2412694,2412694.0,100.0,283.0,8525.0,1.0,26,25 of 26 held popular vote
66,Midwest,1844,56.0,689708,572458.0,25.47,67.76,12316.0,0.83,5,"IL,IN,MI,MO,OH"
67,Northeast,1844,112.0,1285296,1143913.0,47.47,126.27,11476.0,0.89,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
68,Small,1844,6.0,27397,61095.0,1.01,2.69,4566.0,2.23,2,"AR,DE"
69,South,1844,92.0,705091,937771.0,26.04,69.27,7664.0,1.33,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
70,West,1844,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
71,Nat'l Average,1844,266.0,2707492,2707492.0,100.0,266.0,10179.0,1.0,26,25 of 26 held popular vote
72,Midwest,1848,64.0,805094,652126.0,27.99,78.64,12580.0,0.81,7,"IL,IN,IA,MI,MO,OH,WI"
73,Northeast,1848,112.0,1296183,1140641.0,45.06,126.61,11573.0,0.88,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
74,Small,1848,9.0,36514,92015.0,1.27,3.57,4057.0,2.52,3,"AR,DE,FL"
75,South,1848,96.0,738988,982854.0,25.69,72.18,7698.0,1.33,10,"AL,GA,KY,LA,MD,MS,NC,TN,TX,VA"
76,West,1848,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
77,Nat'l Average,1848,281.0,2876779,2876779.0,100.0,281.0,10238.0,1.0,30,29 of 30 held popular vote
78,Midwest,1852,71.0,943118,782788.0,29.85,85.98,13283.0,0.83,7,"IL,IN,IA,MI,MO,OH,WI"
79,Northeast,1852,110.0,1380399,1200947.0,43.7,125.85,12549.0,0.87,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
80,Small,1852,6.0,19866,65756.0,0.63,1.81,3311.0,3.31,2,"DE,FL"
81,South,1852,97.0,738967,1064112.0,23.39,67.37,7618.0,1.44,11,"AL,AR,GA,KY,LA,MD,MS,NC,TN,TX,VA"
82,West,1852,4.0,76810,43782.0,2.43,7.0,19202.0,0.57,1,CA
83,Nat'l Average,1852,288.0,3159160,3159160.0,100.0,288.0,10969.0,1.0,31,30 of 31 held popular vote
84,Midwest,1856,71.0,1305131,1004951.0,32.21,92.77,18382.0,0.77,7,"IL,IN,IA,MI,MO,OH,WI"
85,Northeast,1856,110.0,1656453,1540501.0,40.88,117.75,15059.0,0.93,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
86,Small,1856,6.0,25780,84301.0,0.64,1.83,4297.0,3.27,2,"DE,FL"
87,South,1856,97.0,953967,1364173.0,23.55,67.81,9835.0,1.43,11,"AL,AR,GA,KY,LA,MD,MS,NC,TN,TX,VA"
88,West,1856,4.0,110255,56230.0,2.72,7.84,27564.0,0.51,1,CA
89,Nat'l Average,1856,288.0,4051586,4051586.0,100.0,288.0,14068.0,1.0,31,30 of 31 held popular vote
90,Midwest,1860,75.0,1680488,1193146.0,35.9,105.9,22407.0,0.71,8,"IL,IN,IA,MI,MN,MO,OH,WI"
