,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
0,Midwest,1828,21.0,170259,91940.0,14.83,38.7,8108.0,0.54,2,"IN,OH"
1,Northeast,1828,123.0,642454,539661.0,55.96,146.05,5223.0,0.84,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
2,Small,1828,9.0,34220,39695.0,2.98,7.78,3802.0,1.16,3,"IL,MS,MO"
3,South,1828,94.0,301085,412486.0,26.23,68.44,3203.0,1.37,8,"AL,GA,KY,LA,MD,NC,TN,VA"
4,West,1828,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
5,Midwest,1832,39.0,231990,173992.0,18.17,52.33,5948.0,0.75,4,"IL,IN,MO,OH"
6,Northeast,1832,130.0,773253,579940.0,60.57,174.43,5948.0,0.75,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
7,Small,1832,3.0,8386,13334.0,0.66,1.89,2795.0,1.59,1,DE
8,South,1832,105.0,270091,464557.0,21.16,60.93,2572.0,1.72,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
9,West,1832,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
10,Midwest,1836,39.0,328013,200088.0,21.83,64.17,8411.0,0.61,4,"IL,IN,MO,OH"
11,Northeast,1836,130.0,752914,662564.0,50.1,147.28,5792.0,0.88,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
12,Small,1836,9.0,25276,46002.0,1.68,4.94,2808.0,1.82,3,"AR,DE,MI"
13,South,1836,105.0,396563,535360.0,26.39,77.57,3777.0,1.35,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
14,West,1836,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
15,Midwest,1840,39.0,536846,322108.0,22.25,65.42,13765.0,0.6,4,"IL,IN,MO,OH"
16,Northeast,1840,130.0,1189879,1070891.0,49.32,145.0,9153.0,0.9,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
17,Small,1840,9.0,67041,73745.0,2.78,8.17,7449.0,1.1,3,"AR,DE,MI"
18,South,1840,105.0,618928,860310.0,25.65,75.42,5895.0,1.39,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
19,West,1840,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
20,Midwest,1844,56.0,689708,551766.0,25.51,70.15,12316.0,0.8,5,"IL,IN,MI,MO,OH"
21,Northeast,1844,112.0,1285296,1105355.0,47.54,130.73,11476.0,0.86,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
22,Small,1844,6.0,27397,58904.0,1.01,2.79,4566.0,2.15,2,"AR,DE"
23,South,1844,92.0,705091,902516.0,26.08,71.71,7664.0,1.28,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
24,West,1844,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
25,Midwest,1848,64.0,805094,636024.0,27.99,81.16,12580.0,0.79,7,"IL,IN,IA,MI,MO,OH,WI"
26,Northeast,1848,112.0,1296183,1114717.0,45.06,130.66,11573.0,0.86,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
27,Small,1848,9.0,36514,89459.0,1.27,3.68,4057.0,2.45,3,"AR,DE,FL"
28,South,1848,96.0,738988,953295.0,25.69,74.49,7698.0,1.29,10,"AL,GA,KY,LA,MD,MS,NC,TN,TX,VA"
29,West,1848,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
30,Midwest,1852,71.0,943118,754494.0,29.85,88.36,13283.0,0.8,7,"IL,IN,IA,MI,MO,OH,WI"
