Group,1824,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Midwest,0.4476032655791538,0.5425792469120575,0.7748221906116642,0.6313469283229628,0.6193116834250418,0.8253347793559014,0.8138577607086874,0.8259210406333036,0.7653086165296817,0.7082317755318693,0.9091470444645289,0.8141501078285981,0.8454722191501977,0.8480717742972277,0.8177281173363113,0.8235308239320812,0.8135988681505729,0.8160616123676108,0.7857487970498401,0.771895047899062,0.7731620471284226,0.77209275532196,0.7716354445391977,0.7265201140089401,0.736205217925494,0.7381955134557687,0.7891142086711017,0.7565890443196699,0.7763262474567026,0.7889581942508537,0.7821445832845118,0.8120065188794031,0.841130306688815,0.8463975272127092,0.8534636588808693,0.8808905505974559,0.9129603380775666,0.895799321344175,0.9020904934655495,0.9178876280933665,0.9091662973941584,0.9272236248734527,0.8812123500160176,0.9034525672454432,0.9141468270594617,0.8870323222668194,0.9179137661166809,0.8817354767845502,0.9210201382709307,0.9489922605892837
Northeast,0.7746177327789826,0.8422034884987875,0.7748692859904843,0.9168377796136079,0.931397226104503,0.8857726158021187,0.8846405175812366,0.8742472285187108,0.9342130443785607,0.9947447361882641,0.9275257556706888,0.9302169999513453,0.9608154178307136,0.9753892305227129,0.9524427196099691,0.92048328437521,0.9316796205597487,0.8963417263723282,0.9388310348545503,0.9095408823673984,0.8461704269892366,0.894819485777395,0.9343321841715042,1.0650898598141458,0.9315684171645139,0.8886007153772292,0.8099678136289947,0.846091675535726,0.7893728049829914,0.8026586076953318,0.7772437919366864,0.7913146911074591,0.8107020117161305,0.8152285581396498,0.8379396783400634,0.8300729425332575,0.8772659100226785,0.8701951300749934,0.9332633945406444,1.007490835083952,0.9355736553164039,0.9551013863517835,0.9390131977631636,0.9529098384831283,0.9741681612859328,0.963565793094523,0.9898826446035426,0.9671463509807906,0.9569684181873197,0.9762117369465327
Small,0.9828633743573766,1.1569549970777324,1.6488194610064393,1.8907263807564487,1.1444489193180292,2.2261561484834105,2.52347044969053,3.3135004530353367,3.274166020170675,3.2329266360323246,2.59794996383092,2.6508411517308312,2.5705148394912176,2.2434956475092047,1.6316557098698246,1.8585768789124717,1.7402484668685312,2.9680769744106192,2.352816691398124,1.7487016250628247,1.5718944104151236,1.4417491620547198,2.3071285483949775,2.0003323477503496,2.168037804993448,2.1377409966787777,2.415691048788251,2.047492136811876,2.1737221170987033,2.1738874531418872,2.6685569141709493,2.588468932879809,2.588995274784193,2.540155351207542,2.690586724787557,2.6016772088497095,2.6888923778583167,2.3543340990711066,2.32058631798315,2.2402060036408216,2.097987506903225,2.1370037417365007,2.007681058919006,1.9831029930613946,2.006642890643237,2.0801981542009393,2.1124186098842292,2.1116317036062426,2.1345687250849554,1.6431982403215393
South,0.7878617589210453,1.3733862530514638,1.79178499098452,1.4059556741299617,1.4462506139647908,1.3263252544706996,1.3299918266602435,1.4401008434747424,1.430443610732866,1.4226012844411462,1.9913838394452033,1.3359233562603445,1.173157301134479,1.1716177360710585,1.2762430727567522,1.3239764442062207,1.3498578932303407,1.3197069134391421,1.3621292704449635,1.535770701688709,1.846206258607572,1.6871728978067602,1.6970941839025129,1.7793652406891227,1.656854555708798,1.8773370668957854,1.8722562908563736,1.8039969940434222,1.9058145406623723,1.8837360800975693,1.9354677248497563,1.8593351828852862,1.5447133443214112,1.5488451853067928,1.472722165577574,1.313051630486952,1.173562527453512,1.1986837849934493,1.084072454419757,1.0319412659462226,1.0381479916420164,1.0354956133776954,1.0435408313128585,1.017686465143736,0.9999050665693802,1.0020653668033292,0.9706012158147443,0.989234861428949,0.9808852673008519,0.9733346017875425
Nat'l Average,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
West,,,,,,,,0.5713318578310116,0.5103804816108113,0.5297303612708321,0.8170743224100482,0.9049201148579001,1.1076682152737902,0.8859189647203821,0.9127218484580961,1.0188640932442585,0.9039902283370269,1.0770246811080082,0.9644866007320073,0.9203542052425399,0.8410137510020349,0.7827232303911352,0.7173874639915393,0.6275284670715057,0.928707197452393,0.8400537629616689,0.8438973343767661,0.9186657176740914,0.933507296345568,0.8552655618531635,0.9298058988547464,0.8477609847275707,0.9288787220007105,0.903403297821855,0.8566336111926657,0.9515692237578987,0.9571212239818822,0.9506498224798745,0.9928596668605358,0.950417434037465,1.0333553571997984,0.9851484174552676,1.035767896889073,1.0303914711941906,1.0209705625334047,1.0540205325287206,1.040337249165096,1.0683696491310521,1.0414128744941726,0.9767246105568801
