,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Average weight,State count,States in group
0,Border,1824,25.0,56552,35062.0,15.45,40.34,2262.0,0.62,2,"KY,MD"
1,Confederate,1824,55.0,85808,77227.0,23.45,61.2,1560.0,0.9,4,"AL,NC,TN,VA"
2,Small,1824,9.0,12838,12581.0,3.51,9.16,1426.0,0.98,3,"IL,MS,MO"
3,Union,1824,101.0,210571,141083.0,57.54,150.19,2085.0,0.67,9,"CT,IN,ME,MA,NH,NJ,OH,PA,RI"
4,Postbellum,1824,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
5,Nat'l Average,1824,261.0,365928,365928.0,100.0,261.0,1926.0,1.0,24,All 24
6,Border,1828,25.0,116572,109578.0,10.15,26.5,4663.0,0.94,2,"KY,MD"
7,Confederate,1828,69.0,184513,304446.0,16.07,41.94,2674.0,1.65,6,"AL,GA,LA,NC,TN,VA"
8,Small,1828,9.0,34220,39695.0,2.98,7.78,3802.0,1.16,3,"IL,MS,MO"
9,Union,1828,144.0,812713,633916.0,70.79,184.75,5644.0,0.78,11,"CT,IN,ME,MA,NH,NJ,NY,OH,PA,RI,VT"
10,Postbellum,1828,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
11,Nat'l Average,1828,261.0,1148018,1148018.0,100.0,261.0,4648.0,1.0,24,All 24
12,Border,1832,29.0,123249,133109.0,9.65,26.74,4250.0,1.08,3,"KY,MD,MO"
13,Confederate,1832,80.0,152034,369443.0,11.91,32.99,1900.0,2.43,7,"AL,GA,LA,MS,NC,TN,VA"
14,Small,1832,3.0,8386,13837.0,0.66,1.82,2795.0,1.65,1,DE
15,Union,1832,165.0,1000051,760039.0,78.33,216.98,6061.0,0.76,12,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,RI,VT"
16,Postbellum,1832,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
17,Nat'l Average,1832,288.0,1276659,1276659.0,100.0,288.0,4609.0,1.0,24,All 24
18,Border,1836,29.0,136541,154291.0,9.09,25.71,4708.0,1.13,3,"KY,MD,MO"
19,Confederate,1836,80.0,278354,425882.0,18.52,52.42,3479.0,1.53,7,"AL,GA,LA,MS,NC,TN,VA"
20,Small,1836,9.0,25276,47772.0,1.68,4.76,2808.0,1.89,3,"AR,DE,MI"
21,Union,1836,165.0,1062595,871328.0,70.71,200.11,6440.0,0.82,12,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,RI,VT"
22,Postbellum,1836,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
23,Nat'l Average,1836,294.0,1502811,1502811.0,100.0,294.0,5310.0,1.0,26,All 26
24,Border,1840,29.0,206307,247568.0,8.55,24.2,7114.0,1.2,3,"KY,MD,MO"
25,Confederate,1840,80.0,465544,679694.0,19.3,54.61,5819.0,1.46,7,"AL,GA,LA,MS,NC,TN,VA"
26,Small,1840,9.0,67041,76427.0,2.78,7.86,7449.0,1.14,3,"AR,DE,MI"
27,Union,1840,165.0,1673802,1405994.0,69.37,196.34,10144.0,0.84,12,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,RI,VT"
28,Postbellum,1840,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
29,Nat'l Average,1840,294.0,2412694,2412694.0,100.0,294.0,8525.0,1.0,26,All 26
