Group,1824,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Border,0.6197835620314047,0.9434083656452664,1.0844793872566918,1.1277931170857105,1.1983354903129801,1.063461680041228,1.055173835371719,1.2449288632201718,1.2163599718548377,1.1383196341158748,1.934024319286792,1.4856052206488484,1.0699008331467779,1.0519503979914067,1.0485046167145946,1.0413847494915114,0.9875740836432535,0.9440472497258844,0.8728954600977199,0.8415937198218124,0.8465190262833042,0.8325350705285443,0.8060122668936117,0.8827080524527933,0.7426691114717641,0.8401207340074414,0.9018462667044991,0.8171464881743653,0.8576834480728815,0.9111471992631553,1.00806337214399,1.0300549459788175,0.9980535664018785,1.0048372433541404,1.0353767174325437,1.0454520405633883,1.0650103818202792,1.061637126786952,1.0572267717809245,1.048813237947193,1.049959126798713,1.0597546708570404,1.0070816050254445,1.0201592796367331,1.0127091865022988,1.0076748957699218,1.02492073482204,0.9981831246927121,1.0187677816810905,1.080087466872778
Confederate,0.898634159985083,1.6450385609686038,2.425246984227212,1.5261142286441007,1.464952829378104,1.408718548858982,1.4153127523810216,1.5298096355694635,1.4940176457039456,1.4489505033149177,,1.2704081083312098,1.1824255601596665,1.1928609250555438,1.3213078725416574,1.3805045774839833,1.4442719249468896,1.4241324429698619,1.529000030645705,1.8648383937316357,2.475033209207117,2.3297984499248643,2.3072034021541374,2.349168624514588,2.373379263542137,2.728919162687236,2.5850277154906034,2.4557073199637682,2.552272118902855,2.4494142499067277,2.4201608926500717,2.237659540688484,1.740250800586598,1.7352525283593505,1.598169828727303,1.3650131876660845,1.177241450077554,1.2169576673733171,1.0739765104128565,1.0110006492421124,1.018719188257792,1.0103607290336765,1.0354377268537749,1.0007170859362253,0.9787660181115744,0.99055906836806,0.9481800795808459,0.9700730712930337,0.9601139443660435,0.9432324617218525
Postbellum,,,,,,,,,,,,,,,,0.9347103619916246,0.700802439891034,1.2011534254747938,1.0583890817881592,0.9396746518306461,0.9399523384807604,0.8615612240663373,0.9421282266534657,0.946280934672457,1.109139696553007,1.100485628562356,1.191754981206026,1.1116986369438757,1.1902276465148776,1.190467501861759,1.2928987498858935,1.2746679588049603,1.2684518256786197,1.2752783613686829,1.2725756128776724,1.3149890826665187,1.3466482172355612,1.2622474222011597,1.225035280062038,1.1735486534882835,1.2705399668519266,1.2255926144097342,1.1857747399137086,1.1568223820613197,1.1524743058943454,1.1556707483329471,1.145093661607947,1.1802969580852871,1.1575905284752797,1.0733951440522922
Small,0.9828633743573766,1.1569549970777324,1.6488194610064393,1.8907263807564487,1.1444489193180292,2.2261561484834105,2.52347044969053,3.3135004530353367,3.274166020170675,3.2329266360323246,2.59794996383092,2.6508411517308312,2.5705148394912176,2.2434956475092047,1.6316557098698246,1.8585768789124717,1.7402484668685312,2.9680769744106192,2.352816691398124,1.7487016250628247,1.5718944104151236,1.4417491620547198,2.3071285483949775,2.0003323477503496,2.168037804993448,2.1377409966787777,2.415691048788251,2.047492136811876,2.1737221170987033,2.1738874531418872,2.6685569141709493,2.588468932879809,2.588995274784193,2.540155351207542,2.690586724787557,2.6016772088497095,2.6888923778583167,2.3543340990711066,2.32058631798315,2.2402060036408216,2.097987506903225,2.1370037417365007,2.007681058919006,1.9831029930613946,2.006642890643237,2.0801981542009393,2.1124186098842292,2.1116317036062426,2.1345687250849554,1.6431982403215393
Nat'l Average,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Union,0.6724667689282949,0.7794338222718229,0.7604462172429206,0.8245380413045422,0.8403771772288479,0.8602262728372726,0.8529441777761126,0.828168332671392,0.8349656853669698,0.8427101538722974,0.8902038370288885,0.8546837432957277,0.8990074319565309,0.9012977774215284,0.8766047292020223,0.8654184473275713,0.8687757642371798,0.8444903621838334,0.8459768204033233,0.8295483457088291,0.7962532254416326,0.8171810500480643,0.8161676750205773,0.8041960569520479,0.8057236644178535,0.7760144116480807,0.7642359748382338,0.789735363097736,0.7733074092085409,0.771610349257824,0.7535395843156805,0.7617434555122458,0.7993556793765638,0.7988960926565617,0.80154272576365,0.8263474916332931,0.8577261669811389,0.854220976904479,0.8960879685127284,0.9253182081547823,0.9062367839193554,0.9135571693526382,0.9093099170596328,0.9278326091263775,0.9394041944337337,0.9290167536894501,0.951554059703435,0.932719302110248,0.93990898972071,0.9496294104549662
