,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
0,Border,1824,25.0,56552,35062.0,15.45,40.34,2262.0,0.62,2,"KY,MD"
1,Confederate,1824,55.0,85808,77227.0,23.45,61.2,1560.0,0.9,4,"AL,NC,TN,VA"
2,Small,1824,9.0,12838,12581.0,3.51,9.16,1426.0,0.98,3,"IL,MS,MO"
3,Union,1824,101.0,210571,141083.0,57.54,150.19,2085.0,0.67,9,"CT,IN,ME,MA,NH,NJ,OH,PA,RI"
4,Postbellum,1824,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
5,Border,1828,25.0,116572,109578.0,10.15,26.5,4663.0,0.94,2,"KY,MD"
6,Confederate,1828,69.0,184513,304446.0,16.07,41.94,2674.0,1.65,6,"AL,GA,LA,NC,TN,VA"
7,Small,1828,9.0,34220,39695.0,2.98,7.78,3802.0,1.16,3,"IL,MS,MO"
8,Union,1828,144.0,812713,633916.0,70.79,184.75,5644.0,0.78,11,"CT,IN,ME,MA,NH,NJ,NY,OH,PA,RI,VT"
9,Postbellum,1828,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
10,Border,1832,29.0,123249,128179.0,9.65,27.8,4250.0,1.04,3,"KY,MD,MO"
11,Confederate,1832,80.0,152034,354239.0,11.91,34.3,1900.0,2.33,7,"AL,GA,LA,MS,NC,TN,VA"
12,Small,1832,3.0,8386,13334.0,0.66,1.89,2795.0,1.59,1,DE
13,Union,1832,165.0,1000051,730037.0,78.33,225.59,6061.0,0.73,12,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,RI,VT"
14,Postbellum,1832,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
15,Border,1836,29.0,136541,148830.0,9.09,26.71,4708.0,1.09,3,"KY,MD,MO"
16,Confederate,1836,80.0,278354,409180.0,18.52,54.45,3479.0,1.47,7,"AL,GA,LA,MS,NC,TN,VA"
17,Small,1836,9.0,25276,46002.0,1.68,4.94,2808.0,1.82,3,"AR,DE,MI"
18,Union,1836,165.0,1062595,839450.0,70.71,207.86,6440.0,0.79,12,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,RI,VT"
19,Postbellum,1836,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
20,Border,1840,29.0,206307,237253.0,8.55,25.14,7114.0,1.15,3,"KY,MD,MO"
21,Confederate,1840,80.0,465544,656417.0,19.3,56.73,5819.0,1.41,7,"AL,GA,LA,MS,NC,TN,VA"
22,Small,1840,9.0,67041,73745.0,2.78,8.17,7449.0,1.1,3,"AR,DE,MI"
23,Union,1840,165.0,1673802,1355780.0,69.37,203.97,10144.0,0.81,12,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,RI,VT"
24,Postbellum,1840,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
25,Border,1844,27.0,258077,265819.0,9.54,26.25,9558.0,1.03,3,"KY,MD,MO"
26,Confederate,1844,72.0,519536,706569.0,19.21,52.84,7216.0,1.36,7,"AL,GA,LA,MS,NC,TN,VA"
27,Small,1844,6.0,27397,58904.0,1.01,2.79,4566.0,2.15,2,"AR,DE"
28,Union,1844,161.0,1902482,1579060.0,70.36,193.5,11817.0,0.83,13,"CT,IL,IN,ME,MA,MI,NH,NJ,NY,OH,PA,RI,VT"
