Group,1824,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Midwest,0.4476032655791538,0.5425792469120575,0.711271704336017,0.6001336859542562,0.6165753642624963,0.8253347793559014,0.7709575785610839,0.8097535235317057,0.7771600260879388,0.700889672912044,0.8905815748841996,0.8044338246971687,0.8454722191501977,0.8480717742972277,0.8177281173363113,0.8235308239320812,0.8135988681505729,0.8056005087357707,0.7755340663758715,0.763311592139279,0.7565582908189183,0.7583336192503967,0.7716354445391977,0.7265201140089401,0.736205217925494,0.7381955134557687,0.7891142086711017,0.7444504449685821,0.7621255616076119,0.7735203041740657,0.7609968368346528,0.7913376146635276,0.8190017828238206,0.8235095072327789,0.8299646251028072,0.8548218526657861,0.885032156387158,0.8824076955181338,0.887870484891997,0.903939606630007,0.9091662973941584,0.9272236248734527,0.8812123500160176,0.9034525672454432,0.9141468270594617,0.8870323222668194,0.9179137661166809,0.8817354767845502,0.9210201382709307,0.9489922605892837
Northeast,0.7480010389683325,0.819380660349302,0.7558520766818905,0.8953749799261281,0.9093271749270693,0.8623880597014926,0.8604512897773434,0.8529640001349573,0.9111449068238351,0.9695958350553733,0.9028226768783494,0.9027271822389319,0.9353469444007695,0.9503582391207278,0.9278790804768448,0.8728259765043049,0.8832703995053565,0.852037617554859,0.8888099551036573,0.8600510489945838,0.8057070154950545,0.8517048138357881,0.913541528780458,1.0391994830522568,0.9083669133696715,0.8648078205766089,0.7856244540740457,0.8289412593382735,0.7706161412106989,0.7829548176588278,0.7566870272933336,0.771955478590991,0.789932597321765,0.792928365509603,0.8151197968022807,0.792130986875213,0.8389665054993305,0.8315573939546839,0.89639635929373,0.9737271549243517,0.8931746564656682,0.9168473398211179,0.9002352418306916,0.912429409395279,0.9341816780040171,0.9193701838185049,0.94339319400948,0.9166566989820887,0.9052238615881444,0.9345632359332423
Small,1.2004215240729763,1.512883597883598,2.849282888229476,1.6076757832211186,1.0842771485676217,2.5609049454563775,2.0594127917736134,1.524002372187702,1.1164500010683207,1.1270669361243293,2.3697104677060135,2.2320675105485233,2.6248756809713956,2.341933250524344,1.8504844739697883,1.7617535675770573,1.7310030626704658,1.862945345378278,1.6683834730299547,1.469845287554013,1.4961467627667084,1.4078459771914715,1.5666120564765211,1.4030690754418844,1.6670714237116442,1.6944166885327296,1.8885561465688836,1.5075767326407585,1.60870607006009,1.6283814528984744,1.8523468605875886,1.7395947997366976,1.765998783250619,1.7649837698060782,1.8185988550403527,1.892790425543549,1.9404304225318865,1.819828044271475,1.7903455765844842,1.7217894052260398,1.877575840101672,1.8284904556184614,1.7408719966186559,1.7258051391720979,1.7249613843771856,1.81663327090093,1.8530150096977855,1.8572880970086694,1.8843308863382147,1.6643552470407623
South,0.7878617589210453,1.3733862530514638,1.7610170196829096,1.4245226888792086,1.4784006950513648,1.3263252544706996,1.30130103024132,1.3932064670689441,1.4317068736228111,1.4637614769228218,1.9913838394452033,1.3359233562603445,1.155250426623563,1.1555059749361885,1.261417788225299,1.3155354628337756,1.3411983686778,1.2978101730236717,1.3425448141609178,1.5127384660307572,1.846206258607572,1.6871728978067602,1.6970941839025129,1.7793652406891227,1.656854555708798,1.8773370668957854,1.8722562908563736,1.8039969940434222,1.9058145406623723,1.8837360800975693,1.9354677248497563,1.8593351828852862,1.5447133443214112,1.5488451853067928,1.472722165577574,1.313051630486952,1.173562527453512,1.1986837849934493,1.084072454419757,1.0319412659462226,1.0381479916420164,1.0354956133776954,1.0435408313128585,1.017686465143736,0.9999050665693802,1.0020653668033292,0.9706012158147443,0.989234861428949,0.9808852673008519,0.9733346017875425
Nat'l Average,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
West,,,,,,,,,,,0.8170743224100482,0.9049201148579001,1.1076682152737902,0.8859189647203821,0.9127218484580961,1.0188640932442585,0.9039902283370269,0.9073139249802492,0.9404461512169131,0.9322170694434337,0.7885155460832306,0.7389606560442221,0.6272412133296578,0.5587972252716328,0.8341011241952876,0.7305647650500151,0.7139616171818931,0.8274755990644016,0.8324677456497221,0.7565674193794145,0.7582142959043068,0.6931125725245117,0.7933076027164262,0.7722702897922445,0.7335789056192342,0.8364507915530227,0.841316235112251,0.8525052925300735,0.9011497769578836,0.865062932717474,0.9531276467300501,0.9091401093674146,0.9880224488768731,0.9859064252297898,0.9781029037187977,1.0230811821163817,1.0094461744386924,1.038796568607471,1.0103572761498865,0.9492347934810524
