Group,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Border,0.9434083656452664,0.9387414553986634,1.0811359541151688,1.3374928284566838,1.028623240350748,1.0223993403875222,1.2112269333708974,1.1835040727003852,1.108263806609759,1.8632289493030751,1.4085412414095992,1.033850003591468,1.0303614862031367,1.0404793123716467,1.0413847494915114,0.9875740836432535,0.9440472497258844,0.8728954600977199,0.8415937198218124,0.8465190262833042,0.8325350705285443,0.8060122668936117,0.8827080524527933,0.7426691114717641,0.8401207340074414,0.9018462667044991,0.8171464881743653,0.8576834480728815,0.9111471992631553,1.00806337214399,1.0300549459788175,0.9980535664018785,1.0048372433541404,1.0353767174325437,1.0454520405633883,1.0650103818202792,1.061637126786952,1.0572267717809245,1.048813237947193,1.049959126798713,1.0597546708570404,0.9590400148844411,0.9740853506888506,0.958196047969166,0.9534536393515463,0.9586697006712742,0.9251357296517064,0.9465939155199489,1.0052601539557255
Confederate,1.6509401557172663,2.2490156988002603,1.4468885788319712,1.4206682646236226,1.3625696775584368,1.3360594253133729,1.4326680672268908,1.4629390689886446,1.468079041193798,,1.2001343918579674,1.159732357203963,1.1630433686588084,1.3031181849704687,1.3711995788865965,1.435654026040312,1.3964434325381063,1.5050235019989435,1.836964356423812,2.4404727673320012,2.304359498035015,2.3072034021541374,2.349168624514588,2.373379263542137,2.728919162687236,2.5850277154906034,2.4557073199637682,2.552272118902855,2.4494142499067277,2.4201608926500717,2.237659540688484,1.740250800586598,1.7352525283593505,1.598169828727303,1.3650131876660845,1.177241450077554,1.2169576673733171,1.0739765104128565,1.0110006492421124,1.018719188257792,1.0103607290336765,1.0354377268537749,1.0007170859362253,0.9787660181115744,0.99055906836806,0.9481800795808459,0.9700730712930337,0.9601139443660435,0.9432324617218525
Postbellum,,,,,,,,,,,,,,,,,1.0861572890025575,1.1177603928632238,1.0376175288903615,1.006999450676023,0.8829308251036821,0.8035880446090123,0.8619938714567119,1.0015601353997543,0.9671543506394056,1.043787369702422,1.0205787123819912,1.0835545349448654,1.0798473353161502,1.0239621869580213,1.0478422249970067,1.0246307484076191,1.0420800196895814,1.0638674803516708,1.0174724675299296,1.0231451601829094,1.0552669142404243,1.016714453022706,0.9744484454178216,1.0407133376696436,1.0067545241011828,1.0088036874954522,0.9823745278723345,0.9802937679037421,0.9934868199028155,0.9822077952022497,1.0770335442851915,1.0464768124813109,0.9886435808166847
Small,1.1807697838278293,2.127894474098537,1.4357599093997735,0.9177083446069041,1.5451992791584594,1.5715681356111213,1.2638300084325798,0.9886497161107793,1.0196267143299076,1.6667720456027346,1.7751093445407529,1.5586815744009026,1.4901246179167646,1.2939869013066325,1.5534890004728559,1.4156849713383735,1.862945345378278,1.6683834730299547,1.469845287554013,1.3219438377229498,1.2402578289934802,1.4829131812601708,1.3109221951995542,1.496291486665328,1.4887230709879211,1.6268035685406184,1.420395584320013,1.515578603252479,1.5224145871277253,1.8154678814633063,1.7391762377538769,1.754673016258017,1.7545675647562364,1.7887668407508326,1.754693516257702,1.8174598497474181,1.755894712622593,1.7295622294180049,1.671585749448368,1.752138279317048,1.7043542842001385,1.6317403298592523,1.6197333603096598,1.695536837318802,1.6975221287841846,1.7171828861427172,1.867145488963861,1.89672937529306,1.9053034004852751
Nat'l Average,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Union,0.7713303797912259,0.7102751136464011,0.7792896147095957,0.814332769722253,0.8146726376241186,0.7974381959483937,0.778384330768779,0.8148491449228344,0.8152970776024129,0.8503457481819108,0.80267548497664,0.8674018055982148,0.8605996559864623,0.8533798014135899,0.8430041175932815,0.8460173319564522,0.818605048664251,0.8184541058358649,0.8009318931851211,0.77285444899128,0.7937747991860737,0.7943688418484953,0.7856781441633334,0.7840444302671244,0.7557980387098946,0.741877368468416,0.7730326789827618,0.7548380394965405,0.753003360931793,0.7373730010681406,0.74526260196438,0.7830352577296861,0.7818755729128439,0.7848480954001512,0.8109177232578235,0.8420783611736393,0.8388844277259667,0.8812320686238864,0.9109959103698496,0.8899625689791932,0.8986370678550928,0.8948831149795512,0.912864396855677,0.9244686010981445,0.9128907512087607,0.9345874122695209,0.9146928321228979,0.9216242918267711,0.9350991948801618
