Group,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Border,0.9605852167267169,1.0776465225813803,1.1247834098847602,1.2092153675417552,1.0911350823456296,1.0845678674902968,1.2733813754254633,1.2514993157005998,1.1760340250620842,1.9937656675749318,1.5367518084629666,1.1133922949643449,1.091535701371311,1.0932741084466697,1.0827012366110422,1.0316439153393195,0.9796201945345067,0.9101438493295643,0.876495110592327,0.8768217709421001,0.8625206919017935,0.83291048887483,0.9135860496569571,0.7672535777260373,0.868011609182038,0.932088612156686,0.8505572014544955,0.8919111093076263,0.9464346978387368,1.0452592440056547,1.0641317561899037,1.0342895353471675,1.0403737972386333,1.070511626533859,1.0823311990166071,1.1004954224762364,1.0964421171835506,1.0942891653306612,1.088625719958093,1.0904440824694668,1.100516217893841,1.049554308482863,1.0619475995545753,1.049778395016585,1.0454464828531407,1.061297989349045,1.0349229908961193,1.054507746784439,1.115715955542768
Confederate,1.6422945498478148,2.3326361208677007,1.5042330218245246,1.4267328329664022,1.3791271886677414,1.4175009366477596,1.5265008571729917,1.4873410844289905,1.4428970009689357,,1.2574230063848801,1.1824255601596665,1.1831632903722384,1.3213078725416574,1.3805045774839833,1.4442719249468896,1.4241324429698619,1.529000030645705,1.8648383937316357,2.475033209207117,2.3297984499248643,2.3072034021541374,2.349168624514588,2.373379263542137,2.728919162687236,2.5850277154906034,2.4557073199637682,2.552272118902855,2.4494142499067277,2.4201608926500717,2.237659540688484,1.740250800586598,1.7352525283593505,1.598169828727303,1.3650131876660845,1.177241450077554,1.2169576673733171,1.0739765104128565,1.0110006492421124,1.018719188257792,1.0103607290336765,1.0354377268537749,1.0007170859362253,0.9787660181115744,0.99055906836806,0.9481800795808459,0.9700730712930337,0.9601139443660435,0.9432324617218525
Nat'l Average,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Union,0.781987701572675,0.7314076982073914,0.7987039437830036,0.8023783693177321,0.8320457171211081,0.8264510884488218,0.8142613082978077,0.8246077717822645,0.8316265191971097,0.9015327387621566,0.8497221266430298,0.8942620889879432,0.8944078287452768,0.8756286921886188,0.8608292484888125,0.8675794420756618,0.8367777653217199,0.8379814211043247,0.8199108346091817,0.7894449430925574,0.8145552872667975,0.8325437659721693,0.8382672836576491,0.8084086728796855,0.7879253722096042,0.7795294241684092,0.7967054045827403,0.7795491041477399,0.7879365449052621,0.7660847449723068,0.7875757936221417,0.8164989124650451,0.8190523839556216,0.8320495761759267,0.8501720708510082,0.888593986702426,0.8824869035687438,0.916575450398482,0.9603991898827262,0.9309285412652792,0.9512844586711225,0.916006189215655,0.9355855336549995,0.9469113689076508,0.9248636137488757,0.9541275150206063,0.9236184907300247,0.9415082352193112,0.9792971662753995
West,,,,,,,0.5558651217289415,0.4965942587637749,0.8035634677683003,1.230244214567559,1.727599520702969,1.6947154549462344,1.3437239873725872,1.2341420444722522,1.1916025458345207,1.007699403917116,1.4054622391905751,1.2982797721383823,1.1521528187095857,1.049185368591508,0.9484750647858025,0.9258422542531034,0.8456178537052894,1.088058962410137,1.012037461054095,1.0415429359194968,1.0405896821809661,1.079133002844018,1.0237339459458294,1.045508150842661,0.9819137461850459,1.023681955536219,1.0131904817526272,1.0146050047078554,1.0665772553527741,1.0811040892346093,1.0523089669069763,1.0891915106199725,1.0469738060122276,1.0958359795157946,1.0556341746450337,1.1042617043972975,1.100558282277488,1.0919930112071794,1.113304137626648,1.1067626750406174,1.1360258911065138,1.110075431550454,1.0521299340204229
