Group,1824,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Midwest,0.513476485668941,0.6055675937492033,0.7748221906116642,0.6546319126452976,0.6160572337042926,0.8253347793559014,0.8138577607086874,0.8259210406333036,0.7653086165296817,0.7082317755318693,0.9279706587500007,0.8458527892190132,0.858274479155955,0.856647705699873,0.8186842038764506,0.8235308239320812,0.8135988681505729,0.826477296960565,0.7951961576777492,0.7766163762510193,0.7731620471284226,0.77209275532196,0.7716354445391977,0.7265201140089401,0.736205217925494,0.7381955134557687,0.7891142086711017,0.7565890443196699,0.7763262474567026,0.7889581942508537,0.7821445832845118,0.8120065188794031,0.841130306688815,0.8463975272127092,0.8534636588808693,0.8808905505974559,0.9129603380775666,0.9036585384261576,0.9098178121936753,0.9260541040426429,0.9273810232253783,0.9456986882362369,0.9027269452956084,0.9251111230800821,0.9372462071716374,0.9110151408493949,0.9435788244475424,0.9085088439266702,0.94842540779022,0.9691189427552375
Northeast,0.7746177327789826,0.8422034884987875,0.7748692859904843,0.9168377796136079,0.931397226104503,0.8857726158021187,0.8846405175812366,0.8742472285187108,0.9342130443785607,0.9947447361882641,0.9275257556706888,0.9302169999513453,0.9608154178307136,0.9753892305227129,0.9524427196099691,0.92048328437521,0.9316796205597487,0.8963417263723282,0.9388310348545503,0.9095408823673984,0.8461704269892366,0.894819485777395,0.9343321841715042,1.0650898598141458,0.9315684171645139,0.8886007153772292,0.8099678136289947,0.8549578915691693,0.7989637510702979,0.8129841972262098,0.7882194327320119,0.802582782358118,0.8226366279428465,0.827247084432169,0.8501237266487549,0.8432501201635754,0.8911229960311385,0.8837721230875166,0.9475791047067927,1.0214235997720713,0.9500834322808597,0.9691228222537087,0.9533902186951911,0.9677341117595616,0.9884978326845928,0.979826520874312,1.006644203128673,0.9855599629957017,0.9753901399054978,0.9873903003875156
South,0.7902399934806524,1.3790013217894896,1.7874797559583018,1.4404944619866462,1.4748238440569872,1.3599813239261258,1.3861859801780008,1.4891458331411522,1.4789573226557469,1.4706170266941265,2.075403982858118,1.365597735461879,1.1881516370203575,1.188731352846888,1.2919108933325543,1.3378199067628282,1.3656612929662917,1.3308795461528196,1.3749118165784833,1.5460122955350977,1.84804752832795,1.6911606059985285,1.6979352349913832,1.7831774712055146,1.6556855166523872,1.8760672978986423,1.873815980914737,1.8070564298162854,1.9077930747024905,1.8867830629669924,1.9391205861371135,1.861407777854196,1.5511464498794625,1.554837695638123,1.4793186224725325,1.3288769151433075,1.1925849500918129,1.2180778885085914,1.1043644502543706,1.0529480982616632,1.0572121398860175,1.0552107276929694,1.0621244005933694,1.036865666960614,1.018151791925045,1.0201077280361797,0.9878643258591846,1.0050400258593284,0.9965681335239486,0.9894584706401218
Nat'l Average,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
West,,,,,,,,0.5713318578310116,0.5103804816108113,0.8253559009718549,1.230244214567559,1.5186394271272114,1.625014358903669,1.3441243499094255,1.3531981729883915,1.2963955913017575,1.1566806255629876,1.4433228576807775,1.2882121476054902,1.16898655353956,1.0144447790898115,0.9377319462188964,0.8497803100907936,0.7378846329744592,1.0713443806373326,0.9726701515596009,0.9885718790224798,1.029365070131145,1.0500798677015015,0.9661730227844033,0.9912196219392483,0.9050083763548894,0.9824949732186607,0.9553052416998267,0.9543326516692391,1.0214207242895297,1.026677920277445,1.0123873036971243,1.0531966189929787,1.0051474168385424,1.0681963912032626,1.0202641017016685,1.075187179277347,1.0666537336867012,1.0586206974838184,1.0921867032447554,1.0789207766403028,1.1063811269047836,1.0802943803462222,1.0154879064726217
