,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Average weight,State count,States in group
58,West,1844,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
59,Nat'l Average,1844,266.0,2703864,2703864.0,100.0,266.0,10165.0,1.0,26,25 of 26 held popular vote
60,Midwest,1848,64.0,805094,652126.0,27.99,78.64,12580.0,0.81,7,"IL,IN,IA,MI,MO,OH,WI"
61,Northeast,1848,112.0,1296183,1140641.0,45.06,126.61,11573.0,0.88,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
62,South,1848,105.0,775502,1077948.0,26.96,75.75,7386.0,1.39,13,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,TN,TX,VA"
63,West,1848,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
64,Nat'l Average,1848,281.0,2876818,2876818.0,100.0,281.0,10238.0,1.0,30,29 of 30 held popular vote
65,Midwest,1852,71.0,943118,782788.0,29.85,85.96,13283.0,0.83,7,"IL,IN,IA,MI,MO,OH,WI"
66,Northeast,1852,110.0,1380399,1200947.0,43.69,125.82,12549.0,0.87,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
67,South,1852,103.0,758833,1130661.0,24.02,69.17,7367.0,1.49,13,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,TN,TX,VA"
68,West,1852,4.0,76810,43782.0,2.43,7.0,19202.0,0.57,1,CA
69,Nat'l Average,1852,288.0,3159640,3159640.0,100.0,288.0,10971.0,1.0,31,30 of 31 held popular vote
70,Midwest,1856,71.0,1305131,1004951.0,32.21,92.77,18382.0,0.77,7,"IL,IN,IA,MI,MO,OH,WI"
71,Northeast,1856,110.0,1656453,1540501.0,40.88,117.75,15059.0,0.93,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
72,South,1856,103.0,979747,1450026.0,24.18,69.64,9512.0,1.48,13,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,TN,TX,VA"
73,West,1856,4.0,110255,56230.0,2.72,7.84,27564.0,0.51,1,CA
74,Nat'l Average,1856,288.0,4051605,4051605.0,100.0,288.0,14068.0,1.0,31,30 of 31 held popular vote
75,Midwest,1860,75.0,1680488,1193146.0,35.9,105.9,22407.0,0.71,8,"IL,IN,IA,MI,MN,MO,OH,WI"
76,Northeast,1860,110.0,1754812,1737264.0,37.49,110.58,15953.0,0.99,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
77,South,1860,103.0,1111443,1633821.0,23.74,70.04,10791.0,1.47,13,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,TN,TX,VA"
78,West,1860,7.0,134588,111708.0,2.87,8.48,19227.0,0.83,2,"CA,OR"
79,Nat'l Average,1860,295.0,4681335,4681335.0,100.0,295.0,15869.0,1.0,33,32 of 33 held popular vote
80,Midwest,1864,92.0,1715537,1595449.0,42.55,99.14,18647.0,0.93,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
81,Northeast,1864,105.0,1958889,1821767.0,48.58,113.2,18656.0,0.93,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
82,South,1864,26.0,216779,450900.0,5.38,12.53,8338.0,2.08,4,"DE,KY,MD,WV"
83,West,1864,10.0,140655,173006.0,3.49,8.13,14066.0,1.23,3,"CA,NV,OR"
84,Nat'l Average,1864,233.0,4031887,4031887.0,100.0,233.0,17304.0,1.0,25,25 of 25 held popular vote
85,Midwest,1868,95.0,2208629,1877335.0,38.6,112.31,23249.0,0.85,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
86,Northeast,1868,105.0,2219724,2064343.0,38.79,112.88,21140.0,0.93,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
87,South,1868,80.0,1152023,1578272.0,20.13,58.58,14400.0,1.37,11,"AL,AR,DE,GA,KY,LA,MD,NC,SC,TN,WV"
88,West,1868,11.0,142440,216509.0,2.49,7.24,12949.0,1.52,3,"CA,NV,OR"
89,Nat'l Average,1868,291.0,5722440,5722440.0,100.0,291.0,19665.0,1.0,34,33 of 34 held popular vote
90,Midwest,1872,118.0,2431150,2090789.0,37.56,137.49,20603.0,0.86,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
91,Northeast,1872,113.0,2079670,1996483.0,32.13,117.61,18404.0,0.96,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
92,South,1872,123.0,1830582,2178393.0,28.28,103.52,14883.0,1.19,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
93,West,1872,12.0,130581,212847.0,2.02,7.38,10882.0,1.63,3,"CA,NV,OR"
94,Nat'l Average,1872,366.0,6471983,6471983.0,100.0,366.0,17683.0,1.0,37,37 of 37 held popular vote
95,Midwest,1876,118.0,3168439,2724858.0,37.64,137.75,26851.0,0.86,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
96,Northeast,1876,113.0,2664809,2611513.0,31.65,115.85,23582.0,0.98,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
97,South,1876,123.0,2380055,2832265.0,28.27,103.47,19350.0,1.19,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
98,West,1876,12.0,205356,275177.0,2.44,8.93,17113.0,1.34,3,"CA,NV,OR"
99,Nat'l Average,1876,366.0,8418659,8418659.0,100.0,366.0,23002.0,1.0,38,37 of 38 held popular vote
100,Midwest,1880,118.0,3601181,2952968.0,39.06,144.13,30518.0,0.82,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
101,Northeast,1880,113.0,2964278,2816064.0,32.15,118.64,26233.0,0.95,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
102,South,1880,123.0,2378767,3068609.0,25.8,95.21,19340.0,1.29,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
103,West,1880,15.0,276955,373889.0,3.0,11.08,18464.0,1.35,4,"CA,CO,NV,OR"
104,Nat'l Average,1880,369.0,9219477,9219477.0,100.0,369.0,24985.0,1.0,38,All 37
105,Midwest,1884,134.0,4082169,3347379.0,40.58,162.71,30464.0,0.82,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
106,Northeast,1884,113.0,3079843,2833456.0,30.61,122.76,27255.0,0.92,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
107,South,1884,137.0,2569147,3442657.0,25.54,102.41,18753.0,1.34,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
108,West,1884,17.0,328986,427682.0,3.27,13.11,19352.0,1.3,4,"CA,CO,NV,OR"
109,Nat'l Average,1884,401.0,10060145,10060145.0,100.0,401.0,25088.0,1.0,38,All 37
110,Midwest,1888,134.0,4677654,3788900.0,41.07,164.7,34908.0,0.81,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
111,Northeast,1888,113.0,3444653,3203527.0,30.25,121.29,30484.0,0.93,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
112,South,1888,137.0,2849123,3903299.0,25.02,100.32,20797.0,1.37,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
113,West,1888,17.0,417416,484203.0,3.67,14.7,24554.0,1.16,4,"CA,CO,NV,OR"
114,Nat'l Average,1888,401.0,11388846,11388846.0,100.0,401.0,28401.0,1.0,38,All 37
115,Midwest,1892,152.0,4998758,4148969.0,41.42,183.91,32887.0,0.83,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
116,Northeast,1892,117.0,3547821,3193039.0,29.4,130.53,30323.0,0.9,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
117,South,1892,142.0,2900007,3857009.0,24.03,106.7,20423.0,1.33,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
118,West,1892,33.0,621441,894875.0,5.15,22.86,18832.0,1.44,8,"CA,CO,ID,MT,NV,OR,WA,WY"
119,Nat'l Average,1892,444.0,12068027,12068027.0,100.0,444.0,27180.0,1.0,44,All 43
120,Midwest,1896,152.0,5960562,4768450.0,42.76,191.15,39214.0,0.8,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
121,Northeast,1896,117.0,3886121,3652954.0,27.88,124.62,33215.0,0.94,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
122,South,1896,142.0,3220560,4412167.0,23.11,103.28,22680.0,1.37,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
123,West,1896,36.0,871431,1124146.0,6.25,27.95,24206.0,1.29,9,"CA,CO,ID,MT,NV,OR,UT,WA,WY"
124,Nat'l Average,1896,447.0,13938674,13938674.0,100.0,447.0,31183.0,1.0,45,All 44
