,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Vote weight,Party
1855,VT,Vermont,Small,2000,3.0,294308,588616.0,0.28,1.5,98103.0,2.0,Democrat
1856,VA,Virginia,Confederate,2000,13.0,2739447,2547686.0,2.6,13.98,210727.0,0.93,Republican
1857,WA,Washington,Post-War,2000,11.0,2487433,2164067.0,2.36,12.7,226130.0,0.87,Democrat
1858,WV,West Virginia,Border,2000,5.0,648124,978667.0,0.61,3.31,129625.0,1.51,Republican
1859,WI,Wisconsin,Union,2000,11.0,2598607,2156844.0,2.47,13.26,236237.0,0.83,Democrat
1860,WY,Wyoming,Small,2000,3.0,218351,587364.0,0.21,1.11,72784.0,2.69,Republican
1861,AL,Alabama,Confederate,2004,9.0,1883449,2052959.0,1.54,8.29,209272.0,1.09,Republican
1862,AK,Alaska,Small,2004,3.0,312598,681464.0,0.26,1.38,104199.0,2.18,Republican
1863,AZ,Arizona,Post-War,2004,10.0,2012585,2274221.0,1.65,8.85,201258.0,1.13,Republican
1864,AR,Arkansas,Confederate,2004,6.0,1054945,1360879.0,0.86,4.64,175824.0,1.29,Republican
1865,CA,California,Union,2004,55.0,12421353,12545567.0,10.16,54.64,225843.0,1.01,Democrat
1866,CO,Colorado,Post-War,2004,9.0,2130330,2045117.0,1.74,9.37,236703.0,0.96,Republican
1867,CT,Connecticut,Union,2004,7.0,1578769,1594557.0,1.29,6.95,225538.0,1.01,Democrat
1868,DE,Delaware,Small,2004,3.0,375190,682846.0,0.31,1.65,125063.0,1.82,Democrat
1869,DC,District of Columbia,Small,2004,3.0,227586,682758.0,0.19,1.0,75862.0,3.0,Democrat
1870,FL,Florida,Confederate,2004,27.0,7609810,6163946.0,6.22,33.48,281845.0,0.81,Republican
1871,GA,Georgia,Confederate,2004,15.0,3301875,3400931.0,2.7,14.53,220125.0,1.03,Republican
1872,HI,Hawaii,Small,2004,4.0,429013,909508.0,0.35,1.89,107253.0,2.12,Democrat
1873,ID,Idaho,Small,2004,4.0,598447,909639.0,0.49,2.63,149612.0,1.52,Republican
1874,IL,Illinois,Union,2004,21.0,5274322,4799633.0,4.31,23.2,251158.0,0.91,Democrat
1875,IN,Indiana,Union,2004,11.0,2468002,2492682.0,2.02,10.86,224364.0,1.01,Republican
1876,IA,Iowa,Union,2004,7.0,1506908,1597322.0,1.23,6.63,215273.0,1.06,Republican
1877,KS,Kansas,Union,2004,6.0,1187756,1365919.0,0.97,5.23,197959.0,1.15,Republican
1878,KY,Kentucky,Border,2004,8.0,1795882,1813841.0,1.47,7.9,224485.0,1.01,Republican
1879,LA,Louisiana,Confederate,2004,9.0,1943106,2040261.0,1.59,8.55,215901.0,1.05,Republican
1880,MD,Maryland,Border,2004,10.0,2386678,2267344.0,1.95,10.5,238668.0,0.95,Democrat
1881,MA,Massachusetts,Union,2004,12.0,2912388,2737645.0,2.38,12.81,242699.0,0.94,Democrat
1882,MI,Michigan,Union,2004,17.0,4839252,3871402.0,3.96,21.29,284662.0,0.8,Democrat
1883,MN,Minnesota,Union,2004,10.0,2828387,2262710.0,2.31,12.44,282839.0,0.8,Democrat
1884,MS,Mississippi,Confederate,2004,6.0,1152145,1359531.0,0.94,5.07,192024.0,1.18,Republican
1885,MO,Missouri,Border,2004,11.0,2731364,2512855.0,2.23,12.02,248306.0,0.92,Republican
1886,MT,Montana,Small,2004,3.0,450445,680172.0,0.37,1.98,150148.0,1.51,Republican
1887,NV,Nevada,Post-War,2004,5.0,829587,1136534.0,0.68,3.65,165917.0,1.37,Republican
1888,NH,New Hampshire,Small,2004,4.0,677738,908169.0,0.55,2.98,169434.0,1.34,Democrat
1889,NJ,New Jersey,Union,2004,15.0,3611691,3394990.0,2.95,15.89,240779.0,0.94,Democrat
1890,NM,New Mexico,Post-War,2004,5.0,756304,1134456.0,0.62,3.33,151261.0,1.5,Republican
1891,NY,New York,Union,2004,31.0,7391036,7021484.0,6.04,32.51,238421.0,0.95,Democrat
1892,NC,North Carolina,Confederate,2004,15.0,3501007,3395977.0,2.86,15.4,233400.0,0.97,Republican
1893,ND,North Dakota,Small,2004,3.0,312833,681976.0,0.26,1.38,104278.0,2.18,Republican
1894,OH,Ohio,Union,2004,20.0,5627908,4558605.0,4.6,24.76,281395.0,0.81,Republican
1895,OK,Oklahoma,Post-War,2004,7.0,1463758,1595496.0,1.2,6.44,209108.0,1.09,Republican
1896,OR,Oregon,Union,2004,7.0,1836782,1598000.0,1.5,8.08,262397.0,0.87,Democrat
1897,PA,Pennsylvania,Union,2004,21.0,5769590,4788760.0,4.72,25.38,274742.0,0.83,Democrat
1898,RI,Rhode Island,Small,2004,4.0,437134,909239.0,0.36,1.92,109284.0,2.08,Democrat
1899,SC,South Carolina,Confederate,2004,8.0,1617730,1811858.0,1.32,7.12,202216.0,1.12,Republican
1900,SD,South Dakota,Small,2004,3.0,388215,683258.0,0.32,1.71,129405.0,1.76,Republican
1901,TN,Tennessee,Confederate,2004,11.0,2437319,2510439.0,1.99,10.72,221574.0,1.03,Republican
1902,TX,Texas,Confederate,2004,34.0,7410765,7707196.0,6.06,32.6,217964.0,1.04,Republican
1903,UT,Utah,Post-War,2004,5.0,927844,1131970.0,0.76,4.08,185569.0,1.22,Republican
1904,VT,Vermont,Small,2004,3.0,312309,680834.0,0.26,1.37,104103.0,2.18,Democrat
1905,VA,Virginia,Confederate,2004,13.0,3198367,2942498.0,2.62,14.07,246028.0,0.92,Republican
1906,WA,Washington,Post-War,2004,11.0,2859084,2487403.0,2.34,12.58,259917.0,0.87,Democrat
1907,WV,West Virginia,Border,2004,5.0,755887,1133830.0,0.62,3.33,151177.0,1.5,Republican
1908,WI,Wisconsin,Union,2004,10.0,2997007,2277725.0,2.45,13.18,299701.0,0.76,Democrat
1909,WY,Wyoming,Small,2004,3.0,243428,681598.0,0.2,1.07,81143.0,2.8,Republican
1910,AL,Alabama,Confederate,2008,9.0,2099819,2204810.0,1.6,8.6,233313.0,1.05,Republican
1911,AK,Alaska,Small,2008,3.0,326197,730681.0,0.25,1.34,108732.0,2.24,Republican
1912,AZ,Arizona,Post-War,2008,10.0,2293475,2431084.0,1.75,9.4,229348.0,1.06,Republican
1913,AR,Arkansas,Confederate,2008,6.0,1086617,1466933.0,0.83,4.45,181103.0,1.35,Republican
1914,CA,California,Union,2008,55.0,13561900,13426281.0,10.33,55.56,246580.0,0.99,Democrat
1915,CO,Colorado,Post-War,2008,9.0,2401462,2185330.0,1.83,9.84,266829.0,0.91,Democrat
1916,CT,Connecticut,Union,2008,7.0,1646797,1712669.0,1.25,6.75,235257.0,1.04,Democrat
1917,DE,Delaware,Small,2008,3.0,412412,734093.0,0.31,1.69,137471.0,1.78,Democrat
1918,DC,District of Columbia,Small,2008,3.0,265853,731096.0,0.2,1.09,88618.0,2.75,Democrat
1919,FL,Florida,Confederate,2008,27.0,8390744,6628688.0,6.39,34.38,310768.0,0.79,Democrat
1920,GA,Georgia,Confederate,2008,15.0,3924486,3649772.0,2.99,16.08,261632.0,0.93,Republican
1921,HI,Hawaii,Small,2008,4.0,453568,975171.0,0.35,1.86,113392.0,2.15,Democrat
1922,ID,Idaho,Small,2008,4.0,655122,976132.0,0.5,2.68,163780.0,1.49,Republican
1923,IL,Illinois,Union,2008,21.0,5522371,5135805.0,4.21,22.63,262970.0,0.93,Democrat
1924,IN,Indiana,Union,2008,11.0,2751054,2696033.0,2.1,11.27,250096.0,0.98,Democrat
1925,IA,Iowa,Union,2008,7.0,1537123,1706207.0,1.17,6.3,219589.0,1.11,Democrat
1926,KS,Kansas,Union,2008,6.0,1235872,1458329.0,0.94,5.06,205979.0,1.18,Republican
1927,KY,Kentucky,Border,2008,8.0,1826620,1954483.0,1.39,7.48,228328.0,1.07,Republican
1928,LA,Louisiana,Confederate,2008,9.0,1960761,2196052.0,1.49,8.03,217862.0,1.12,Republican
1929,MD,Maryland,Border,2008,10.0,2631596,2447384.0,2.0,10.78,263160.0,0.93,Democrat
1930,MA,Massachusetts,Union,2008,12.0,3080985,2926936.0,2.35,12.62,256749.0,0.95,Democrat
1931,MI,Michigan,Union,2008,17.0,5001766,4151466.0,3.81,20.49,294222.0,0.83,Democrat
1932,MN,Minnesota,Union,2008,10.0,2910369,2444710.0,2.22,11.92,291037.0,0.84,Democrat
1933,MS,Mississippi,Confederate,2008,6.0,1289865,1470446.0,0.98,5.28,214978.0,1.14,Republican
1934,MO,Missouri,Border,2008,11.0,2925205,2691189.0,2.23,11.98,265928.0,0.92,Republican
1935,MT,Montana,Small,2008,3.0,490302,730550.0,0.37,2.01,163434.0,1.49,Republican
1936,NV,Nevada,Post-War,2008,5.0,967848,1219488.0,0.74,3.97,193570.0,1.26,Democrat
1937,NH,New Hampshire,Small,2008,4.0,710970,974029.0,0.54,2.91,177742.0,1.37,Democrat
1938,NJ,New Jersey,Union,2008,15.0,3868237,3674825.0,2.95,15.85,257882.0,0.95,Democrat
1939,NM,New Mexico,Post-War,2008,5.0,830158,1220332.0,0.63,3.4,166032.0,1.47,Democrat
1940,NY,New York,Union,2008,31.0,7640931,7564522.0,5.82,31.31,246482.0,0.99,Democrat
1941,NC,North Carolina,Confederate,2008,15.0,4310789,3664171.0,3.28,17.66,287386.0,0.85,Democrat
1942,ND,North Dakota,Small,2008,3.0,316621,731395.0,0.24,1.3,105540.0,2.31,Republican
1943,OH,Ohio,Union,2008,20.0,5708350,4909181.0,4.35,23.39,285418.0,0.86,Democrat
1944,OK,Oklahoma,Post-War,2008,7.0,1462661,1711313.0,1.11,5.99,208952.0,1.17,Republican
1945,OR,Oregon,Union,2008,7.0,1827864,1699914.0,1.39,7.49,261123.0,0.93,Democrat
1946,PA,Pennsylvania,Union,2008,21.0,6013272,5111281.0,4.58,24.64,286346.0,0.85,Democrat
1947,RI,Rhode Island,Small,2008,4.0,471766,976556.0,0.36,1.93,117942.0,2.07,Democrat
1948,SC,South Carolina,Confederate,2008,8.0,1920969,1959388.0,1.46,7.87,240121.0,1.02,Republican
1949,SD,South Dakota,Small,2008,3.0,381975,733392.0,0.29,1.56,127325.0,1.92,Republican
1950,TN,Tennessee,Confederate,2008,11.0,2599749,2677741.0,1.98,10.65,236341.0,1.03,Republican
1951,TX,Texas,Confederate,2008,34.0,8077795,8320129.0,6.15,33.1,237582.0,1.03,Republican
1952,UT,Utah,Post-War,2008,5.0,952370,1219034.0,0.73,3.9,190474.0,1.28,Republican
1953,VT,Vermont,Small,2008,3.0,325046,731354.0,0.25,1.33,108349.0,2.25,Democrat
1954,VA,Virginia,Confederate,2008,13.0,3723260,3164771.0,2.84,15.25,286405.0,0.85,Democrat
1955,WA,Washington,Post-War,2008,11.0,3036878,2672453.0,2.31,12.44,276080.0,0.88,Democrat
1956,WV,West Virginia,Border,2008,5.0,713451,1220001.0,0.54,2.92,142690.0,1.71,Republican
1957,WI,Wisconsin,Union,2008,10.0,2983417,2446402.0,2.27,12.22,298342.0,0.82,Democrat
1958,WY,Wyoming,Small,2008,3.0,254658,733415.0,0.19,1.04,84886.0,2.88,Republican
1959,AL,Alabama,Confederate,2012,9.0,2074338,2157312.0,1.61,8.65,230482.0,1.04,Republican
1960,AK,Alaska,Small,2012,3.0,300495,721188.0,0.23,1.25,100165.0,2.4,Republican
1961,AZ,Arizona,Post-War,2012,11.0,2299254,2644142.0,1.78,9.58,209023.0,1.15,Republican
1962,AR,Arkansas,Confederate,2012,6.0,1069468,1443782.0,0.83,4.46,178245.0,1.35,Republican
1963,CA,California,Union,2012,55.0,13038547,13168932.0,10.1,54.34,237064.0,1.01,Democrat
1964,CO,Colorado,Post-War,2012,9.0,2569518,2158395.0,1.99,10.71,285502.0,0.84,Democrat
1965,CT,Connecticut,Union,2012,7.0,1558960,1683677.0,1.21,6.5,222709.0,1.08,Democrat
1966,DE,Delaware,Small,2012,3.0,413921,720223.0,0.32,1.73,137974.0,1.74,Democrat
1967,DC,District of Columbia,Small,2012,3.0,293764,719722.0,0.23,1.22,97921.0,2.45,Democrat
1968,FL,Florida,Confederate,2012,29.0,8474179,6948827.0,6.56,35.32,292213.0,0.82,Democrat
1969,GA,Georgia,Confederate,2012,16.0,3900050,3822049.0,3.02,16.25,243753.0,0.98,Republican
1970,HI,Hawaii,Small,2012,4.0,434697,960680.0,0.34,1.81,108674.0,2.21,Democrat
1971,ID,Idaho,Small,2012,4.0,652274,958843.0,0.51,2.72,163068.0,1.47,Republican
1972,IL,Illinois,Union,2012,20.0,5242014,4822653.0,4.06,21.85,262101.0,0.92,Democrat
1973,IN,Indiana,Union,2012,11.0,2624534,2650779.0,2.03,10.94,238594.0,1.01,Democrat
1974,IA,Iowa,Union,2012,6.0,1582180,1439784.0,1.23,6.59,263697.0,0.91,Democrat
1975,KS,Kansas,Union,2012,6.0,1159971,1438364.0,0.9,4.83,193328.0,1.24,Republican
1976,KY,Kentucky,Border,2012,8.0,1797212,1923017.0,1.39,7.49,224652.0,1.07,Republican
1977,LA,Louisiana,Confederate,2012,8.0,1994065,1914302.0,1.54,8.31,249258.0,0.96,Republican
1978,MD,Maryland,Border,2012,10.0,2707327,2409521.0,2.1,11.28,270733.0,0.89,Democrat
1979,MA,Massachusetts,Union,2012,11.0,3167767,2629247.0,2.45,13.2,287979.0,0.83,Democrat
1980,MI,Michigan,Union,2012,16.0,4730961,3832078.0,3.66,19.72,295685.0,0.81,Democrat
1981,MN,Minnesota,Union,2012,10.0,2936561,2407980.0,2.27,12.24,293656.0,0.82,Democrat
1982,MS,Mississippi,Confederate,2012,6.0,1285584,1439854.0,1.0,5.36,214264.0,1.12,Republican
1983,MO,Missouri,Border,2012,10.0,2757323,2398871.0,2.14,11.49,275732.0,0.87,Republican
1984,MT,Montana,Small,2012,3.0,484048,721232.0,0.37,2.02,161349.0,1.49,Republican
1985,NV,Nevada,Post-War,2012,6.0,1014918,1441184.0,0.79,4.23,169153.0,1.42,Democrat
1986,NH,New Hampshire,Small,2012,4.0,710972,959812.0,0.55,2.96,177743.0,1.35,Democrat
1987,NJ,New Jersey,Union,2012,14.0,3640292,3349069.0,2.82,15.17,260021.0,0.92,Democrat
1988,NM,New Mexico,Post-War,2012,5.0,783758,1199150.0,0.61,3.27,156752.0,1.53,Democrat
1989,NY,New York,Union,2012,29.0,7081159,6939536.0,5.49,29.51,244178.0,0.98,Democrat
1990,NC,North Carolina,Confederate,2012,15.0,4505372,3604298.0,3.49,18.78,300358.0,0.8,Democrat
1991,ND,North Dakota,Small,2012,3.0,322627,719458.0,0.25,1.34,107542.0,2.23,Republican
1992,OH,Ohio,Union,2012,18.0,5580847,4297252.0,4.32,23.26,310047.0,0.77,Democrat
1993,OK,Oklahoma,Post-War,2012,7.0,1334872,1681939.0,1.03,5.56,190696.0,1.26,Republican
1994,OR,Oregon,Union,2012,7.0,1789270,1681914.0,1.39,7.46,255610.0,0.94,Democrat
1995,PA,Pennsylvania,Union,2012,20.0,5753670,4775546.0,4.46,23.98,287684.0,0.83,Democrat
1996,RI,Rhode Island,Small,2012,4.0,446049,959005.0,0.35,1.86,111512.0,2.15,Democrat
1997,SC,South Carolina,Confederate,2012,9.0,1964118,2160530.0,1.52,8.19,218235.0,1.1,Republican
1998,SD,South Dakota,Small,2012,3.0,363815,720354.0,0.28,1.52,121272.0,1.98,Republican
1999,TN,Tennessee,Confederate,2012,11.0,2458577,2630677.0,1.9,10.25,223507.0,1.07,Republican
2000,TX,Texas,Confederate,2012,38.0,7993851,9112990.0,6.19,33.32,210364.0,1.14,Republican
2001,UT,Utah,Post-War,2012,6.0,1017440,1434590.0,0.79,4.24,169573.0,1.41,Republican
2002,VT,Vermont,Small,2012,3.0,299290,721289.0,0.23,1.25,99763.0,2.41,Democrat
2003,VA,Virginia,Confederate,2012,13.0,3854489,3122136.0,2.99,16.06,296499.0,0.81,Democrat
2004,WA,Washington,Post-War,2012,12.0,3125516,2875475.0,2.42,13.03,260460.0,0.92,Democrat
2005,WV,West Virginia,Border,2012,5.0,670438,1200084.0,0.52,2.79,134088.0,1.79,Republican
2006,WI,Wisconsin,Union,2012,10.0,3068434,2393379.0,2.38,12.79,306843.0,0.78,Democrat
2007,WY,Wyoming,Small,2012,3.0,249061,719786.0,0.19,1.04,83020.0,2.89,Republican
2008,AL,Alabama,Confederate,2016,9.0,2123372,2293242.0,1.55,8.36,235930.0,1.08,Republican
2009,AK,Alaska,Small,2016,3.0,318608,761473.0,0.23,1.25,106203.0,2.39,Republican
2010,AZ,Arizona,Post-War,2016,11.0,2573165,2804750.0,1.88,10.13,233924.0,1.09,Republican
2011,AR,Arkansas,Confederate,2016,6.0,1130635,1526357.0,0.83,4.45,188439.0,1.35,Republican
2012,CA,California,Union,2016,55.0,14181595,14039779.0,10.38,55.83,257847.0,0.99,Democrat
2013,CO,Colorado,Post-War,2016,9.0,2780247,2279803.0,2.03,10.94,308916.0,0.82,Democrat
2014,CT,Connecticut,Union,2016,7.0,1644920,1776514.0,1.2,6.48,234989.0,1.08,Democrat
2015,DE,Delaware,Small,2016,3.0,443814,763360.0,0.32,1.75,147938.0,1.72,Democrat
2016,DC,District of Columbia,Small,2016,3.0,311268,762607.0,0.23,1.23,103756.0,2.45,Democrat
2017,FL,Florida,Confederate,2016,29.0,9420039,7347630.0,6.89,37.08,324829.0,0.78,Republican
2018,GA,Georgia,Confederate,2016,16.0,4114732,4073585.0,3.01,16.2,257171.0,0.99,Republican
2019,HI,Hawaii,Small,2016,4.0,428937,1016581.0,0.31,1.69,107234.0,2.37,Democrat
2020,ID,Idaho,Small,2016,4.0,690255,1014675.0,0.51,2.72,172564.0,1.47,Republican
2021,IL,Illinois,Union,2016,20.0,5536424,5093510.0,4.05,21.79,276821.0,0.92,Democrat
2022,IN,Indiana,Union,2016,11.0,2734958,2789657.0,2.0,10.77,248633.0,1.02,Republican
2023,IA,Iowa,Union,2016,6.0,1566031,1519050.0,1.15,6.16,261005.0,0.97,Republican
2024,KS,Kansas,Union,2016,6.0,1184402,1527879.0,0.87,4.66,197400.0,1.29,Republican
2025,KY,Kentucky,Border,2016,8.0,1924149,2039598.0,1.41,7.57,240519.0,1.06,Republican
2026,LA,Louisiana,Confederate,2016,8.0,2029032,2029032.0,1.48,7.99,253629.0,1.0,Republican
2027,MD,Maryland,Border,2016,10.0,2781446,2531116.0,2.04,10.95,278145.0,0.91,Democrat
2028,MA,Massachusetts,Union,2016,11.0,3325046,2793039.0,2.43,13.09,302277.0,0.84,Democrat
2029,MI,Michigan,Union,2016,16.0,4799284,4079391.0,3.51,18.89,299955.0,0.85,Republican
2030,MN,Minnesota,Union,2016,10.0,2944813,2532539.0,2.15,11.59,294481.0,0.86,Democrat
2031,MS,Mississippi,Confederate,2016,6.0,1209357,1523790.0,0.88,4.76,201560.0,1.26,Republican
2032,MO,Missouri,Border,2016,10.0,2808605,2527744.0,2.06,11.06,280860.0,0.9,Republican
2033,MT,Montana,Small,2016,3.0,497147,760635.0,0.36,1.96,165716.0,1.53,Republican
2034,NV,Nevada,Post-War,2016,6.0,1125385,1519270.0,0.82,4.43,187564.0,1.35,Democrat
2035,NH,New Hampshire,Small,2016,4.0,744296,1019686.0,0.54,2.93,186074.0,1.37,Democrat
2036,NJ,New Jersey,Union,2016,14.0,3874046,3564122.0,2.83,15.25,276718.0,0.92,Democrat
2037,NM,New Mexico,Post-War,2016,5.0,798319,1269327.0,0.58,3.14,159664.0,1.59,Democrat
2038,NY,New York,Union,2016,29.0,7721453,7335380.0,5.65,30.4,266257.0,0.95,Democrat
2039,NC,North Carolina,Confederate,2016,15.0,4741564,3793251.0,3.47,18.67,316104.0,0.8,Republican
2040,ND,North Dakota,Small,2016,3.0,344360,761036.0,0.25,1.36,114787.0,2.21,Republican
2041,OH,Ohio,Union,2016,18.0,5496487,4562084.0,4.02,21.64,305360.0,0.83,Republican
2042,OK,Oklahoma,Post-War,2016,7.0,1452992,1772650.0,1.06,5.72,207570.0,1.22,Republican
2043,OR,Oregon,Union,2016,7.0,2001336,1781189.0,1.46,7.88,285905.0,0.89,Democrat
2044,PA,Pennsylvania,Union,2016,20.0,6165478,5055692.0,4.51,24.27,308274.0,0.82,Republican
2045,RI,Rhode Island,Small,2016,4.0,464144,1016475.0,0.34,1.83,116036.0,2.19,Democrat
2046,SC,South Carolina,Confederate,2016,9.0,2103027,2292299.0,1.54,8.28,233670.0,1.09,Republican
2047,SD,South Dakota,Small,2016,3.0,370093,762392.0,0.27,1.46,123364.0,2.06,Republican
2048,TN,Tennessee,Confederate,2016,11.0,2508027,2783910.0,1.84,9.87,228002.0,1.11,Republican
2049,TX,Texas,Confederate,2016,38.0,8969226,9686764.0,6.56,35.31,236032.0,1.08,Republican
2050,UT,Utah,Post-War,2016,6.0,1131430,1527430.0,0.83,4.45,188572.0,1.35,Republican
2051,VT,Vermont,Small,2016,3.0,315067,762462.0,0.23,1.24,105022.0,2.42,Democrat
2052,VA,Virginia,Confederate,2016,13.0,3984631,3307244.0,2.92,15.69,306510.0,0.83,Democrat
2053,WA,Washington,Post-War,2016,12.0,3317019,3051657.0,2.43,13.06,276418.0,0.92,Democrat
2054,WV,West Virginia,Border,2016,5.0,714423,1271673.0,0.52,2.81,142885.0,1.78,Republican
2055,WI,Wisconsin,Union,2016,10.0,2976150,2529728.0,2.18,11.72,297615.0,0.85,Republican
2056,WY,Wyoming,Small,2016,3.0,255849,762430.0,0.19,1.01,85283.0,2.98,Republican
2057,AL,Alabama,Confederate,2020,9.0,2323282,2648541.0,1.47,7.89,258142.0,1.14,Republican
2058,AK,Alaska,Small,2020,3.0,359530,884444.0,0.23,1.22,119843.0,2.46,Republican
2059,AZ,Arizona,Post-War,2020,11.0,3387326,3251833.0,2.14,11.51,307939.0,0.96,Democrat
2060,AR,Arkansas,Confederate,2020,6.0,1219069,1767650.0,0.77,4.14,203178.0,1.45,Republican
2061,CA,California,Union,2020,55.0,17500871,16275810.0,11.05,59.45,318198.0,0.93,Democrat
2062,CO,Colorado,Post-War,2020,9.0,3256980,2638154.0,2.06,11.06,361887.0,0.81,Democrat
2063,CT,Connecticut,Union,2020,7.0,1824273,2061428.0,1.15,6.2,260610.0,1.13,Democrat
2064,DE,Delaware,Small,2020,3.0,504346,882606.0,0.32,1.71,168115.0,1.75,Democrat
2065,DC,District of Columbia,Small,2020,3.0,344356,881551.0,0.22,1.17,114785.0,2.56,Democrat
2066,FL,Florida,Confederate,2020,29.0,11067456,8521941.0,6.99,37.59,381636.0,0.77,Republican
2067,GA,Georgia,Confederate,2020,16.0,4997716,4697853.0,3.16,16.98,312357.0,0.94,Democrat
2068,HI,Hawaii,Small,2020,4.0,574469,1177661.0,0.36,1.95,143617.0,2.05,Democrat
2069,ID,Idaho,Small,2020,4.0,867884,1180322.0,0.55,2.95,216971.0,1.36,Republican
2070,IL,Illinois,Union,2020,20.0,6033744,5913069.0,3.81,20.5,301687.0,0.98,Democrat
2071,IN,Indiana,Union,2020,11.0,3033112,3245430.0,1.92,10.3,275737.0,1.07,Republican
2072,IA,Iowa,Union,2020,6.0,1690871,1758506.0,1.07,5.74,281812.0,1.04,Republican
2073,KS,Kansas,Union,2020,6.0,1372303,1770271.0,0.87,4.66,228717.0,1.29,Republican
2074,KY,Kentucky,Border,2020,8.0,2136768,2350445.0,1.35,7.26,267096.0,1.1,Republican
2075,LA,Louisiana,Confederate,2020,8.0,2148062,2362868.0,1.36,7.3,268508.0,1.1,Republican
2076,MD,Maryland,Border,2020,10.0,3037030,2945919.0,1.92,10.32,303703.0,0.97,Democrat
2077,MA,Massachusetts,Union,2020,11.0,3631402,3231948.0,2.29,12.34,330127.0,0.89,Democrat
2078,MI,Michigan,Union,2020,16.0,5539302,4708407.0,3.5,18.82,346206.0,0.85,Democrat
2079,MN,Minnesota,Union,2020,10.0,3277171,2949454.0,2.07,11.13,327717.0,0.9,Democrat
2080,MS,Mississippi,Confederate,2020,6.0,1313894,1760618.0,0.83,4.46,218982.0,1.34,Republican
2081,MO,Missouri,Border,2020,10.0,3025962,2935183.0,1.91,10.28,302596.0,0.97,Republican
2082,MT,Montana,Small,2020,3.0,603674,881364.0,0.38,2.05,201225.0,1.46,Republican
2083,NV,Nevada,Post-War,2020,6.0,1405376,1770774.0,0.89,4.77,234229.0,1.26,Democrat
2084,NH,New Hampshire,Small,2020,4.0,806182,1177026.0,0.51,2.74,201546.0,1.46,Democrat
2085,NJ,New Jersey,Union,2020,14.0,4549353,4139911.0,2.87,15.45,324954.0,0.91,Democrat
2086,NM,New Mexico,Post-War,2020,5.0,923965,1469104.0,0.58,3.14,184793.0,1.59,Democrat
2087,NY,New York,Union,2020,29.0,8594826,8508878.0,5.43,29.2,296373.0,0.99,Democrat
2088,NC,North Carolina,Confederate,2020,15.0,5524804,4419843.0,3.49,18.77,368320.0,0.8,Republican
2089,ND,North Dakota,Small,2020,3.0,361819,882838.0,0.23,1.23,120606.0,2.44,Republican
2090,OH,Ohio,Union,2020,18.0,5922202,5270760.0,3.74,20.12,329011.0,0.89,Republican
2091,OK,Oklahoma,Post-War,2020,7.0,1560699,2060123.0,0.99,5.3,222957.0,1.32,Republican
2092,OR,Oregon,Union,2020,7.0,2374321,2065659.0,1.5,8.07,339189.0,0.87,Democrat
2093,PA,Pennsylvania,Union,2020,20.0,6915283,5877991.0,4.37,23.49,345764.0,0.85,Democrat
2094,RI,Rhode Island,Small,2020,4.0,517757,1175308.0,0.33,1.76,129439.0,2.27,Democrat
2095,SC,South Carolina,Confederate,2020,9.0,2513329,2638995.0,1.59,8.54,279259.0,1.05,Republican
2096,SD,South Dakota,Small,2020,3.0,422609,883253.0,0.27,1.44,140870.0,2.09,Republican
2097,TN,Tennessee,Confederate,2020,11.0,3053851,3237082.0,1.93,10.37,277623.0,1.06,Republican
2098,TX,Texas,Confederate,2020,38.0,11315056,11201905.0,7.14,38.44,297765.0,0.99,Republican
2099,UT,Utah,Post-War,2020,6.0,1488289,1771064.0,0.94,5.06,248048.0,1.19,Republican
2100,VT,Vermont,Small,2020,3.0,367428,881827.0,0.23,1.25,122476.0,2.4,Democrat
2101,VA,Virginia,Confederate,2020,13.0,4460524,3836051.0,2.82,15.15,343117.0,0.86,Democrat
2102,WA,Washington,Post-War,2020,12.0,4087631,3515363.0,2.58,13.89,340636.0,0.86,Democrat
2103,WV,West Virginia,Border,2020,5.0,794731,1470252.0,0.5,2.7,158946.0,1.85,Republican
2104,WI,Wisconsin,Union,2020,10.0,3298041,2935256.0,2.08,11.2,329804.0,0.89,Democrat
2105,WY,Wyoming,Small,2020,3.0,276765,882880.0,0.17,0.94,92255.0,3.19,Republican
