,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Vote weight,Party
1699,SC,South Carolina,Confederate,1988,8.0,986009,1360692.0,1.08,5.79,123251.0,1.38,Republican
1700,SD,South Dakota,Small,1988,3.0,312991,510175.0,0.34,1.84,104330.0,1.63,Republican
1701,TN,Tennessee,Confederate,1988,11.0,1636250,1865325.0,1.79,9.61,148750.0,1.14,Republican
1702,TX,Texas,Confederate,1988,29.0,5427410,4938943.0,5.93,31.88,187152.0,0.91,Republican
1703,UT,Utah,Post-War,1988,5.0,647008,854051.0,0.71,3.8,129402.0,1.32,Republican
1704,VT,Vermont,Small,1988,3.0,243333,510999.0,0.27,1.43,81111.0,2.1,Republican
1705,VA,Virginia,Confederate,1988,12.0,2191609,2038196.0,2.39,12.87,182634.0,0.93,Republican
1706,WA,Washington,Post-War,1988,10.0,1865253,1697380.0,2.04,10.96,186525.0,0.91,Democrat
1707,WV,West Virginia,Border,1988,6.0,653311,1019165.0,0.71,3.84,108885.0,1.56,Democrat
1708,WI,Wisconsin,Union,1988,11.0,2191608,1862867.0,2.39,12.87,199237.0,0.85,Democrat
1709,WY,Wyoming,Small,1988,3.0,176551,510232.0,0.19,1.04,58850.0,2.89,Republican
1710,AL,Alabama,Confederate,1992,9.0,1688060,1738702.0,1.62,8.7,187562.0,1.03,Republican
1711,AK,Alaska,Small,1992,3.0,258506,581638.0,0.25,1.33,86169.0,2.25,Republican
1712,AZ,Arizona,Post-War,1992,8.0,1487006,1546486.0,1.42,7.66,185876.0,1.04,Republican
1713,AR,Arkansas,Confederate,1992,6.0,950653,1169303.0,0.91,4.9,158442.0,1.23,Democrat
1714,CA,California,Union,1992,54.0,11131721,10463818.0,10.66,57.35,206143.0,0.94,Democrat
1715,CO,Colorado,Post-War,1992,8.0,1569180,1553488.0,1.5,8.08,196148.0,0.99,Democrat
1716,CT,Connecticut,Union,1992,8.0,1616332,1551679.0,1.55,8.33,202042.0,0.96,Democrat
1717,DE,Delaware,Small,1992,3.0,289620,582136.0,0.28,1.49,96540.0,2.01,Democrat
1718,DC,District of Columbia,Small,1992,3.0,227572,582584.0,0.22,1.17,75857.0,2.56,Democrat
1719,FL,Florida,Confederate,1992,25.0,5314392,4836097.0,5.09,27.38,212576.0,0.91,Republican
1720,GA,Georgia,Confederate,1992,13.0,2321133,2530035.0,2.22,11.96,178549.0,1.09,Democrat
1721,HI,Hawaii,Small,1992,4.0,372842,775511.0,0.36,1.92,93210.0,2.08,Democrat
1722,ID,Idaho,Small,1992,4.0,482114,776204.0,0.46,2.48,120528.0,1.61,Republican
1723,IL,Illinois,Union,1992,22.0,5050157,4292633.0,4.84,26.02,229553.0,0.85,Democrat
1724,IN,Indiana,Union,1992,12.0,2305871,2328930.0,2.21,11.88,192156.0,1.01,Republican
1725,IA,Iowa,Union,1992,7.0,1354607,1354607.0,1.3,6.98,193515.0,1.0,Democrat
1726,KS,Kansas,Union,1992,6.0,1157256,1168829.0,1.11,5.96,192876.0,1.01,Republican
1727,KY,Kentucky,Border,1992,8.0,1492900,1552616.0,1.43,7.69,186612.0,1.04,Democrat
1728,LA,Louisiana,Confederate,1992,9.0,1790017,1754217.0,1.71,9.22,198891.0,0.98,Democrat
1729,ME,Maine,Small,1992,4.0,679499,774629.0,0.65,3.5,169875.0,1.14,Democrat
1730,MD,Maryland,Border,1992,10.0,1985046,1945345.0,1.9,10.23,198505.0,0.98,Democrat
1731,MA,Massachusetts,Union,1992,12.0,2773574,2329802.0,2.66,14.29,231131.0,0.84,Democrat
1732,MI,Michigan,Union,1992,18.0,4274673,3505232.0,4.09,22.02,237482.0,0.82,Democrat
1733,MN,Minnesota,Union,1992,10.0,2347948,1948797.0,2.25,12.1,234795.0,0.83,Democrat
1734,MS,Mississippi,Confederate,1992,7.0,981793,1354874.0,0.94,5.06,140256.0,1.38,Republican
1735,MO,Missouri,Border,1992,11.0,2391270,2128230.0,2.29,12.32,217388.0,0.89,Democrat
1736,MT,Montana,Small,1992,3.0,410583,583028.0,0.39,2.12,136861.0,1.42,Democrat
1737,NE,Nebraska,Post-War,1992,5.0,739283,968461.0,0.71,3.81,147857.0,1.31,Republican
1738,NV,Nevada,Small,1992,4.0,506318,774667.0,0.48,2.61,126580.0,1.53,Democrat
1739,NH,New Hampshire,Small,1992,4.0,537215,778962.0,0.51,2.77,134304.0,1.45,Democrat
1740,NJ,New Jersey,Union,1992,15.0,3343594,2908927.0,3.2,17.23,222906.0,0.87,Democrat
1741,NM,New Mexico,Post-War,1992,5.0,569986,968976.0,0.55,2.94,113997.0,1.7,Democrat
1742,NY,New York,Union,1992,33.0,6926925,6372771.0,6.63,35.69,209907.0,0.92,Democrat
1743,NC,North Carolina,Confederate,1992,14.0,2611850,2716324.0,2.5,13.46,186561.0,1.04,Republican
1744,ND,North Dakota,Small,1992,3.0,308133,582371.0,0.3,1.59,102711.0,1.89,Republican
1745,OH,Ohio,Union,1992,21.0,4939964,4100170.0,4.73,25.45,235236.0,0.83,Democrat
1746,OK,Oklahoma,Post-War,1992,8.0,1390359,1557202.0,1.33,7.16,173795.0,1.12,Republican
1747,OR,Oregon,Union,1992,7.0,1462643,1360258.0,1.4,7.54,208949.0,0.93,Democrat
1748,PA,Pennsylvania,Union,1992,23.0,4959810,4463829.0,4.75,25.55,215644.0,0.9,Democrat
1749,RI,Rhode Island,Small,1992,4.0,453477,775446.0,0.43,2.34,113369.0,1.71,Democrat
1750,SC,South Carolina,Confederate,1992,8.0,1202527,1551260.0,1.15,6.2,150316.0,1.29,Republican
1751,SD,South Dakota,Small,1992,3.0,336254,581719.0,0.32,1.73,112085.0,1.73,Republican
1752,TN,Tennessee,Confederate,1992,11.0,1982638,2141249.0,1.9,10.21,180240.0,1.08,Democrat
1753,TX,Texas,Confederate,1992,32.0,6154018,6215558.0,5.89,31.71,192313.0,1.01,Republican
1754,UT,Utah,Post-War,1992,5.0,743998,967197.0,0.71,3.83,148800.0,1.3,Republican
1755,VT,Vermont,Small,1992,3.0,289701,582299.0,0.28,1.49,96567.0,2.01,Democrat
1756,VA,Virginia,Confederate,1992,13.0,2558665,2533078.0,2.45,13.18,196820.0,0.99,Republican
1757,WA,Washington,Post-War,1992,11.0,2287565,2127435.0,2.19,11.79,207960.0,0.93,Democrat
1758,WV,West Virginia,Border,1992,5.0,683677,970821.0,0.65,3.52,136735.0,1.42,Democrat
1759,WI,Wisconsin,Union,1992,11.0,2531114,2126136.0,2.42,13.04,230101.0,0.84,Democrat
1760,WY,Wyoming,Small,1992,3.0,199884,581662.0,0.19,1.03,66628.0,2.91,Republican
1761,AL,Alabama,Confederate,1996,9.0,1534349,1611066.0,1.59,8.57,170483.0,1.05,Republican
1762,AK,Alaska,Small,1996,3.0,241620,536396.0,0.25,1.35,80540.0,2.22,Republican
1763,AZ,Arizona,Post-War,1996,8.0,1404405,1432493.0,1.46,7.85,175551.0,1.02,Democrat
1764,AR,Arkansas,Confederate,1996,6.0,884262,1069957.0,0.92,4.94,147377.0,1.21,Democrat
1765,CA,California,Union,1996,54.0,10019484,9618705.0,10.41,55.99,185546.0,0.96,Democrat
1766,CO,Colorado,Post-War,1996,8.0,1510704,1435169.0,1.57,8.44,188838.0,0.95,Republican
1767,CT,Connecticut,Union,1996,8.0,1392614,1434392.0,1.45,7.78,174077.0,1.03,Democrat
1768,DE,Delaware,Small,1996,3.0,270845,536273.0,0.28,1.51,90282.0,1.98,Democrat
1769,DC,District of Columbia,Small,1996,3.0,185726,536748.0,0.19,1.04,61909.0,2.89,Democrat
1770,FL,Florida,Confederate,1996,25.0,5303794,4455187.0,5.51,29.64,212152.0,0.84,Democrat
1771,GA,Georgia,Confederate,1996,13.0,2299071,2322062.0,2.39,12.85,176852.0,1.01,Republican
1772,HI,Hawaii,Small,1996,4.0,360120,716639.0,0.37,2.01,90030.0,1.99,Democrat
1773,ID,Idaho,Small,1996,4.0,491719,717910.0,0.51,2.75,122930.0,1.46,Republican
1774,IL,Illinois,Union,1996,22.0,4311391,3923366.0,4.48,24.09,195972.0,0.91,Democrat
1775,IN,Indiana,Union,1996,12.0,2135842,2157200.0,2.22,11.94,177987.0,1.01,Republican
1776,IA,Iowa,Union,1996,7.0,1234075,1258756.0,1.28,6.9,176296.0,1.02,Democrat
1777,KS,Kansas,Union,1996,6.0,1074300,1074300.0,1.12,6.0,179050.0,1.0,Republican
1778,KY,Kentucky,Border,1996,8.0,1388708,1430369.0,1.44,7.76,173588.0,1.03,Democrat
1779,LA,Louisiana,Confederate,1996,9.0,1783959,1605563.0,1.85,9.97,198218.0,0.9,Democrat
1780,ME,Maine,Small,1996,4.0,605897,714958.0,0.63,3.39,151474.0,1.18,Democrat
1781,MD,Maryland,Border,1996,10.0,1780870,1780870.0,1.85,9.95,178087.0,1.0,Democrat
1782,MA,Massachusetts,Union,1996,12.0,2556785,2147699.0,2.66,14.29,213065.0,0.84,Democrat
1783,MI,Michigan,Union,1996,18.0,3848844,3233029.0,4.0,21.51,213825.0,0.84,Democrat
1784,MN,Minnesota,Union,1996,10.0,2192640,1797965.0,2.28,12.25,219264.0,0.82,Democrat
1785,MS,Mississippi,Confederate,1996,7.0,893857,1251400.0,0.93,4.99,127694.0,1.4,Republican
1786,MO,Missouri,Border,1996,11.0,2158065,1963839.0,2.24,12.06,196188.0,0.91,Democrat
1787,MT,Montana,Small,1996,3.0,407261,537585.0,0.42,2.28,135754.0,1.32,Republican
1788,NE,Nebraska,Post-War,1996,5.0,677415,894188.0,0.7,3.79,135483.0,1.32,Republican
1789,NV,Nevada,Small,1996,4.0,464279,714990.0,0.48,2.59,116070.0,1.54,Democrat
1790,NH,New Hampshire,Small,1996,4.0,499175,713820.0,0.52,2.79,124794.0,1.43,Democrat
1791,NJ,New Jersey,Union,1996,15.0,3075807,2675952.0,3.19,17.19,205054.0,0.87,Democrat
1792,NM,New Mexico,Post-War,1996,5.0,556074,895279.0,0.58,3.11,111215.0,1.61,Democrat
1793,NY,New York,Union,1996,33.0,6316129,5874000.0,6.56,35.3,191398.0,0.93,Democrat
1794,NC,North Carolina,Confederate,1996,14.0,2515807,2515807.0,2.61,14.06,179700.0,1.0,Republican
1795,ND,North Dakota,Small,1996,3.0,266411,538150.0,0.28,1.49,88804.0,2.02,Republican
1796,OH,Ohio,Union,1996,21.0,4534434,3763580.0,4.71,25.34,215925.0,0.83,Democrat
1797,OK,Oklahoma,Post-War,1996,8.0,1206713,1435988.0,1.25,6.74,150839.0,1.19,Republican
1798,OR,Oregon,Union,1996,7.0,1377760,1253762.0,1.43,7.7,196823.0,0.91,Democrat
1799,PA,Pennsylvania,Union,1996,23.0,4506118,4100567.0,4.68,25.18,195918.0,0.91,Democrat
1800,RI,Rhode Island,Small,1996,4.0,390284,714220.0,0.41,2.18,97571.0,1.83,Democrat
1801,SC,South Carolina,Confederate,1996,8.0,1149457,1436821.0,1.19,6.42,143682.0,1.25,Republican
