Group,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Border,0.9434083656452664,0.9387414553986634,1.0811359541151688,1.3374928284566838,1.028623240350748,1.0223993403875222,1.2112269333708974,1.1835040727003852,1.108263806609759,1.934024319286792,1.4704205448618959,1.0699008331467779,1.0433983275442982,1.0485046167145946,1.0413847494915114,0.9875740836432535,0.9440472497258844,0.8728954600977199,0.8415937198218124,0.8465190262833042,0.8325350705285443,0.8060122668936117,0.8827080524527933,0.7426691114717641,0.8401207340074414,0.9018462667044991,0.8171464881743653,0.8576834480728815,0.9111471992631553,1.00806337214399,1.0300549459788175,0.9980535664018785,1.0048372433541404,1.0353767174325437,1.0454520405633883,1.0650103818202792,1.061637126786952,1.0572267717809245,1.048813237947193,1.049959126798713,1.0597546708570404,1.0070816050254445,1.0201592796367331,1.0127091865022988,1.0076748957699218,1.02492073482204,0.9981831246927121,1.0187677816810905,1.080087466872778
Confederate,1.6450385609686038,2.3031090208088374,1.5042570903107153,1.4536792076807787,1.3625696775584368,1.3360594253133729,1.4326680672268908,1.4629390689886446,1.468079041193798,,1.2574230063848801,1.159732357203963,1.1630433686588084,1.3031181849704687,1.3711995788865965,1.435654026040312,1.3964434325381063,1.5050235019989435,1.836964356423812,2.475033209207117,2.3297984499248643,2.3072034021541374,2.349168624514588,2.373379263542137,2.728919162687236,2.5850277154906034,2.4557073199637682,2.552272118902855,2.4494142499067277,2.4201608926500717,2.237659540688484,1.740250800586598,1.7352525283593505,1.598169828727303,1.3650131876660845,1.177241450077554,1.2169576673733171,1.0739765104128565,1.0110006492421124,1.018719188257792,1.0103607290336765,1.0354377268537749,1.0007170859362253,0.9787660181115744,0.99055906836806,0.9481800795808459,0.9700730712930337,0.9601139443660435,0.9432324617218525
Midwest,0.5425792469120575,0.6841109709962169,0.5777558196983348,0.5935035119223513,0.7805880237076019,0.7245095832668812,0.7379340678202474,0.7175981958448391,0.6630906194247591,0.8276193701670885,0.7480702731169906,0.8293471546915592,0.8240921711785547,0.8024942362381151,0.8130910453209247,0.8063236142582791,0.7996793044731877,0.7740845933578534,0.7613180808561607,0.7517538236029878,0.7561417025488278,0.7769845189055395,0.7186778498804977,0.743523720782147,0.7363181589487097,0.7842961018720057,0.7499351580260426,0.7688762714273409,0.7740429361358194,0.7510077854047573,0.7830022989494085,0.8210224159412233,0.8230140903443683,0.8269910237942183,0.8537312415724175,0.8834596648587523,0.8776198022755085,0.8839813780007253,0.9025375607510965,0.9107331133271358,0.9303265555499444,0.8800848455842026,0.9026080933622936,0.8995464215084017,0.8674307999740511,0.9003857531930369,0.8643772732630945,0.9046408455898294,0.9465963945862772
Northeast,0.819380660349302,0.7269889902214841,0.8619881162678658,0.8753007387039918,0.8341366849960723,0.83372502389053,0.8298730961116155,0.8865333725195234,0.9439949367701505,0.9028226768783494,0.8935002224814936,0.9353469444007695,0.9426320852769066,0.9278790804768448,0.8728259765043049,0.8832703995053565,0.852037617554859,0.8888099551036573,0.8600510489945838,0.8057070154950545,0.8517048138357881,0.913541528780458,1.0391994830522568,0.9083669133696715,0.8648078205766089,0.7856244540740457,0.8289412593382735,0.7706161412106989,0.7829548176588278,0.7566870272933336,0.771955478590991,0.789932597321765,0.792928365509603,0.8151197968022807,0.792130986875213,0.8389665054993305,0.8315573939546839,0.89639635929373,0.9737271549243517,0.8931746564656682,0.9168473398211179,0.9002352418306916,0.912429409395279,0.9341816780040171,0.9193701838185049,0.94339319400948,0.9166566989820887,0.9052238615881444,0.9345632359332423
Small,1.512883597883598,2.7404797230464886,1.5477285506264327,1.0437041972018655,2.4770110598846142,1.9954458775536477,1.4827455401268372,1.086292835841852,1.0973082212565939,2.3697104677060135,2.2092530905322376,2.6248756809713956,2.3228939705552953,1.8504844739697883,1.7617535675770573,1.7310030626704658,1.862945345378278,1.6683834730299547,1.469845287554013,1.4961467627667084,1.4078459771914715,1.5666120564765211,1.4030690754418844,1.6670714237116442,1.6944166885327296,1.8885561465688836,1.5075767326407585,1.60870607006009,1.6283814528984744,1.8523468605875886,1.7395947997366976,1.765998783250619,1.7649837698060782,1.8185988550403527,1.892790425543549,1.9404304225318865,1.819828044271475,1.7903455765844842,1.7217894052260398,1.877575840101672,1.8284904556184614,1.7408719966186559,1.7258051391720979,1.7959363265605444,1.9082229016297385,1.9277597546840848,1.930680929621387,1.960184712562391,1.960365378081144
Nat'l Average,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
West,,,,,,,,,,0.8170743224100482,0.8956707406862023,1.1076682152737902,0.8787166846402712,0.9127218484580961,1.0188640932442585,0.9039902283370269,0.9073139249802492,0.9404461512169131,0.9322170694434337,0.7885155460832306,0.762729197957207,0.7022847597438283,0.6420045977011494,0.8756986376830017,0.787309907583792,0.7833164788138828,0.8819431810792998,0.8969768232816612,0.8256107368036925,0.8166539989564546,0.7557293720400992,0.8136685195556966,0.8027772691857652,0.7692842765034558,0.8603963869762967,0.8667139950369773,0.8732493958494604,0.9182110779921236,0.8848891038485456,0.9635634867715224,0.9258107406659716,0.9966972925414211,0.9986417196545166,0.9953648419023775,1.0267920989560548,1.017936085145663,1.049655224931008,1.0209215554743003,0.9653316625843695
